Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA1 (UR) by GNGP Public/Private Sector"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"GNGP Public/Private Sector","National Government","State/Territory Government","Local Government","Private sector","Not stated","Not applicable","Total",
"SA1 (UR)",
"8104903",0,0,0,3,0,0,0,
"8104901",131,20,0,550,3,1388,2083,
"8104902",0,0,0,0,0,0,0,
"8106601",0,0,0,0,0,0,0,
"8105013",101,24,0,127,0,280,539,
"8105008",39,17,0,67,0,130,252,
"8105016",26,3,0,55,0,96,179,
"8105018",29,8,0,59,0,106,204,
"8105006",72,16,0,84,0,213,391,
"8105007",53,13,0,88,0,115,269,
"8105001",96,15,0,103,3,242,466,
"8105002",80,11,0,67,6,154,326,
"8105014",70,19,0,72,0,131,286,
"8105011",106,34,0,155,5,264,555,
"8105005",92,16,0,143,4,253,505,
"8105012",77,20,0,85,0,177,360,
"8105004",47,4,0,66,0,128,243,
"8105017",43,10,0,62,0,112,232,
"8105015",16,7,0,33,0,329,380,
"8105003",0,0,0,0,0,0,0,
"8103404",84,18,0,123,0,217,441,
"8103406",66,22,0,121,0,213,417,
"8103411",114,18,0,167,0,264,567,
"8103405",80,21,0,154,4,214,476,
"8103409",48,17,0,82,0,151,299,
"8103408",113,24,0,155,0,241,529,
"8103412",82,17,0,155,0,234,494,
"8103410",104,21,0,138,3,243,513,
"8103407",44,18,0,93,0,131,278,
"8103414",34,8,0,77,0,101,219,
"8103401",48,14,0,112,7,187,371,
"8103403",89,29,0,132,0,204,452,
"8103402",36,12,0,65,0,94,212,
"8103413",58,31,0,150,0,192,434,
"8104014",48,12,0,119,0,153,325,
"8100104",95,18,0,104,0,218,440,
"8100102",76,16,0,87,0,213,387,
"8100101",48,3,0,68,0,135,252,
"8100106",106,25,0,98,0,210,436,
"8100105",96,24,0,122,0,306,559,
"8100103",45,15,0,100,0,163,321,
"8107108",91,29,0,168,0,252,549,
"8107112",111,25,0,208,5,248,598,
"8107110",94,47,0,240,5,304,687,
"8107106",39,19,0,122,6,177,364,
"8107113",25,10,0,99,3,129,261,
"8107114",42,21,0,115,5,131,305,
"8107107",52,17,0,128,4,163,364,
"8107102",97,27,0,155,0,207,490,
"8107104",45,18,0,95,0,104,262,
"8107109",68,12,0,124,4,203,418,
"8107105",50,31,0,143,0,201,436,
"8107111",37,14,0,81,0,102,238,
"8112902",84,11,0,78,0,106,282,
"8112903",201,23,0,173,0,170,574,
"8112901",208,24,0,153,3,198,587,
"8112602",0,0,0,0,0,0,0,
"8100203",177,36,0,252,0,215,693,
"8100211",93,22,0,201,0,314,625,
"8100210",66,13,0,128,0,162,368,
"8100217",82,16,0,144,0,141,383,
"8100205",0,0,0,0,0,0,0,
"8100201",72,11,0,159,5,306,549,
"8100209",19,7,0,90,5,208,332,
"8100214",182,41,3,379,8,348,963,
"8100202",36,16,0,115,0,147,319,
"8100204",0,0,0,0,0,5,6,
"8100212",33,3,0,53,0,367,456,
"8100216",0,0,0,0,0,0,0,
"8100213",5,0,0,11,0,9,25,
"8100208",70,19,3,137,4,149,379,
"8100319",51,9,0,60,0,135,258,
"8107208",69,26,0,186,4,253,540,
"8107202",46,18,5,106,0,180,349,
"8107207",68,26,0,149,0,166,407,
"8107206",86,19,0,150,10,219,480,
"8107204",75,23,0,160,0,200,464,
"8107211",50,6,0,68,3,87,219,
"8107210",60,16,0,137,0,131,342,
"8107203",60,22,0,125,3,161,369,
"8107209",0,0,0,0,0,0,0,
"8107205",150,37,0,176,3,251,612,
"8105104",176,29,0,216,7,155,586,
"8105105",172,31,0,235,6,254,692,
"8105112",59,11,0,67,0,84,232,
"8105115",32,3,0,58,0,160,258,
"8105117",96,12,0,90,0,72,271,
"8105101",0,0,0,0,0,33,36,
"8105109",177,29,0,228,0,214,653,
"8105110",72,18,0,123,5,140,350,
"8105116",104,14,0,112,4,133,367,
"8105111",188,23,0,164,4,168,543,
"8105102",123,24,0,129,0,209,492,
"8105114",23,0,0,143,0,322,489,
"8105118",107,16,0,77,0,55,259,
"8100314",10,0,0,20,0,144,171,
"8100310",54,14,0,91,0,107,271,
"8100316",18,6,0,27,0,247,294,
"8100315",52,17,0,101,0,215,386,
"8100306",64,19,0,136,3,172,394,
"8100312",93,24,4,132,5,203,461,
"8100317",83,21,0,191,7,151,450,
"8100313",147,42,0,285,0,145,625,
"8100307",42,9,0,71,4,87,216,
"8100304",186,53,0,316,8,298,866,
"8100308",19,10,0,330,0,606,963,
"8100309",58,9,0,117,7,96,285,
"8100301",82,21,0,152,5,115,372,
"8100311",60,13,0,91,0,127,292,
"8100318",49,3,0,72,0,166,294,
"8107308",54,15,0,128,0,108,302,
"8107304",38,23,0,108,0,158,332,
"8108107",52,15,0,95,0,155,317,
"8107316",41,22,0,102,0,134,298,
"8107307",83,21,0,145,0,179,430,
"8107312",66,16,0,130,0,144,355,
"8107309",92,31,0,178,0,250,549,
"8107315",0,0,0,0,0,107,107,
"8107311",72,39,0,216,3,276,620,
"8107313",46,16,0,128,0,168,367,
"8107302",71,22,0,155,0,195,441,
"8107310",63,9,0,138,5,143,368,
"8107303",71,27,0,185,0,240,524,
"8107301",88,27,0,156,0,172,445,
"8112406",75,16,0,111,0,179,380,
"8112401",111,13,0,120,4,311,565,
"8112408",44,16,0,62,0,108,225,
"8112405",65,11,0,96,0,302,476,
"8112407",87,11,0,91,0,162,355,
"8112403",100,15,0,97,0,222,434,
"8112404",113,14,0,100,6,172,400,
"8112402",104,15,0,87,3,182,384,
"8109103",50,19,0,94,0,180,337,
"8109107",60,12,0,91,0,161,323,
"8109108",66,27,0,130,0,235,463,
"8109102",46,12,0,82,0,166,312,
"8109104",36,18,0,73,0,113,239,
"8109105",51,15,0,100,0,216,374,
"8109101",38,11,0,70,0,104,226,
"8109106",53,17,0,124,0,213,415,
"8100408",22,8,0,54,4,78,168,
"8100405",38,20,0,156,3,225,444,
"8100409",19,8,0,86,3,209,326,
"8100406",39,19,0,199,3,308,575,
"8100404",35,13,0,104,0,208,361,
"8100403",53,15,0,146,0,242,457,
"8100401",27,13,0,76,4,106,223,
