Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA1 (UR) by GNGP Public/Private Sector"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"GNGP Public/Private Sector","National Government","State/Territory Government","Local Government","Private sector","Not stated","Not applicable","Total",
"8100402",62,25,0,151,0,174,417,
"8109901",106,45,0,234,0,336,714,
"8109905",63,35,0,123,4,219,446,
"8109903",54,28,0,90,0,161,321,
"8109904",58,12,0,103,0,187,353,
"8109902",94,29,0,182,0,259,568,
"8107410",68,15,0,112,0,98,295,
"8107407",72,28,4,185,9,234,526,
"8107402",82,28,0,174,5,267,549,
"8107405",39,19,0,156,12,220,439,
"8107404",34,8,0,104,0,183,337,
"8107406",48,28,0,153,11,210,450,
"8107403",48,19,0,106,0,131,305,
"8107408",24,14,0,84,3,119,254,
"8107401",60,35,0,151,0,221,471,
"8107411",63,35,0,170,3,196,473,
"8107409",73,26,0,161,4,184,444,
"8107413",51,17,0,114,0,149,328,
"8107412",35,8,0,78,0,115,242,
"8105302",154,18,0,144,0,135,458,
"8105309",34,7,0,56,0,138,238,
"8105310",218,49,0,240,7,275,800,
"8107509",46,24,0,69,0,79,222,
"8107504",54,15,0,133,8,210,424,
"8107516",94,28,0,168,13,259,558,
"8107502",44,33,0,112,3,139,332,
"8107512",55,12,0,86,9,133,304,
"8107503",60,16,0,108,0,190,369,
"8107505",88,31,0,151,0,205,470,
"8107506",49,31,0,157,5,199,443,
"8107507",61,21,0,141,5,193,422,
"8107513",55,24,0,97,5,139,322,
"8107510",92,25,0,173,0,273,559,
"8107508",51,15,0,96,6,130,300,
"8107517",70,23,0,113,0,123,325,
"8100504",68,21,0,77,0,148,310,
"8100508",45,14,0,41,3,116,215,
"8100507",65,14,0,62,0,156,301,
"8100505",86,32,0,119,4,181,416,
"8100509",72,10,0,103,0,206,392,
"8100506",33,12,0,34,0,87,173,
"8100501",41,10,0,70,0,169,293,
"8100502",67,30,0,116,0,202,423,
"8100503",55,14,0,72,0,148,286,
"8110007",48,16,0,79,0,104,241,
"8110006",65,13,0,110,4,216,410,
"8110009",73,24,0,158,3,206,462,
"8110002",72,17,0,112,0,198,402,
"8110012",63,27,0,105,0,271,465,
"8110005",89,19,0,126,6,289,536,
"8110010",63,36,0,138,0,245,488,
"8110008",101,30,0,171,4,282,586,
"8110004",90,39,0,168,0,290,597,
"8110003",46,14,0,57,4,220,339,
"8110001",76,27,0,127,0,256,476,
"8110011",36,13,0,68,0,120,243,
"8106207",60,11,0,91,0,144,305,
"8106205",71,21,0,125,0,217,436,
"8106203",0,0,0,0,0,3,0,
"8106204",54,19,0,88,0,174,332,
"8106201",52,14,0,103,0,353,518,
"8106208",56,7,0,78,0,139,280,
"8106206",32,7,0,77,0,128,246,
"8106209",45,13,0,76,4,127,267,
"8106202",50,17,0,154,0,262,488,
"8105404",76,18,0,99,0,222,420,
"8105406",100,17,0,153,5,287,563,
"8105401",88,18,5,157,3,204,477,
"8105403",133,39,0,177,6,218,561,
"8105405",34,3,0,32,0,58,131,
"8105503",49,12,0,100,0,196,358,
"8105508",83,30,0,198,3,286,598,
"8105507",68,25,0,113,4,229,439,
"8105502",64,17,0,82,3,159,326,
"8105505",36,13,0,109,5,145,301,
"8105509",71,12,0,101,0,177,360,
"8105504",57,21,0,124,0,205,403,
"8105506",60,20,0,125,4,208,413,
"8105501",81,29,5,114,3,231,454,
"8109205",49,16,0,91,0,166,313,
"8109201",78,26,0,149,4,286,544,
"8109204",37,13,0,96,0,160,300,
"8109208",82,26,0,104,0,244,451,
"8109207",73,11,0,81,0,152,320,
"8109202",72,22,0,101,6,190,387,
"8109209",12,4,0,37,0,60,117,
"8109206",55,14,0,75,0,186,333,
"8109203",67,21,0,112,0,191,388,
"8100605",85,26,0,91,0,211,414,
"8100604",36,13,0,99,0,153,303,
"8100615",25,12,0,70,0,94,202,
"8100617",67,34,0,118,0,175,394,
"8100612",79,42,0,183,0,237,540,
"8100608",54,31,0,150,0,185,421,
"8100609",43,26,0,138,0,184,396,
"8100606",76,15,0,78,0,176,355,
"8100614",65,29,0,101,0,152,356,
"8100618",49,10,0,99,0,156,322,
"8100602",38,15,0,59,3,82,202,
"8100611",76,27,0,132,0,192,418,
"8100623",50,14,0,107,7,178,358,
"8100607",70,35,0,139,0,203,446,
"8100610",48,28,0,122,0,149,348,
"8100616",84,30,0,178,6,257,554,
"8100613",41,13,0,87,0,106,244,
"8112501",503,12,0,65,0,215,795,
"8112502",838,0,0,6,0,141,983,
"8100710",49,21,0,105,5,204,381,
"8100705",81,25,0,147,0,173,433,
"8100706",48,22,0,127,0,185,381,
"8100707",70,28,0,134,0,223,461,
"8100701",70,18,0,185,0,242,523,
"8100702",41,10,0,67,0,144,259,
"8100704",31,17,0,56,0,114,217,
"8100703",70,30,0,146,3,248,486,
"8100714",51,10,0,74,3,123,266,
"8100711",84,26,0,191,9,292,594,
"8100713",42,10,0,94,4,165,313,
"8100712",55,16,0,125,0,203,397,
"8100709",41,7,0,108,6,165,331,
"8100708",29,17,0,90,3,136,276,
"8107605",61,20,3,115,0,146,353,
"8107608",67,26,0,141,0,184,430,
"8107609",34,21,0,83,0,98,238,
"8107607",0,0,0,0,0,0,0,
"8107603",60,24,4,120,0,189,398,
"8107602",59,36,0,115,0,156,360,
"8107606",82,27,0,136,0,214,456,
"8107601",54,19,0,100,3,162,343,
"8107604",71,19,0,116,3,166,373,
"8110110",57,22,0,71,0,120,261,
"8110109",56,16,0,107,0,169,346,
"8110108",70,19,0,141,3,224,454,
"8110107",70,28,5,155,0,266,524,
"8110106",29,10,0,72,0,169,283,
"8110101",37,14,0,76,0,111,241,
"8110105",53,21,0,109,0,207,385,
"8110104",50,25,0,99,0,181,350,
"8110102",56,32,0,120,0,167,378,
"8109304",97,51,0,212,0,335,702,
"8109301",42,18,0,104,0,286,456,
"8109306",95,33,0,150,0,293,566,
"8109303",69,30,0,108,0,238,444,
"8109305",84,26,0,174,0,276,568,
"8109302",38,11,0,70,0,144,259,
"8100801",54,14,0,85,3,195,350,
"8100811",23,10,0,85,0,108,228,
"8100812",51,18,0,115,0,221,405,
"8100807",95,26,0,179,0,260,567,
"8100810",45,27,0,92,0,201,370,
"8100803",55,16,0,120,0,201,390,
"8100802",71,9,0,147,5,256,486,
"8100806",60,20,0,99,0,148,329,
"8100805",73,21,0,149,0,246,489,
"8100808",34,17,0,138,0,190,377,
"8100804",26,15,0,95,4,150,286,
"8100809",77,33,0,140,3,243,497,
"8100902",36,10,0,75,0,126,250,
"8100908",56,12,0,113,3,161,349,
"8100904",46,18,0,92,0,169,327,
"8100905",59,19,0,91,0,143,316,
"8100909",37,7,0,85,8,145,277,
"8100906",58,21,0,135,0,191,414,
"8100901",60,18,0,116,0,201,394,
"8100910",38,18,0,112,0,177,349,
"8100907",43,10,0,74,0,147,275,
"8100903",55,33,0,107,3,215,406,
"8106301",205,28,0,215,0,301,748,
"8106303",49,12,0,136,0,205,405,
"8106304",11,7,0,100,0,91,210,
"8106302",34,6,0,87,0,118,250,
"8101005",66,24,0,183,0,274,545,
"8101004",66,18,0,76,0,184,345,
"8101001",38,21,0,101,0,194,354,
"8101003",58,31,0,134,0,227,447,
"8101002",39,24,0,114,7,154,339,
"8113002",0,0,0,3,0,3,10,
"8113003",0,0,0,0,0,29,29,
"8113007",0,0,0,8,0,3,8,
"8113005",0,0,0,0,0,0,0,
"8113004",0,0,0,0,0,4,5,
"8110206",37,22,0,58,0,137,249,
"8110203",61,29,0,87,6,265,447,
"8110202",61,42,0,132,5,415,651,
"8110205",46,14,0,55,0,132,243,
"8110204",35,11,0,102,0,173,323,
"8110209",34,11,0,85,0,159,287,
"8110211",27,34,0,99,0,197,355,
"8110201",0,0,0,0,0,0,0,
"8110210",3,10,0,18,0,159,191,
"8110207",114,100,0,179,10,350,746,
"8107708",0,0,0,0,0,0,0,
"8107703",40,19,0,137,0,143,341,
"8107706",44,20,5,107,0,117,284,
"8107705",66,29,0,145,4,187,443,
"8107704",45,11,0,120,0,143,323,
"8107701",73,29,0,181,3,328,613,
"8107707",48,26,0,114,4,154,344,
"8107702",45,20,0,116,4,211,395,
"8101101",90,31,0,200,0,313,634,
"8101103",93,47,0,171,6,304,622,
"8101107",0,0,0,0,0,0,0,
"8101102",56,25,0,113,0,168,360,
"8101108",29,10,0,55,0,103,201,
"8101104",66,28,0,153,0,249,503,
"8101110",29,21,0,72,5,115,236,
"8101105",37,15,0,75,0,161,289,
"8101106",21,11,0,83,0,99,217,
"8101109",42,14,0,65,0,126,250,
"8107805",44,18,0,147,0,167,378,
"8107821",68,29,0,170,4,172,441,
"8107819",47,6,0,91,0,101,245,
"8107818",74,23,0,155,0,180,436,
"8107809",37,18,0,99,0,133,291,
"8107820",61,28,0,156,0,161,405,
"8107810",69,18,0,127,0,347,565,
"8107801",54,23,0,144,6,203,438,
"8107813",60,17,0,123,0,129,337,
"8107802",44,14,0,85,0,98,245,
"8107807",28,18,0,91,0,105,236,
"8107804",42,13,0,82,5,126,269,
"8107803",51,21,0,112,4,160,345,
"8107814",86,17,0,178,0,195,482,
"8107815",41,16,0,126,3,154,341,
"8107811",85,31,0,159,3,286,560,
"8107808",60,36,0,146,0,173,417,
"8107817",34,18,0,90,0,91,236,
"8107812",46,24,0,103,0,137,308,
"8107816",39,17,0,101,0,112,272,
"8107806",57,24,0,141,0,152,377,
"8107903",58,31,0,136,3,223,449,
"8107904",63,19,0,102,0,177,363,
"8107906",46,23,0,125,4,149,349,
"8107905",38,25,0,103,0,218,381,
"8107907",40,19,0,95,0,137,298,
"8107901",48,11,0,83,0,126,264,
"8107908",43,19,0,84,0,131,280,
"8107909",26,10,0,90,3,171,296,
"8107902",56,28,0,114,3,173,370,
"8108009",0,0,0,0,0,0,0,
"8108005",28,14,0,63,0,29,128,
"8108002",60,8,0,124,5,203,390,
"8108006",66,3,0,85,0,84,236,
"8108008",0,0,0,0,0,0,0,
"8108003",70,22,0,147,11,288,535,
"8108011",123,28,0,175,3,246,588,
"8108007",0,0,0,0,0,5,11,
"8106405",103,33,0,172,4,297,600,
"8106416",47,13,0,83,0,175,319,
"8106417",18,0,0,18,0,9,52,
"8106402",96,14,0,166,0,260,533,
"8106403",65,12,0,60,0,242,380,
"8106404",147,18,0,158,0,151,480,
"8106407",39,7,0,77,0,135,253,
"8106413",50,12,0,112,0,195,369,
"8106409",0,0,0,0,0,0,0,
"8106410",52,6,0,64,0,105,226,
"8106401",82,9,0,106,0,106,306,
"8106411",222,30,0,172,0,200,627,
"8106414",14,0,0,25,0,80,122,
"8106415",56,12,0,87,0,149,307,
"8104018",0,0,0,0,0,0,0,
"8104005",67,16,0,124,3,216,419,
"8104007",97,23,0,159,0,228,504,
"8104024",38,10,0,91,0,127,272,
"8104025",37,20,0,127,0,169,346,
"8104008",100,28,0,167,0,229,530,
"8104002",54,9,0,122,0,143,328,
"8104017",46,15,0,120,0,204,389,
"8104006",61,7,0,78,0,164,318,
"8104001",73,23,0,272,6,275,652,
"8104019",26,8,0,62,0,120,222,
"8104016",0,0,0,0,0,0,0,
"8104020",0,0,0,0,0,0,0,
"8104026",70,21,0,299,6,225,618,
"8104013",64,10,0,94,0,144,306,
"8104011",0,0,0,0,0,0,0,
"8104015",75,12,0,114,0,184,392,
"8104401",106,21,0,194,6,275,601,
"8104402",112,25,0,166,6,286,596,
"8104412",45,20,4,74,0,118,267,
"8104423",61,16,0,106,0,149,330,
"8111901",0,0,0,0,0,6,10,
"8103927",76,14,4,168,6,232,508,
"8103907",52,5,0,70,0,110,241,
"8103922",75,14,0,127,0,195,409,
"8103912",52,17,0,124,0,166,371,
"8103924",84,14,0,112,0,198,405,
"8103923",89,28,4,123,0,249,494,
"8103908",33,16,0,79,0,92,225,
"8103925",91,11,0,116,0,165,396,
"8103919",40,14,0,79,0,102,236,
"8103914",79,19,0,151,0,241,486,
"8103708",130,28,0,133,4,213,507,
"8104502",0,0,0,0,0,0,0,
"8103703",78,17,0,156,8,166,431,
"8103707",66,21,0,120,0,100,308,
"8103702",79,23,0,119,3,130,350,
"8103704",123,15,4,115,0,221,477,
"8103706",79,14,0,76,0,137,304,
"8105604",70,17,0,116,0,224,427,
"8105602",85,34,0,152,5,288,560,
"8105606",48,12,0,29,3,113,206,
"8105605",81,26,0,92,0,264,470,
"8105601",105,25,0,143,3,245,518,
"8105603",78,17,0,135,0,210,445,
"8105607",81,21,0,75,0,196,377,
"8111303",9,0,0,0,0,9,14,
"8104425",0,0,0,0,0,0,0,
"8104411",57,10,0,113,0,173,351,
"8104413",89,10,0,89,3,160,352,
"8104405",114,18,0,112,0,207,453,
"8104404",116,17,0,181,0,275,594,
"8104409",87,9,0,83,0,159,346,
"8101304",50,12,0,67,3,162,298,
"8101302",55,8,0,202,5,307,567,
"8101310",34,12,0,48,3,146,247,
"8101303",72,16,0,106,0,183,376,
"8101307",38,16,0,50,0,98,208,
"8101305",53,22,0,130,0,196,401,
"8101306",50,16,0,71,0,197,341,
"8101308",59,12,0,80,0,150,300,
"8101309",0,0,0,4,0,0,4,
"8101301",33,8,0,60,0,113,218,
"8101404",74,28,0,150,4,254,509,
"8101406",36,12,0,78,0,129,259,
"8101402",59,24,0,127,0,257,474,
"8101403",84,29,0,163,0,299,576,
"8101407",86,35,0,183,0,304,610,
"8101405",50,15,0,112,0,203,379,
"8101401",26,11,0,77,0,149,267,
"8109404",97,47,0,172,0,298,614,
"8109405",73,24,0,137,0,283,516,
"8109406",73,15,0,140,9,239,483,
"8109403",41,13,0,53,0,119,221,
"8109401",69,15,0,121,4,208,413,
"8109407",57,30,3,99,0,159,347,
"8101511",23,14,0,55,0,129,219,
"8101505",72,33,0,145,0,271,520,
"8101506",41,19,0,110,0,148,309,
"8101515",35,8,0,84,0,315,449,
"8101501",87,18,0,150,0,312,562,
"8101514",0,0,0,0,0,0,0,
"8101513",34,17,0,114,0,97,254,
"8101508",46,26,0,104,0,152,326,
"8101510",50,14,0,90,0,215,369,
"8101503",36,11,5,99,0,173,319,
"8101502",26,16,0,74,0,129,243,
"8101509",63,18,0,113,4,209,400,
"8101504",41,12,0,108,0,187,350,
"8101512",25,8,0,88,0,166,281,
"8110301",71,28,0,119,0,182,397,
"8110306",70,18,0,81,0,409,584,
"8110303",56,17,0,78,0,158,315,
"8110307",63,16,0,127,5,277,485,
"8110308",30,10,0,34,0,119,199,
"8110305",33,13,0,50,0,153,259,
"8110302",67,17,0,98,0,175,350,
"8110304",67,18,0,119,0,198,406,
"8103103",0,0,0,0,0,6,5,
"8110401",99,29,0,203,0,320,644,
"8110406",0,0,0,0,0,0,0,
"8110403",62,18,0,104,5,228,421,
"8110402",49,24,0,90,0,164,328,
"8110404",61,23,0,127,0,210,418,
"8110405",71,18,0,119,4,316,527,
"8108105",53,29,0,122,0,175,374,
"8108112",27,11,0,88,0,164,292,
"8108114",26,15,0,73,0,125,236,
"8108103",66,16,0,169,3,231,478,
"8108108",56,28,4,171,0,198,458,
"8108109",41,24,0,126,4,159,351,
"8108104",53,32,0,89,3,140,319,
"8108101",51,22,0,115,0,184,377,
"8108102",28,20,0,106,0,132,292,
"8108106",46,36,0,128,0,174,384,
"8108111",57,21,0,128,0,138,342,
"8111304",0,0,0,10,0,3,12,
"8111306",0,0,0,0,0,0,0,
"8101602",28,10,0,54,0,81,176,
"8101606",85,36,0,147,0,240,506,
"8101615",65,20,0,127,0,242,452,
"8101613",52,14,0,139,7,206,416,
"8101612",66,20,0,139,0,280,504,
"8101616",67,21,0,154,0,261,505,
"8101603",51,27,0,140,0,257,480,
"8101610",26,8,0,100,0,108,240,
"8101605",54,21,0,121,0,178,382,
"8101604",65,30,0,120,0,198,410,
"8101614",56,15,0,134,0,209,422,
"8101619",65,18,0,157,5,193,440,
"8101608",0,0,0,0,0,0,0,
"8101618",51,28,0,114,0,195,393,
"8101607",27,11,0,69,0,138,253,
"8101601",55,24,0,124,6,224,426,
"8101617",58,20,0,133,0,199,411,
"8101609",56,24,0,151,0,219,453,
"8101611",47,17,0,102,0,224,393,
"8108240",29,12,0,61,0,98,203,
"8108219",73,40,0,153,5,249,522,
"8108235",59,29,0,167,0,317,579,
"8108203",43,20,0,125,3,309,493,
"8108207",75,30,0,136,0,265,508,
"8108226",45,14,0,123,0,227,416,
"8108214",36,17,0,63,0,104,220,
"8108225",33,9,0,69,0,158,281,
"8108217",62,15,0,122,0,184,379,
"8108211",48,13,0,93,5,166,330,
"8108210",70,22,0,140,0,244,476,
"8108209",38,15,0,64,0,138,261,
"8108241",62,17,0,126,3,219,423,
"8108215",77,27,0,144,0,240,497,
"8108204",51,19,0,93,0,171,335,
"8108213",67,36,0,162,0,289,547,
"8108227",50,25,0,115,0,176,360,
"8108220",41,32,0,98,5,241,418,
"8108228",30,7,0,47,0,103,190,
"8108230",52,15,0,85,3,166,312,
"8108229",81,23,0,132,3,255,496,
"8108224",41,33,0,145,3,224,447,
"8108233",36,13,0,86,0,125,263,
"8108201",33,23,0,79,0,149,287,
"8108238",60,12,0,116,0,164,356,
"8108232",54,21,0,125,0,143,336,
"8108212",52,18,0,109,0,192,381,
"8108218",51,10,0,84,3,188,334,
"8108236",80,17,0,132,3,339,579,
"8108202",34,17,0,64,0,114,220,
"8108222",59,19,0,111,0,192,388,
"8108231",38,16,0,114,0,162,334,
"8108223",27,15,0,72,4,148,268,
"8108208",31,12,0,62,0,116,222,
"8108221",32,20,0,99,3,160,321,
"8108237",60,22,0,143,0,195,424,
"8108216",59,13,0,98,0,184,369,
"8108234",33,12,0,90,3,124,258,
"8108205",27,20,0,104,5,136,279,
"8108239",43,10,0,89,0,166,310,
"8108206",34,11,3,87,0,145,281,
"8113103",249,31,0,178,5,186,654,
"8113102",39,8,0,78,0,139,256,
"8113105",314,46,0,228,0,163,751,
"8113107",148,25,0,96,3,138,405,
"8113104",58,13,0,56,0,39,165,
"8113108",153,19,0,122,0,163,452,
"8113106",0,0,0,0,0,0,0,
"8113109",176,22,0,128,0,141,473,
"8101709",46,11,0,85,0,157,304,
"8101707",53,19,0,152,3,238,466,
"8101708",18,11,0,50,0,104,181,
"8101703",84,23,0,181,9,269,568,
"8101705",47,21,0,108,0,182,361,
"8101706",90,45,0,190,3,259,587,
"8101702",65,36,0,143,4,280,521,
"8101704",44,19,0,99,3,169,337,
"8101701",38,18,0,75,0,168,305,
"8105705",71,15,0,104,0,284,482,
"8105704",49,10,0,78,0,166,306,
"8105703",39,15,0,65,0,168,284,
"8105709",86,12,0,147,0,188,432,
"8105702",52,10,0,75,0,132,267,
"8105708",83,29,0,115,3,225,443,
"8105714",48,13,0,82,0,129,274,
"8105706",65,9,0,105,3,308,493,
"8105715",39,12,0,95,0,89,236,
"8105711",215,42,0,312,5,279,857,
"8105713",46,17,0,91,0,166,321,
"8105712",82,30,5,100,0,128,343,
"8105701",77,6,0,101,3,188,379,
"8110505",60,23,0,83,0,206,373,
"8110507",62,33,0,200,0,351,651,
"8110503",47,19,0,138,0,164,369,
"8110506",80,29,0,127,0,256,494,
"8110502",71,28,0,161,0,332,594,
"8110501",0,0,0,0,0,0,0,
"8110504",90,25,0,134,3,365,609,
"8102105",86,31,0,247,4,360,724,
"8102102",56,15,0,138,0,175,387,
"8102103",74,27,0,163,0,284,553,
"8102101",58,36,0,168,3,333,599,
"8102104",71,35,0,165,0,204,476,
"8101802",0,0,0,0,0,0,0,
"8108301",92,39,0,166,4,212,522,
"8108303",55,31,0,168,3,215,477,
"8108302",67,23,0,160,0,180,429,
"8101906",38,16,0,89,0,132,274,
"8101909",45,28,0,125,0,209,409,
"8101908",58,27,0,150,5,270,507,
"8101912",35,21,0,102,0,171,335,
"8101907",85,29,0,142,0,289,549,
"8101910",48,25,0,113,0,185,374,
"8101913",43,20,0,118,0,205,384,
"8101911",66,29,0,135,5,209,440,
"8102006",49,19,0,82,3,165,316,
"8102007",45,16,0,88,0,158,311,
"8102008",73,20,0,119,3,188,407,
"8102003",41,18,0,57,0,160,272,
"8102001",57,15,0,85,0,123,284,
"8102005",70,19,0,140,5,223,458,
"8102002",54,17,0,76,5,224,373,
"8102004",43,11,0,74,0,142,277,
"8111401",14,4,0,41,0,37,100,
"8110607",74,25,0,142,0,232,470,
"8110602",71,49,0,171,6,247,540,
"8110601",64,35,0,154,5,268,521,
"8110603",55,31,3,151,0,234,476,
"8110604",40,16,0,55,0,151,259,
"8110605",46,36,0,240,6,213,542,
"8110606",61,10,0,93,0,280,448,
"8102205",74,27,3,164,3,297,564,
"8102207",58,25,0,140,0,266,492,
"8102208",32,7,0,101,0,134,282,
"8102201",31,10,0,55,0,119,217,
"8102204",61,20,0,166,0,248,497,
"8102202",34,11,0,75,0,166,295,
"8102206",57,19,0,80,0,189,342,
"8102203",69,20,0,124,0,247,461,
"8104503",0,0,0,0,0,0,0,
"8104504",0,0,0,4,0,0,3,
"8108405",56,21,0,122,0,188,395,
"8108404",67,23,0,100,0,164,350,
"8108410",42,17,4,84,0,122,272,
"8108414",49,11,0,76,0,106,244,
"8108406",31,15,0,95,0,119,254,
"8108415",43,21,3,123,0,175,367,
"8108417",32,12,0,78,7,215,349,
"8108413",39,13,0,75,0,98,227,
"8108408",63,26,0,114,0,164,364,
"8108418",45,16,0,74,3,102,240,
"8108401",28,6,0,79,0,90,204,
"8108412",61,17,0,99,0,209,394,
"8108407",40,16,0,91,0,116,274,
"8108411",74,19,0,123,0,154,364,
"8108403",41,13,0,110,0,136,301,
"8108402",23,16,0,70,0,113,229,
"8108420",0,0,0,0,0,0,0,
"8106708",77,18,0,120,5,187,412,
