Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA1 by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"SA1",
"8107312",34,58,0,14,0,0,0,13,5,119,
"8107309",42,105,0,23,0,0,0,10,14,186,
"8107315",0,0,0,0,0,0,0,0,0,0,
"8107311",32,112,0,87,0,0,0,9,21,259,
"8107313",27,58,0,47,0,0,0,15,13,162,
"8107302",52,74,0,30,0,0,0,4,6,164,
"8107310",43,67,0,7,0,0,0,6,10,136,
"8107303",46,95,0,15,0,0,0,12,7,178,
"8107301",52,74,0,14,0,0,0,3,10,150,
"8112406",77,48,0,8,0,0,0,8,15,151,
"8112401",84,26,0,115,0,9,0,30,37,307,
"8112408",31,29,0,32,0,0,0,7,15,112,
"8112405",55,41,0,12,3,0,0,0,16,126,
"8112407",56,43,0,46,0,0,0,9,14,171,
"8112403",73,57,0,28,0,0,0,3,21,173,
"8112404",53,43,0,68,0,0,0,4,17,192,
"8112402",62,51,0,45,0,0,3,5,20,187,
"8109103",58,33,0,51,0,0,0,8,15,166,
"8109107",46,52,0,4,0,0,0,3,10,119,
"8109108",75,66,0,8,0,0,0,0,13,163,
"8109102",57,40,0,6,0,0,0,4,10,118,
"8109104",41,34,0,9,0,0,0,3,7,97,
"8109105",53,37,0,8,0,0,0,0,7,108,
"8109101",43,22,0,3,5,0,0,7,4,77,
"8109106",72,65,0,7,0,0,0,4,10,159,
"8100408",18,29,0,36,0,0,0,4,7,100,
"8100405",37,69,0,49,0,0,0,17,6,181,
"8100409",21,39,0,65,0,0,0,15,14,156,
"8100406",46,82,0,73,0,0,0,19,9,241,
"8100404",26,48,0,49,0,0,0,13,9,145,
"8100403",34,80,0,43,0,0,0,9,11,191,
"8100401",15,48,0,13,0,0,0,7,10,94,
"8100402",47,94,0,14,0,0,0,3,9,162,
"8109901",89,75,0,127,0,0,0,24,28,343,
"8109905",69,58,0,54,0,0,0,5,17,206,
"8109903",41,53,0,19,0,0,0,0,13,125,
"8109904",52,46,0,29,0,0,0,7,20,157,
"8109902",56,71,0,116,0,0,0,31,35,303,
"8107410",29,64,0,11,0,0,0,0,3,110,
"8107407",39,104,0,39,0,0,0,9,3,196,
"8107402",56,92,0,55,0,0,0,9,14,222,
"8107405",20,74,0,55,0,0,3,12,12,169,
"8107404",28,64,0,40,0,0,0,16,6,156,
"8107406",47,76,0,26,4,0,0,14,11,178,
"8107403",37,65,0,9,0,0,0,3,6,116,
"8107408",29,52,0,8,0,0,0,3,3,90,
"8107401",52,66,0,33,0,0,0,9,16,179,
"8107411",54,69,0,19,0,0,0,12,6,164,
"8107409",41,85,0,22,0,0,0,8,6,163,
"8107413",36,61,0,10,0,0,0,3,9,114,
"8107412",25,35,0,26,0,0,0,9,3,104,
"8105302",16,55,0,187,6,0,0,22,61,336,
"8105309",6,8,0,36,0,0,0,20,11,76,
"8105310",31,59,0,291,0,0,4,81,94,566,
"8107509",17,44,0,5,0,0,0,0,4,71,
"8107504",37,70,0,81,0,0,0,9,8,206,
"8107516",53,100,0,55,0,0,0,18,8,230,
"8107502",33,52,0,8,0,0,0,7,7,107,
"8107512",26,50,0,13,0,0,0,8,5,99,
"8107503",44,54,0,31,0,0,0,3,4,139,
"8107505",46,93,0,28,0,0,0,5,7,185,
"8107506",24,81,0,42,0,0,0,11,10,164,
"8107507",28,78,0,21,0,0,0,5,4,142,
"8107513",28,58,0,12,0,0,0,7,3,112,
"8107510",24,102,0,35,0,0,0,11,10,181,
"8107508",18,67,0,3,0,0,0,0,6,96,
"8107517",18,63,0,5,0,0,0,9,8,99,
"8100504",63,59,0,34,6,0,0,9,18,192,
"8100508",32,27,0,15,0,0,0,4,8,85,
"8100507",52,42,0,9,0,0,0,6,11,121,
"8100505",74,69,0,62,3,0,0,6,20,236,
"8100509",56,53,0,36,0,0,0,5,14,166,
"8100506",50,19,0,20,0,0,0,8,10,101,
"8100501",25,32,0,55,0,0,0,5,12,131,
"8100502",61,66,0,32,4,0,0,9,9,175,
"8100503",53,39,0,9,0,0,0,4,11,124,
"8110007",37,34,0,23,3,0,0,0,5,95,
"8110006",62,47,0,32,0,0,4,4,15,169,
"8110009",47,26,0,115,0,0,0,16,28,234,
"8110002",62,47,0,26,0,0,0,3,6,143,
"8110012",67,48,0,48,0,0,0,14,11,193,
"8110005",102,55,0,21,0,0,3,8,16,206,
"8110010",72,58,0,30,3,0,0,11,15,191,
"8110008",76,74,0,82,3,0,0,11,41,287,
"8110004",99,69,0,55,3,0,0,13,20,258,
"8110003",36,32,0,12,3,0,0,3,11,97,
"8110001",90,51,0,16,0,0,0,8,11,181,
"8110011",37,32,0,22,0,0,0,5,6,104,
"8106207",54,39,0,35,0,0,5,0,19,153,
"8106205",56,49,0,61,0,0,0,0,42,206,
"8106203",0,0,0,0,0,0,0,0,5,5,
"8106204",47,35,0,28,3,0,0,8,27,146,
"8106201",118,39,0,62,4,17,7,39,38,322,
"8106208",31,46,0,12,0,0,0,6,11,106,
"8106206",53,28,0,3,0,0,0,9,12,98,
"8106209",51,30,0,14,0,0,0,0,16,114,
"8106202",79,38,0,37,0,0,0,8,37,197,
"8105404",52,51,0,49,0,0,0,11,18,179,
