electorate,key_0,key_3899.5,key_11699.5,key_18199.5,key_23399.5,key_29899.5,key_37699.5,key_46799.5,key_58499.5,key_71499.5,key_84499.5,key_97499.5,key_116999.5,key_142999.5,key_168999.5,key_194999.5,key_220999.5,key_246999.5,key_285999.5,key_363999.5,key_493999
ginninderra,0.008850811,0.003752744,0.012355732,0.020817107,0.039687035,0.034978404,0.047617362,0.055335269,0.078524393,0.082135524,0.076364795,0.067443178,0.142745876,0.098881258,0.07052326,0.065566806,0.027579126,0.028853643,0.021029526,0.016604121,0.000354032
yerrabi,0.006949525,0.001991384,0.007315289,0.010282045,0.02218971,0.020726652,0.031537023,0.042997643,0.064659026,0.07400634,0.07404698,0.06823539,0.158172803,0.110338942,0.088230513,0.080468178,0.040234089,0.042225473,0.032512395,0.022392912,0.000487686
kurrajong,0.013508371,0.005593607,0.020624049,0.027777778,0.040829528,0.0304414,0.034931507,0.043226788,0.063508371,0.067922374,0.068759513,0.059665145,0.145357686,0.073744292,0.061834094,0.085312024,0.032762557,0.044178082,0.035578387,0.04238965,0.002054795
murrumbidgee,0.004713966,0.004274529,0.008469159,0.018536274,0.03803132,0.031160115,0.045741451,0.051254394,0.072027804,0.070629594,0.064038031,0.059443912,0.135945989,0.083013742,0.067553531,0.074464685,0.038910195,0.046540428,0.041387025,0.041746564,0.00211729
brindabella,0.004468382,0.001396369,0.008298424,0.018471973,0.038100938,0.029882306,0.045162577,0.054139238,0.072012767,0.078196689,0.067065629,0.061360463,0.147416717,0.105645322,0.081029324,0.067664073,0.035786954,0.035747058,0.027528426,0.020027927,0.000598444
