electorate,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years+
ginninderra,0.134305476,0.111016185,0.168162721,0.161924936,0.132514892,0.107493534,0.096305312,0.059065854,0.024705373,0.004458904,4.68126E-05
yerrabi,0.170404962,0.124062362,0.156922587,0.199404324,0.15051233,0.096631858,0.065193411,0.027908516,0.008408099,0.000551552,0
kurrajong,0.088156336,0.107237794,0.235004606,0.165692854,0.125305961,0.112554283,0.080865903,0.04682195,0.029424924,0.008882748,5.26385E-05
murrumbidgee,0.129314973,0.115021206,0.11204166,0.139474956,0.141944489,0.123785365,0.107545498,0.081024856,0.040465453,0.009274172,0.000107371
brindabella,0.133622983,0.13212829,0.131646949,0.133027639,0.139905758,0.150457275,0.109353229,0.047766828,0.018746992,0.00329339,5.06675E-05
combined,0.131815304,0.117933106,0.160843323,0.160386805,0.138080453,0.117844829,0.091654287,0.052184353,0.024031538,0.005175558,5.0444E-05
