electorate,postgrad,graduate,"diploma, etc",school level
ginninderra,0.151720467,0.237509881,0.234767459,0.376002194
yerrabi,0.165677365,0.24102187,0.247010208,0.346290557
kurrajong,0.239269312,0.305846196,0.139801098,0.315083394
murrumbidgee,0.187488408,0.280462925,0.209188026,0.32286064
brindabella,0.090910686,0.176978417,0.294911388,0.437199509
combined,0.166761598,0.248015115,0.225207171,0.360016115
