,electorate,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Other Territories,Overseas
0,ginninderra,0.07372273577416273,0.012836555927824648,0.014666505200554366,0.003565709979951291,0.00431921850401647,0.00145319501069713,0.0020452374224626275,0.8043299829115031,0.0001614661122996811,0.08289939315652795
1,yerrabi,0.0943086412702039,0.0187475012850534,0.024016220229596208,0.007067793706094009,0.007039236963847164,0.0013850019989719573,0.00496887315095094,0.7469872636929579,0.00012850534011080015,0.09535096236221371
2,kurrajong,0.11863836554930267,0.04260459995106435,0.036395889405431855,0.012142158062148274,0.011576339613408367,0.004220699779789576,0.004434793246880352,0.6249847076094935,0.00010704673354538782,0.14489540004893564
3,murrumbidgee,0.06278582462795002,0.01563145256267111,0.015356143222036983,0.004863798351202949,0.0040378703293005615,0.0014683164833820222,0.0024930790290757254,0.8197488567014882,0.0002447194138970037,0.07336993927899543
4,brindabella,0.050796396396396395,0.008158558558558559,0.012122522522522522,0.003055855855855856,0.0021045045045045047,0.0010666666666666667,0.002003603603603604,0.890854054054054,0.0,0.029837837837837836
5,combined,0.07974096016580406,0.019277045482913067,0.020310418196648507,0.006049294200631054,0.005750312769409845,0.001889678754611716,0.003169783717413201,0.778980154018978,0.00012772022304595316,0.08470463247054452
