Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by ANC1P - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"ANC1P - 1 Digit Level","Oceanian","North-West European","Southern and Eastern European","North African and Middle Eastern","South-East Asian","North-East Asian","Southern and Central Asian","Peoples of the Americas","Sub-Saharan African","Supplementary codes","Not stated","Total",
"SA1 (UR)",
"8105601",130,291,31,5,21,14,6,3,3,0,20,518,
"8105603",81,246,15,0,15,19,38,7,0,3,21,445,
"8105607",67,259,31,4,0,4,4,0,3,0,10,377,
"8111303",0,10,0,0,0,0,0,0,0,0,4,14,
"8104425",0,0,0,0,0,0,0,0,0,0,0,0,
"8104411",58,150,18,20,13,51,22,0,0,0,24,351,
"8104413",79,175,29,4,4,29,37,0,0,0,9,352,
"8104405",101,218,34,0,17,17,54,0,4,0,10,453,
"8104404",130,240,36,12,45,61,39,3,10,0,24,594,
"8104409",83,135,15,5,7,46,40,3,7,0,0,346,
"8101304",63,174,24,0,5,19,4,0,0,0,4,298,
"8101302",82,173,23,15,28,35,115,4,19,5,72,567,
"8101310",51,145,12,0,15,6,14,0,0,0,13,247,
"8101303",87,249,16,0,0,12,0,0,0,0,6,376,
"8101307",55,99,11,5,7,8,5,0,7,3,14,208,
"8101305",79,220,56,0,3,11,16,6,0,0,3,401,
"8101306",96,199,21,0,0,14,3,0,5,0,6,341,
"8101308",62,198,27,0,9,9,0,3,5,0,0,300,
"8101309",0,4,0,0,0,0,0,0,0,0,0,4,
"8101301",52,108,8,0,9,8,29,0,0,7,9,218,
"8101404",127,235,38,8,3,20,31,3,6,0,37,509,
"8101406",62,127,7,0,25,16,8,0,7,3,9,259,
"8101402",95,283,13,9,11,13,17,0,0,7,27,474,
"8101403",171,293,43,6,14,17,7,6,0,0,14,576,
"8101407",154,305,41,5,24,11,10,8,11,4,40,610,
"8101405",93,175,35,3,21,16,3,4,8,5,26,379,
"8101401",56,154,10,0,17,13,5,0,0,7,11,267,
"8109404",111,376,53,3,17,10,20,0,0,3,26,614,
"8109405",153,279,30,3,3,21,12,0,0,0,12,516,
"8109406",106,241,13,21,19,16,35,5,4,3,25,483,
"8109403",63,124,11,16,0,0,0,0,0,0,8,221,
"8109401",102,242,28,4,10,4,5,0,0,0,18,413,
"8109407",69,200,30,0,4,23,3,5,0,0,3,347,
"8101511",73,105,14,0,3,0,3,0,0,0,24,219,
"8101505",111,315,18,5,12,16,5,0,0,0,30,520,
"8101506",62,178,21,0,0,14,26,3,0,0,16,309,
"8101515",82,201,22,3,5,21,34,3,0,0,73,449,
"8101501",105,363,20,6,14,16,11,4,5,5,12,562,
"8101514",0,0,0,0,0,0,0,0,0,0,0,0,
"8101513",44,82,17,10,14,6,53,3,0,3,18,254,
"8101508",76,198,4,0,21,9,3,0,0,0,12,326,
"8101510",103,196,14,7,0,5,0,5,4,0,32,369,
"8101503",58,185,28,10,3,3,7,5,0,0,18,319,
"8101502",65,139,30,9,0,0,0,3,5,0,3,243,
"8101509",113,215,16,13,4,6,8,4,0,0,26,400,
"8101504",116,168,19,0,0,0,13,8,11,0,14,350,
"8101512",64,136,11,0,10,9,16,0,0,8,31,281,
"8110301",54,177,21,8,25,21,49,0,5,4,35,397,
"8110306",138,310,28,3,17,12,4,0,0,0,74,584,
"8110303",82,161,12,0,3,8,22,0,0,0,18,315,
"8110307",135,242,20,3,18,6,10,5,0,0,41,485,
"8110308",42,119,10,0,0,4,4,0,0,0,18,199,
"8110305",60,136,3,7,6,12,9,6,0,3,13,259,
"8110302",73,239,11,0,5,13,0,0,0,0,15,350,
"8110304",91,253,27,3,4,8,0,0,0,0,22,406,
"8103103",0,0,0,0,0,0,0,0,0,0,0,5,
"8110401",92,240,97,19,10,68,88,0,0,7,11,644,
"8110406",0,0,0,0,0,0,0,0,0,0,0,0,
"8110403",82,201,46,9,11,26,41,6,0,0,10,421,
"8110402",48,121,34,17,15,28,51,0,19,3,6,328,
"8110404",59,204,53,13,14,25,37,4,6,0,10,418,
"8110405",108,221,28,20,14,48,54,0,8,0,30,527,
"8108105",87,165,34,3,25,8,25,9,4,0,18,374,
"8108112",68,143,12,5,10,10,13,0,0,4,23,292,
"8108114",38,113,9,6,23,9,15,0,0,9,19,236,
"8108103",119,225,50,8,16,8,17,0,0,0,31,478,
"8108108",119,230,24,7,19,8,24,0,0,3,25,458,
"8108109",109,144,18,3,26,17,12,0,7,0,12,351,
"8108104",105,146,21,0,23,10,3,0,0,0,14,319,
"8108101",77,190,42,0,13,8,33,0,4,0,13,377,
"8108102",77,167,14,0,5,12,7,0,0,0,11,292,
"8108106",100,196,12,6,7,5,32,0,6,3,16,384,
"8108111",100,186,11,0,13,5,11,0,0,0,10,342,
"8111304",0,8,4,0,0,0,0,0,0,0,0,12,
"8111306",0,0,0,0,0,0,0,0,0,0,0,0,
"8101602",45,90,13,0,0,5,10,9,0,0,12,176,
"8101606",128,227,42,0,16,53,17,5,6,0,11,506,
"8101615",102,210,31,0,9,40,25,0,5,4,22,452,
"8101613",69,164,22,3,23,26,51,8,9,5,26,416,
"8101612",102,219,46,21,30,21,14,0,0,0,45,504,
"8101616",105,184,105,0,20,41,22,8,3,0,19,505,
"8101603",98,212,43,7,23,44,15,6,8,0,20,480,
"8101610",64,107,35,0,6,10,7,5,0,4,5,240,
"8101605",77,196,24,12,7,20,27,10,0,3,10,382,
"8101604",112,183,39,9,6,29,15,8,5,4,11,410,
"8101614",83,208,43,4,4,38,28,0,0,0,12,422,
"8101619",121,230,44,0,9,17,7,4,0,0,14,440,
"8101608",0,0,0,0,0,0,0,0,0,0,0,0,
"8101618",94,169,32,6,17,38,14,4,3,0,21,393,
"8101607",68,119,36,0,9,7,3,0,0,0,11,253,
"8101601",77,209,42,8,5,38,25,0,3,0,19,426,
"8101617",79,189,54,11,14,27,28,6,0,0,13,411,
"8101609",95,184,70,5,11,48,17,6,0,0,17,453,
"8101611",95,147,49,0,12,35,31,4,0,4,20,393,
"8108240",46,114,14,0,3,3,0,0,0,0,14,203,
"8108219",136,276,32,5,7,9,15,3,3,7,31,522,
"8108235",156,278,43,13,3,14,27,0,0,0,38,579,
"8108203",146,229,25,8,14,3,12,6,0,0,42,493,
"8108207",117,282,35,0,18,9,15,5,0,0,25,508,
"8108226",103,233,14,6,8,8,12,0,3,0,25,416,
"8108214",65,108,10,6,3,4,3,0,0,0,15,220,
"8108225",65,141,17,6,0,0,16,0,0,0,31,281,
"8108217",113,192,30,0,4,9,7,0,0,0,19,379,
"8108211",91,194,17,8,10,8,0,0,0,0,7,330,
"8108210",121,273,34,4,8,5,14,4,0,0,9,476,
"8108209",68,146,13,6,11,0,5,0,0,0,9,261,
"8108241",107,243,21,12,4,13,4,0,0,0,21,423,
"8108215",113,256,20,6,18,12,26,6,9,0,31,497,
"8108204",87,207,16,0,0,0,6,0,0,0,13,335,
"8108213",119,354,19,4,3,12,8,4,4,3,17,547,
"8108227",70,207,23,0,4,16,13,0,0,0,23,360,
"8108220",92,261,30,0,9,8,0,0,0,0,23,418,
"8108228",47,94,12,7,8,7,0,0,0,0,21,190,
"8108230",96,184,13,0,0,9,0,0,0,0,9,312,
"8108229",124,286,40,0,3,0,9,0,0,0,20,496,
"8108224",122,233,20,0,10,17,21,0,0,0,18,447,
"8108233",51,140,12,11,6,3,17,8,0,3,17,263,
"8108201",53,162,22,0,5,8,8,0,0,0,20,287,
"8108238",97,182,22,0,8,24,4,0,8,0,9,356,
"8108232",79,180,38,3,12,4,15,0,4,0,11,336,
"8108212",79,226,35,4,8,12,0,0,0,0,17,381,
"8108218",107,166,24,4,9,3,5,4,0,0,20,334,
"8108236",145,313,55,8,4,8,8,4,0,0,32,579,
"8108202",61,125,11,0,4,0,9,0,0,0,5,220,
"8108222",88,239,14,6,10,3,3,4,5,0,19,388,
"8108231",98,173,21,0,9,4,15,0,7,0,15,334,
"8108223",60,149,13,0,18,7,11,6,0,0,14,268,
"8108208",56,124,14,0,3,0,0,0,0,0,18,222,
"8108221",78,173,18,0,8,4,14,4,0,5,20,321,
"8108237",83,276,36,0,0,8,12,0,0,0,12,424,
"8108216",89,198,22,4,12,12,12,0,0,0,26,369,
"8108234",52,165,8,0,10,7,0,0,0,3,8,258,
"8108205",54,163,16,0,13,4,14,4,0,0,19,279,
"8108239",99,163,24,4,3,0,0,0,0,0,13,310,
"8108206",98,141,19,0,0,0,7,0,3,0,11,281,
"8113103",117,396,39,10,0,25,14,7,0,9,41,654,
"8113102",41,102,36,10,16,8,12,3,0,0,21,256,
"8113105",145,404,52,19,19,40,37,7,5,0,27,751,
"8113107",80,253,17,0,11,17,15,0,0,0,10,405,
"8113104",27,108,10,5,0,7,12,0,0,0,0,165,
"8113108",83,263,34,4,7,13,20,3,0,0,20,452,
"8113106",0,0,0,0,0,0,0,0,0,0,0,0,
"8113109",76,253,16,15,8,21,11,3,8,0,58,473,
"8101709",58,185,16,3,6,0,10,6,0,0,15,304,
"8101707",111,214,35,6,17,31,0,0,8,0,34,466,
"8101708",48,92,4,0,8,0,9,0,0,0,15,181,
"8101703",157,294,36,3,20,19,6,6,0,3,22,568,
"8101705",72,202,17,5,7,4,22,4,0,9,22,361,
"8101706",179,313,43,4,3,15,6,0,0,0,23,587,
"8101702",140,248,28,8,12,17,6,3,8,15,25,521,
"8101704",104,168,19,0,9,0,10,0,3,0,15,337,
"8101701",77,174,10,0,0,10,10,0,0,0,14,305,
"8105705",84,205,66,9,32,21,11,4,0,0,39,482,
"8105704",38,124,36,9,4,18,40,0,9,3,31,306,
"8105703",66,126,27,7,22,19,6,0,0,0,22,284,
"8105709",56,189,27,3,15,25,66,9,4,0,45,432,
"8105702",67,124,27,0,13,16,16,0,0,0,12,267,
"8105708",81,268,22,9,0,24,4,0,0,5,30,443,
"8105714",59,161,24,3,0,10,3,0,5,3,10,274,
"8105706",82,248,35,6,24,13,22,3,0,0,61,493,
"8105715",28,104,34,5,5,16,26,8,0,0,14,236,
"8105711",107,336,35,11,33,154,82,11,4,4,67,857,
"8105713",75,187,29,0,5,12,3,0,7,0,0,321,
"8105712",46,143,12,5,23,23,33,3,0,0,44,343,
"8105701",54,226,20,3,16,22,15,0,0,0,18,379,
"8110505",61,222,37,0,15,17,0,4,0,0,19,373,
"8110507",91,264,28,14,19,38,99,0,7,3,91,651,
"8110503",53,159,27,6,11,30,41,0,7,7,32,369,
"8110506",122,223,22,6,32,18,41,5,4,10,11,494,
"8110502",135,277,35,5,16,12,40,3,15,5,56,594,
"8110501",0,0,0,0,0,0,0,0,0,0,0,0,
"8110504",108,289,35,0,22,48,30,7,6,3,49,609,
"8102105",159,273,103,7,43,67,31,6,8,0,34,724,
"8102102",76,152,75,6,13,28,10,0,5,10,11,387,
"8102103",102,231,91,18,17,25,21,3,0,0,44,553,
"8102101",122,263,73,7,23,41,6,9,0,8,53,599,
"8102104",106,238,44,4,24,27,11,4,0,6,20,476,
"8101802",0,0,0,0,0,0,0,0,0,0,0,0,
"8108301",153,287,29,0,7,10,11,0,3,0,21,522,
"8108303",116,283,19,4,4,7,7,0,5,0,34,477,
"8108302",162,209,28,4,3,0,4,5,0,0,11,429,
"8101906",59,153,24,0,3,17,0,5,0,0,10,274,
"8101909",147,199,25,4,5,0,8,3,4,3,15,409,
"8101908",160,263,45,4,10,7,0,3,0,0,22,507,
"8101912",102,183,15,0,3,3,8,0,0,0,12,335,
"8101907",140,330,23,0,3,6,7,7,6,3,18,549,
"8101910",83,217,25,4,14,4,9,5,0,0,16,374,
"8101913",109,217,13,0,6,9,3,5,0,0,21,384,
"8101911",99,269,28,0,11,9,4,4,6,3,13,440,
"8102006",69,142,20,8,11,17,15,4,0,7,15,316,
"8102007",65,152,19,4,17,26,5,7,0,0,16,311,
"8102008",63,188,29,4,22,22,40,7,5,6,13,407,
"8102003",57,147,14,5,7,7,24,0,0,10,11,272,
"8102001",69,151,18,0,11,21,9,0,3,0,0,284,
"8102005",69,226,27,11,19,31,28,0,0,7,40,458,
"8102002",73,163,26,3,5,49,22,0,0,0,25,373,
"8102004",63,131,16,3,5,24,12,0,0,3,8,277,
"8111401",36,45,4,3,0,9,4,0,0,0,5,100,
"8110607",86,263,40,0,7,27,18,0,5,0,24,470,
"8110602",109,230,70,12,8,33,56,8,5,3,5,540,
"8110601",127,207,25,14,26,44,49,5,0,8,30,521,
"8110603",121,212,25,0,26,17,39,0,6,0,24,476,
"8110604",42,107,15,8,18,19,39,0,0,0,7,259,
"8110605",48,149,21,3,29,24,181,0,24,6,49,542,
"8110606",101,273,22,4,8,11,12,0,0,0,16,448,
"8102205",137,291,46,5,17,11,14,8,0,0,29,564,
"8102207",151,265,17,0,0,18,8,5,0,0,23,492,
"8102208",61,145,38,0,4,13,7,6,0,0,10,282,
"8102201",69,113,5,0,0,7,0,0,0,0,26,217,
"8102204",122,226,36,15,15,18,21,5,10,0,24,497,
"8102202",61,181,25,0,0,11,0,0,0,0,18,295,
"8102206",94,191,20,0,4,12,11,0,0,0,15,342,
"8102203",109,254,17,12,23,14,7,3,3,3,14,461,
"8104503",0,0,0,0,0,0,0,0,0,0,0,0,
"8104504",0,0,0,0,0,0,0,0,0,0,0,3,
"8108405",95,175,38,7,19,7,45,0,4,0,10,395,
"8108404",80,157,16,8,15,8,43,0,6,5,13,350,
"8108410",51,105,32,8,31,20,29,0,0,0,3,272,
"8108414",55,106,24,0,11,3,27,0,0,0,19,244,
"8108406",63,144,8,19,8,6,8,0,0,0,11,254,
"8108415",83,210,24,10,3,13,3,0,7,10,10,367,
"8108417",69,196,15,3,7,0,13,4,0,9,31,349,
"8108413",50,133,13,3,4,4,10,0,0,0,0,227,
"8108408",98,182,26,21,10,5,21,0,7,0,3,364,
"8108418",56,124,11,6,6,0,8,0,9,7,10,240,
"8108401",49,97,25,0,3,3,4,3,4,0,9,204,
"8108412",98,156,39,0,17,9,35,0,17,6,18,394,
"8108407",70,160,15,0,0,9,0,0,0,0,17,274,
"8108411",72,168,32,0,20,10,41,0,0,0,5,364,
"8108403",80,172,11,3,4,8,12,3,0,0,7,301,
"8108402",51,128,24,0,0,5,0,0,0,0,8,229,
"8108420",0,0,0,0,0,0,0,0,0,0,0,0,
"8106708",95,223,35,8,9,26,8,3,0,0,16,412,
"8106709",86,120,17,14,5,3,0,0,0,0,23,275,
"8106712",95,193,26,11,0,11,15,4,0,3,34,383,
"8106710",72,162,20,16,4,8,27,5,0,0,11,322,
"8106701",97,169,28,3,0,26,13,0,0,0,32,364,
"8106714",65,146,23,0,8,5,6,0,0,0,9,267,
"8106716",32,119,33,0,0,8,11,0,0,7,11,235,
"8106707",46,107,19,0,10,19,16,3,0,9,40,275,
"8106719",73,204,26,16,4,26,29,4,5,0,13,414,
"8106713",77,190,24,0,0,13,13,0,0,0,15,335,
"8106718",6,28,5,0,0,0,0,0,0,0,213,260,
"8106715",87,193,35,5,7,9,11,10,0,9,34,389,
"8106703",84,139,20,0,4,8,4,0,0,3,11,279,
"8106704",59,151,34,0,12,13,18,5,4,7,39,335,
"8106706",101,157,41,13,23,20,25,7,0,3,30,421,
"8106705",85,158,26,6,4,5,25,0,0,3,32,356,
"8106702",46,133,28,8,4,12,5,0,3,0,31,272,
"8106717",56,164,30,11,11,34,24,0,0,8,37,383,
"8104628",70,169,20,9,18,8,32,3,0,9,17,356,
"8104636",86,125,17,0,6,23,21,3,4,5,20,316,
"8104637",61,158,9,19,14,17,11,0,0,7,18,316,
"8104617",163,215,33,4,13,17,23,9,0,3,34,510,
"8104605",55,131,16,7,0,20,23,0,3,0,8,259,
"8104618",123,170,16,0,8,12,11,11,4,3,26,384,
"8104622",92,171,12,0,9,10,30,5,11,3,15,353,
"8104613",112,184,18,9,13,34,25,0,0,0,10,402,
"8104630",76,161,17,0,15,6,24,0,0,0,19,317,
"8104616",39,93,15,0,3,4,15,0,4,6,25,212,
"8104602",83,189,23,0,15,24,36,5,11,8,39,433,
"8104625",111,219,28,13,7,15,7,3,4,0,8,423,
"8104604",79,112,28,3,13,10,17,3,0,0,5,275,
"8104606",85,161,24,10,11,8,12,0,7,8,28,352,
"8104626",63,149,16,7,11,8,46,0,3,0,30,340,
"8104635",45,131,20,7,7,7,32,3,5,0,15,276,
"8104609",80,123,17,7,5,9,23,0,7,0,21,290,
"8104634",66,134,21,4,4,18,33,7,5,7,21,329,
"8104601",51,106,10,0,12,16,14,0,0,11,10,241,
"8104619",64,159,17,4,11,24,18,3,6,0,15,327,
"8104620",70,154,27,6,16,23,15,3,0,0,8,316,
"8104627",76,166,20,9,13,22,25,6,0,0,41,380,
"8104623",133,241,30,10,12,17,20,6,5,9,21,512,
"8104621",85,165,23,0,11,22,20,9,12,7,17,362,
"8104614",49,111,57,0,29,21,11,3,0,0,13,304,
"8104603",42,132,38,0,5,21,7,0,0,0,0,249,
"8104607",55,108,4,3,10,9,10,5,0,5,6,224,
"8104629",12,22,0,0,0,0,0,0,0,0,0,37,
"8104624",0,0,0,0,0,0,0,0,0,0,0,0,
"8104719",93,227,53,0,9,11,22,5,0,0,12,421,
"8104715",38,150,35,0,3,37,14,9,10,0,8,297,
"8104716",85,189,45,0,13,47,26,3,3,0,17,429,
"8104711",105,204,38,8,5,35,25,4,8,6,54,493,
"8104706",66,163,14,0,12,22,35,3,17,5,19,355,
"8104710",114,176,45,8,18,42,15,0,9,0,16,434,
"8104703",89,211,59,8,26,25,35,10,0,0,18,476,
"8104707",44,117,7,0,3,3,3,3,0,0,7,192,
"8104717",135,224,56,3,6,15,52,0,0,9,19,525,
"8104702",75,204,41,5,3,17,3,3,0,0,22,378,
"8104718",114,215,64,0,15,22,24,0,0,0,49,506,
"8104708",58,126,39,3,6,48,39,0,0,0,10,338,
"8104709",57,94,25,21,20,21,15,4,4,0,24,289,
"8104713",88,229,39,6,19,25,19,9,0,0,20,450,
"8104712",61,111,20,3,17,35,27,0,0,6,28,296,
"8104701",65,103,46,0,12,30,18,0,5,0,28,308,
"8104704",65,106,20,0,0,27,3,0,0,0,11,236,
"8104705",79,203,72,0,11,39,14,0,10,0,9,440,
"8111301",30,147,13,5,0,5,12,0,0,0,40,249,
"8105807",132,310,38,13,9,21,11,7,0,0,22,561,
"8105812",80,200,35,4,4,26,27,0,0,0,4,382,
"8105811",92,255,51,3,5,26,10,3,0,5,62,508,
"8105808",127,270,31,5,19,23,25,7,0,0,18,516,
"8105809",87,175,25,4,6,6,4,5,3,0,16,339,
"8105802",101,267,24,0,8,23,23,6,0,0,21,474,
"8105814",0,9,0,0,0,0,0,0,0,0,0,9,
"8105806",74,134,19,0,10,11,30,0,0,0,23,306,
"8105804",51,174,26,5,18,9,14,5,3,0,30,322,
"8105803",89,199,17,20,8,16,22,0,6,13,21,409,
"8105813",71,291,33,4,30,40,27,6,10,4,40,557,
"8105801",108,349,19,0,8,14,0,4,0,0,31,542,
"8105805",61,139,17,0,7,4,4,0,3,0,7,252,
"8105810",63,160,33,0,4,9,8,4,0,0,28,303,
"8110702",63,191,122,36,26,81,75,9,13,3,35,648,
"8110701",34,111,74,21,0,16,30,8,11,5,32,342,
"8108603",117,232,25,12,13,7,8,0,0,0,22,439,
"8108601",81,150,14,11,13,11,7,0,0,3,16,312,
"8108602",69,117,20,5,0,13,4,5,0,0,15,252,
"8108605",123,236,30,0,10,10,25,0,0,0,22,458,
"8108604",65,117,12,0,11,9,9,0,6,0,6,231,
"8102301",115,285,28,0,9,15,25,3,0,0,20,490,
"8102303",99,201,23,0,22,58,65,0,14,0,36,510,
"8102307",110,302,55,0,17,6,12,0,8,0,63,580,
"8102305",57,167,14,0,25,13,22,8,5,0,16,329,
"8102306",86,144,25,14,18,9,27,0,0,0,13,335,
"8102304",108,213,22,6,38,21,33,3,11,8,36,507,
"8102302",60,104,6,17,8,27,13,0,10,0,17,268,
"8104813",70,104,16,16,14,36,20,0,6,0,14,294,
"8104801",61,144,29,0,19,46,23,3,0,0,13,340,
"8104808",69,174,25,0,19,48,22,3,0,0,14,381,
"8104803",72,138,22,7,3,16,23,0,6,0,7,302,
"8104809",100,173,42,0,49,62,19,6,0,0,14,470,
"8104802",103,213,40,7,24,23,43,15,7,0,19,510,
"8104814",93,220,53,0,32,54,38,9,3,3,33,536,
"8104811",94,136,24,5,30,25,17,6,0,4,5,337,
"8104810",74,144,31,5,5,23,20,6,0,0,6,316,
"8104805",108,188,30,11,15,52,45,0,10,0,39,507,
"8104804",34,158,19,5,25,33,54,0,7,0,22,370,
"8104807",72,140,39,3,14,13,15,0,0,5,37,326,
"8104806",73,145,22,3,17,15,16,3,5,0,21,313,
"8104812",93,210,22,10,39,61,36,3,15,6,34,519,
"8112601",0,0,0,0,0,0,0,0,0,0,0,0,
"8106801",0,0,0,0,0,0,0,0,0,0,5,4,
"8110806",100,215,38,0,3,14,0,0,0,0,6,377,
"8110802",49,123,12,7,0,3,13,0,0,0,8,225,
"8110807",109,255,39,7,11,22,72,3,0,0,15,544,
"8110804",126,204,37,4,14,14,21,3,7,0,44,473,
"8110801",0,0,0,0,0,0,0,0,0,0,0,0,
"8110805",103,228,51,3,11,0,8,0,0,0,17,416,
"8110803",111,263,57,0,9,15,23,4,4,4,48,541,
"8110904",0,0,0,0,0,0,0,0,0,0,0,0,
"8110908",34,84,16,9,21,21,146,0,3,7,61,395,
"8110907",35,92,14,0,23,20,109,0,8,12,17,328,
"8110906",37,110,21,9,33,31,158,0,3,10,28,444,
"8110910",60,196,22,0,27,21,49,0,9,6,25,417,
"8110911",0,0,0,0,0,0,0,0,0,0,0,0,
"8110903",0,4,0,0,0,0,0,0,0,0,0,4,
"8110905",17,89,12,0,18,25,53,0,3,0,32,258,
"8110914",0,0,0,0,0,3,0,0,0,0,0,7,
"8110901",16,93,12,12,8,47,22,3,6,3,27,252,
"8110913",39,99,17,0,13,16,20,0,7,0,22,229,
"8106909",78,207,38,3,4,8,7,0,0,0,10,353,
"8106903",67,201,33,3,7,15,15,3,0,0,9,359,
"8106902",56,144,22,6,9,28,4,0,0,0,16,290,
"8106904",43,148,30,15,12,7,13,0,11,0,76,358,
"8106906",101,263,63,19,26,31,23,8,0,6,45,588,
"8106905",96,262,63,13,10,36,59,0,0,0,47,586,
"8106907",62,143,47,0,6,32,27,0,0,0,14,335,
"8106901",59,152,37,9,5,13,10,5,6,0,14,306,
"8106908",0,0,0,0,0,0,0,0,0,0,0,0,
"8112704",62,160,16,0,0,15,0,0,0,0,17,277,
"8112703",93,268,24,8,12,23,9,4,0,0,19,462,
"8112701",70,143,19,9,12,21,12,0,4,3,60,343,
"8112702",79,218,30,3,49,49,15,8,10,0,74,550,
"8108703",164,303,52,7,9,22,9,0,8,0,18,594,
"8108701",120,211,38,5,12,9,4,0,0,9,20,429,
"8108707",76,146,17,11,8,7,6,0,0,0,20,280,
"8108704",51,133,22,14,3,3,4,0,0,4,18,260,
"8108706",136,315,51,8,9,19,16,0,3,0,30,591,
"8108705",104,249,28,0,22,14,11,10,0,0,31,471,
"8108702",104,212,14,7,4,3,11,0,0,14,18,380,
"8109501",71,137,10,0,9,7,0,0,0,0,22,255,
"8109508",138,265,35,0,11,3,11,0,9,0,22,490,
"8109502",81,193,28,0,12,10,3,3,0,0,8,334,
"8109504",111,185,22,0,3,6,7,0,4,0,15,363,
"8109505",103,237,27,3,26,15,17,0,0,0,37,461,
"8109507",97,194,21,11,0,12,15,3,9,0,19,378,
"8109506",86,168,17,0,6,10,0,0,0,0,21,307,
"8109509",80,189,17,4,0,15,16,0,0,6,16,342,
"8109503",54,131,10,14,3,0,3,0,9,0,19,250,
"8112801",0,0,0,0,0,0,0,0,0,0,0,0,
"8102406",96,195,21,10,4,17,25,0,3,3,25,404,
"8102405",52,138,21,3,8,15,18,0,4,7,5,276,
"8102407",54,131,12,6,10,11,29,4,9,6,33,302,
"8102408",118,261,22,8,22,19,33,5,4,3,36,519,
"8102402",142,272,18,14,9,25,26,7,10,10,34,553,
"8102401",55,125,16,5,5,7,8,0,0,3,26,248,
"8102404",70,117,17,0,0,13,19,0,0,0,14,258,
"8102403",84,197,27,0,12,27,13,0,4,4,15,375,
"8102504",154,268,32,0,6,14,15,9,4,5,30,543,
"8102501",87,154,18,3,5,8,4,0,8,0,30,320,
"8102506",127,315,34,3,9,12,4,5,0,3,32,546,
"8102502",131,224,19,0,6,15,7,0,0,0,12,424,
"8102503",127,258,38,6,13,7,3,5,4,3,16,479,
"8102505",88,149,11,0,0,6,3,3,0,0,10,273,
"8109603",128,293,48,6,9,27,11,0,6,0,29,566,
"8109604",110,268,41,0,10,16,5,4,0,0,65,516,
"8109605",81,177,24,0,4,14,10,0,0,0,16,325,
"8109601",70,178,36,10,4,24,14,7,0,0,41,381,
"8109602",68,202,32,5,3,9,15,0,5,0,10,343,
"8111302",60,130,7,0,21,0,0,0,3,0,64,278,
"8111307",47,121,12,0,11,0,0,0,0,0,31,223,
"8111305",4,11,0,0,0,0,0,0,0,0,17,41,
"8111309",5,14,0,0,0,0,0,0,0,0,0,21,
"8108804",84,233,28,6,12,14,29,0,0,0,10,410,
"8108808",98,156,21,8,10,4,5,0,5,0,17,326,
"8108807",146,243,20,0,12,10,8,6,0,0,24,462,
"8108806",96,168,21,3,4,5,0,7,0,0,10,307,
"8108801",155,250,45,4,7,3,9,4,0,0,26,504,
"8108810",59,116,6,0,3,0,14,0,5,0,6,207,
"8108803",76,209,30,0,15,6,25,3,0,0,13,380,
"8108802",87,158,19,4,3,0,0,0,0,7,8,288,
"8108809",145,301,35,14,27,4,13,0,9,0,20,563,
"8108805",68,208,16,0,4,0,23,0,0,9,15,350,
"8111002",72,231,20,10,10,39,54,3,0,3,24,456,
"8111003",69,114,22,0,4,10,9,0,0,5,11,250,
"8111005",85,127,33,5,6,21,7,0,0,0,12,290,
"8111006",99,142,39,3,0,8,0,0,0,0,10,303,
"8111001",106,247,46,10,11,29,23,0,0,0,16,488,
"8111004",98,192,52,3,7,9,31,0,7,6,14,415,
"8108501",0,0,0,0,0,0,0,0,0,0,0,0,
"8106006",91,220,33,17,18,24,22,4,0,6,11,442,
"8106013",13,55,8,4,6,31,3,0,0,0,18,143,
"8106012",51,211,29,11,12,45,23,6,0,0,54,445,
"8106003",98,295,42,10,22,38,21,5,0,0,30,564,
"8106007",51,177,24,4,3,30,12,3,0,7,21,336,
"8106002",93,381,37,14,24,44,54,0,6,10,93,754,
"8106011",41,139,11,0,8,27,4,0,0,0,18,256,
"8106009",8,28,10,0,75,18,63,0,3,3,43,248,
"8109005",100,194,21,9,10,10,10,5,3,0,15,371,
"8109019",135,290,29,0,5,5,6,4,0,0,27,502,
"8109011",130,236,48,8,14,14,10,0,0,0,12,472,
"8109014",105,239,62,14,13,14,13,3,0,5,23,491,
"8109018",56,225,27,0,4,16,10,0,0,0,9,347,
"8109003",130,247,40,0,9,15,9,0,0,4,19,468,
"8109010",131,268,42,0,18,21,11,0,0,0,34,526,
"8109007",61,190,47,9,11,33,41,0,0,0,38,437,
"8109013",73,161,27,0,3,10,10,0,0,4,17,307,
"8109008",132,239,34,0,13,5,15,0,6,0,14,467,
"8109016",128,241,34,5,10,13,27,13,3,0,22,491,
"8109015",77,174,8,3,9,6,15,0,0,7,10,309,
"8109009",86,188,17,0,3,7,0,0,0,0,9,316,
"8109006",89,188,16,11,8,3,9,0,0,0,21,350,
"8109020",75,158,15,0,0,9,16,3,0,0,18,301,
"8109017",29,84,19,0,6,11,9,0,0,0,18,179,
"8109002",58,83,3,0,0,0,0,0,0,0,13,160,
"8109001",52,104,14,10,4,6,7,0,0,0,16,212,
"8109012",63,147,19,0,0,14,5,0,6,0,8,265,
"8109004",125,291,47,6,16,12,26,0,0,0,19,546,
"8109707",94,224,34,0,12,12,7,0,0,3,12,409,
