Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by ANC1P - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"ANC1P - 1 Digit Level","Oceanian","North-West European","Southern and Eastern European","North African and Middle Eastern","South-East Asian","North-East Asian","Southern and Central Asian","Peoples of the Americas","Sub-Saharan African","Supplementary codes","Not stated","Total",
"SA1 (UR)",
"8100306",54,169,23,0,17,64,34,3,0,0,26,394,
"8100312",50,172,43,12,13,120,36,7,4,0,10,461,
"8100317",70,131,24,4,16,111,58,10,3,6,23,450,
"8100313",73,238,43,13,38,90,59,18,9,7,31,625,
"8100307",44,75,14,6,9,50,10,3,0,0,5,216,
"8100304",142,294,48,41,51,156,74,8,4,5,40,866,
"8100308",169,253,35,18,32,282,44,9,11,5,111,963,
"8100309",46,115,12,0,20,31,29,0,0,0,20,285,
"8100301",57,142,21,5,27,81,29,0,0,0,9,372,
"8100311",38,102,17,12,26,49,26,0,0,0,19,292,
"8100318",75,148,10,4,5,8,11,3,0,0,27,294,
"8107308",90,161,18,5,3,3,7,7,0,0,11,302,
"8107304",85,192,15,10,0,0,0,0,7,0,24,332,
"8108107",76,140,22,5,16,16,18,7,0,0,23,317,
"8107316",80,145,23,0,10,4,8,0,0,0,18,298,
"8107307",84,242,20,11,11,15,11,0,3,7,18,430,
"8107312",61,196,32,5,8,13,10,0,0,0,28,355,
"8107309",157,292,28,9,25,8,16,0,0,0,23,549,
"8107315",21,54,4,0,0,0,0,0,0,0,22,107,
"8107311",195,300,29,10,31,5,3,0,0,8,24,620,
"8107313",82,167,16,3,4,0,40,4,10,4,36,367,
"8107302",105,257,23,6,6,3,15,0,0,5,20,441,
"8107310",115,194,25,4,0,4,8,0,3,0,20,368,
"8107303",124,289,25,15,12,0,11,0,0,3,44,524,
"8107301",111,236,30,0,10,7,13,4,4,0,21,445,
"8112406",76,221,33,0,3,14,3,0,4,9,17,380,
"8112401",105,287,37,6,13,40,20,0,0,0,58,565,
"8112408",35,135,16,3,3,11,6,0,0,0,10,225,
"8112405",106,239,32,5,4,13,8,5,0,0,72,476,
"8112407",70,207,32,3,3,13,0,5,0,0,23,355,
"8112403",115,232,29,0,16,21,5,0,3,5,11,434,
"8112404",81,215,27,0,19,20,10,0,0,9,16,400,
"8112402",99,204,9,0,3,15,13,0,4,5,19,384,
"8109103",87,191,19,0,4,5,5,0,0,0,15,337,
"8109107",51,205,42,4,6,6,0,0,0,4,3,323,
"8109108",118,283,27,3,6,11,0,0,0,0,15,463,
"8109102",70,176,24,0,0,8,16,0,0,6,7,312,
"8109104",54,144,20,0,0,10,6,0,0,0,0,239,
"8109105",114,196,28,0,0,5,3,6,0,0,17,374,
"8109101",72,98,30,0,0,11,6,0,0,0,6,226,
"8109106",85,244,29,0,8,20,12,4,0,7,11,415,
"8100408",38,85,6,0,13,0,7,3,0,0,9,168,
"8100405",107,233,16,17,24,4,0,3,0,0,36,444,
"8100409",80,139,17,0,21,8,4,4,0,0,49,326,
"8100406",159,273,23,4,44,14,12,9,0,0,36,575,
"8100404",101,176,20,12,12,0,7,4,6,0,24,361,
"8100403",138,234,19,8,5,3,11,0,0,7,24,457,
"8100401",56,122,11,0,0,4,0,3,0,0,19,223,
"8100402",101,233,36,0,8,9,0,13,0,0,5,417,
"8109901",147,321,47,4,28,40,89,9,7,0,28,714,
"8109905",78,236,36,7,13,19,25,10,0,0,28,446,
"8109903",90,184,31,0,0,6,0,0,0,0,10,321,
"8109904",95,154,45,0,8,23,15,10,0,0,14,353,
"8109902",104,239,33,10,30,30,74,0,8,4,39,568,
"8107410",87,162,19,0,5,3,4,0,0,0,5,295,
"8107407",156,282,37,0,16,13,7,3,0,0,11,526,
"8107402",123,293,30,0,26,12,27,4,0,0,32,549,
"8107405",137,196,22,13,14,3,18,0,6,0,25,439,
"8107404",71,150,30,3,18,0,19,7,0,0,41,337,
"8107406",112,256,21,4,4,0,9,0,9,0,32,450,
"8107403",97,161,20,0,8,0,7,0,0,0,13,305,
"8107408",56,144,18,9,0,7,4,5,0,0,12,254,
"8107401",140,260,20,3,3,9,5,0,0,3,21,471,
"8107411",121,251,23,13,11,12,7,0,0,5,19,473,
"8107409",142,229,25,10,5,7,8,0,0,0,12,444,
"8107413",92,197,17,0,10,0,0,0,0,0,6,328,
"8107412",65,122,15,0,5,13,0,0,3,0,7,242,
"8105302",64,174,28,8,5,99,26,7,0,0,39,458,
"8105309",11,38,9,0,11,111,9,5,0,0,41,238,
"8105310",86,289,65,21,33,132,48,12,4,6,104,800,
"8107509",31,159,17,0,11,0,6,0,0,0,4,222,
"8107504",118,215,33,8,23,0,5,0,0,0,23,424,
"8107516",121,296,33,3,39,13,18,0,0,0,37,558,
"8107502",93,157,26,9,13,8,11,0,0,0,16,332,
"8107512",72,164,21,9,4,15,10,0,0,0,15,304,
"8107503",73,204,30,10,15,11,6,0,0,3,16,369,
"8107505",132,254,34,0,8,6,18,0,0,0,17,470,
"8107506",123,195,25,6,26,7,17,0,0,4,35,443,
"8107507",96,239,10,12,8,4,11,5,0,0,28,422,
"8107513",72,194,14,0,3,3,3,0,3,0,18,322,
"8107510",171,279,34,0,15,5,6,8,8,4,23,559,
"8107508",82,144,25,12,0,12,13,0,0,0,7,300,
"8107517",87,170,17,6,18,4,7,0,0,0,15,325,
"8100504",63,188,13,3,7,20,0,0,0,6,10,310,
"8100508",69,103,14,4,0,12,6,0,0,4,8,215,
"8100507",70,175,21,0,0,14,7,4,0,3,4,301,
"8100505",66,224,20,0,18,14,32,13,0,4,21,416,
"8100509",97,206,23,0,24,25,13,6,0,3,10,392,
"8100506",38,104,0,0,0,3,0,0,0,0,18,173,
"8100501",54,149,13,14,4,22,9,10,0,0,10,293,
"8100502",112,217,47,4,4,9,8,3,0,0,22,423,
"8100503",60,165,20,0,6,14,7,4,0,0,11,286,
"8110007",51,150,16,0,4,12,9,0,4,0,4,241,
"8110006",121,208,25,9,10,17,8,15,0,0,12,410,
"8110009",78,186,35,13,17,21,86,0,5,0,32,462,
"8110002",87,238,27,0,5,16,12,0,0,3,17,402,
"8110012",101,259,30,0,5,16,14,4,0,0,37,465,
"8110005",124,310,47,9,5,8,4,3,3,0,13,536,
"8110010",115,289,30,0,13,7,15,0,0,0,17,488,
"8110008",105,339,36,6,29,11,39,0,3,0,21,586,
"8110004",158,291,30,8,19,21,35,0,13,8,18,597,
"8110003",82,201,21,4,4,6,0,0,0,0,15,339,
"8110001",109,284,23,0,4,16,7,6,0,0,31,476,
"8110011",57,146,21,0,7,0,5,0,0,0,3,243,
"8106207",56,177,34,8,4,7,9,0,3,0,3,305,
"8106205",90,229,22,0,21,24,35,6,5,0,8,436,
"8106203",0,0,0,0,0,0,0,0,0,0,0,0,
"8106204",64,159,40,8,9,9,22,0,4,0,14,332,
"8106201",94,278,36,10,4,41,3,6,4,4,46,518,
"8106208",72,141,18,3,5,5,21,0,0,0,15,280,
"8106206",69,129,19,0,0,4,0,0,0,0,9,246,
"8106209",81,156,17,0,0,5,8,0,0,0,0,267,
"8106202",105,247,50,7,8,43,17,4,0,3,10,488,
"8105404",84,211,21,6,34,23,12,0,0,0,28,420,
"8105406",101,302,25,7,12,20,37,5,3,0,49,563,
"8105401",76,229,23,0,28,72,31,0,0,4,12,477,
"8105403",75,268,53,25,18,45,27,6,0,0,48,561,
"8105405",22,76,16,3,8,8,0,0,0,0,7,131,
"8105503",72,185,22,10,8,18,15,13,5,0,19,358,
"8105508",124,303,36,7,24,39,38,6,5,3,17,598,
"8105507",78,241,37,5,36,12,5,3,7,0,15,439,
"8105502",63,166,21,6,16,30,11,0,0,0,8,326,
"8105505",61,133,18,0,21,7,37,5,0,0,23,301,
"8105509",75,177,18,4,16,30,8,3,0,0,23,360,
"8105504",81,174,25,3,20,42,31,0,3,4,23,403,
"8105506",82,220,20,0,12,24,7,3,0,6,34,413,
"8105501",98,208,48,3,21,20,14,0,6,3,34,454,
"8109205",86,187,21,0,3,3,0,5,0,0,3,313,
"8109201",138,301,19,4,3,19,5,0,0,3,54,544,
"8109204",92,178,14,0,3,0,5,0,0,0,11,300,
"8109208",135,218,34,0,0,9,10,11,0,0,32,451,
"8109207",74,196,23,0,4,0,5,0,3,0,8,320,
"8109202",86,227,36,0,7,12,4,3,12,6,15,387,
"8109209",49,60,0,0,0,3,3,0,0,0,0,117,
"8109206",95,178,18,0,6,9,0,0,0,5,25,333,
"8109203",92,220,29,7,12,3,6,0,0,0,16,388,
"8100605",138,190,23,0,27,6,8,0,0,7,9,414,
"8100604",71,151,17,0,17,3,12,3,9,0,20,303,
"8100615",68,96,13,0,12,0,13,0,0,0,3,202,
"8100617",105,223,18,6,0,15,11,0,3,0,8,394,
"8100612",126,239,30,4,36,27,34,8,0,7,24,540,
"8100608",123,213,19,12,8,6,20,0,0,0,10,421,
"8100609",125,197,19,0,6,0,20,3,0,0,15,396,
"8100606",97,167,14,0,21,17,6,0,0,8,14,355,
"8100614",93,203,26,0,9,3,3,5,0,0,8,356,
"8100618",99,115,27,3,12,10,18,7,0,7,19,322,
"8100602",57,99,16,0,11,3,9,0,0,0,5,202,
"8100611",109,208,40,0,11,0,7,0,4,3,33,418,
"8100623",62,165,23,13,26,9,41,8,3,0,13,358,
"8100607",121,214,34,6,6,10,24,7,0,0,20,446,
"8100610",110,168,16,0,9,17,12,3,8,0,7,348,
"8100616",116,307,19,8,29,19,38,3,3,8,4,554,
"8100613",82,110,16,0,10,13,7,5,0,0,6,244,
"8112501",250,451,26,0,11,12,11,6,0,0,35,795,
"8112502",185,577,32,0,27,26,27,3,6,0,93,983,
"8100710",75,233,18,0,3,3,10,0,3,3,26,381,
"8100705",100,221,53,0,3,15,12,6,3,3,10,433,
"8100706",94,194,33,0,7,11,17,0,3,0,21,381,
"8100707",132,236,41,3,4,8,10,4,4,0,16,461,
"8100701",90,243,47,0,21,18,23,4,6,8,70,523,
"8100702",58,136,9,0,3,8,5,0,0,3,34,259,
"8100704",32,116,19,0,0,5,4,4,0,0,29,217,
"8100703",87,254,56,0,12,28,10,3,0,0,51,486,
"8100714",68,127,20,0,8,8,12,3,0,3,15,266,
"8100711",164,310,36,18,9,20,9,0,0,4,18,594,
"8100713",92,156,7,10,12,8,0,8,7,4,18,313,
"8100712",112,201,30,4,4,15,5,7,0,0,17,397,
"8100709",75,172,19,5,13,18,14,4,5,0,11,331,
"8100708",52,172,15,0,3,3,5,4,0,0,16,276,
"8107605",90,189,31,7,4,4,5,7,0,0,8,353,
"8107608",99,213,46,5,0,18,7,5,0,0,29,430,
"8107609",55,124,23,0,0,25,9,0,0,0,3,238,
"8107607",0,0,0,0,0,0,0,0,0,0,0,0,
"8107603",99,211,32,4,6,16,9,0,3,0,16,398,
"8107602",92,233,14,8,0,11,0,0,0,0,3,360,
"8107606",106,249,51,10,4,7,3,0,3,3,14,456,
"8107601",81,177,22,7,9,20,10,3,0,0,8,343,
"8107604",92,200,24,11,3,6,17,5,3,0,8,373,
"8110110",52,137,26,9,7,10,5,4,0,4,11,261,
"8110109",86,198,30,0,12,9,6,0,0,0,6,346,
"8110108",121,250,31,3,0,22,13,3,0,4,4,454,
"8110107",96,279,38,7,20,30,24,0,6,0,33,524,
"8110106",39,140,16,0,10,16,27,0,7,0,30,283,
"8110101",44,116,11,3,8,12,37,0,0,0,4,241,
"8110105",78,239,28,3,0,7,11,5,4,0,8,385,
"8110104",95,169,32,0,5,8,20,0,6,0,20,350,
"8110102",98,219,33,5,0,6,13,5,0,0,0,378,
"8109304",174,390,52,0,11,27,13,0,10,0,25,702,
"8109301",98,264,24,0,0,19,11,0,0,0,31,456,
"8109306",146,318,37,0,12,11,15,0,0,0,29,566,
"8109303",132,210,31,0,5,17,5,4,0,0,30,444,
"8109305",151,301,31,0,14,13,15,0,4,4,28,568,
"8109302",68,132,12,0,10,4,6,0,0,0,20,259,
"8100801",54,119,20,5,42,73,17,0,4,5,8,350,
"8100811",59,100,31,0,6,17,12,7,0,0,4,228,
"8100812",98,146,18,4,47,28,27,0,7,0,24,405,
"8100807",114,280,35,0,38,24,40,5,0,0,22,567,
"8100810",69,159,19,6,14,32,20,9,0,6,31,370,
"8100803",100,163,26,6,28,6,34,0,0,4,20,390,
"8100802",111,194,42,5,52,28,38,0,0,5,21,486,
"8100806",73,191,30,0,6,8,5,0,0,0,8,329,
"8100805",104,206,42,5,34,39,39,0,0,5,13,489,
"8100808",40,106,22,3,24,36,76,3,7,20,26,377,
"8100804",39,118,19,16,22,16,18,0,10,3,19,286,
"8100809",124,212,73,8,20,26,5,5,0,0,20,497,
"8100902",74,113,28,5,4,6,7,0,0,0,14,250,
"8100908",70,176,38,4,4,12,12,0,3,0,23,349,
"8100904",98,179,11,4,0,3,8,0,0,7,14,327,
"8100905",97,168,24,0,0,3,0,7,0,6,8,316,
"8100909",86,154,9,0,3,4,13,0,6,0,5,277,
"8100906",84,268,27,3,0,4,0,5,0,0,13,414,
"8100901",103,225,12,4,8,20,8,7,0,3,11,394,
"8100910",91,198,10,10,0,14,4,4,10,8,15,349,
"8100907",57,165,15,0,9,3,0,3,0,4,18,275,
"8100903",97,241,21,0,0,11,4,0,0,3,19,406,
"8106301",103,345,73,9,17,37,30,6,4,12,112,748,
"8106303",107,218,48,4,0,13,9,3,0,0,3,405,
"8106304",49,102,23,0,5,12,7,0,0,0,11,210,
"8106302",40,117,43,0,4,12,14,0,8,0,12,250,
"8101005",139,324,20,3,0,10,11,4,0,0,34,545,
"8101004",92,220,7,0,0,10,0,0,0,0,12,345,
"8101001",88,195,13,5,0,11,0,3,9,9,18,354,
"8101003",112,283,10,0,3,4,0,0,5,0,21,447,
"8101002",99,207,12,0,3,3,0,0,0,0,12,339,
"8113002",0,3,0,0,0,0,0,0,0,0,0,10,
"8113003",7,17,0,0,0,0,0,0,0,0,4,29,
"8113007",0,7,0,0,0,0,0,0,0,0,0,8,
"8113005",0,0,0,0,0,0,0,0,0,0,0,0,
"8113004",0,5,0,0,0,0,0,0,0,0,0,5,
"8110206",38,114,27,5,4,40,16,0,0,0,11,249,
"8110203",109,235,34,0,3,9,25,6,0,0,28,447,
"8110202",125,279,36,6,28,31,72,3,10,4,59,651,
"8110205",58,128,6,0,7,8,20,0,0,0,10,243,
"8110204",79,167,37,0,0,4,7,0,5,0,16,323,
"8110209",75,165,16,5,0,6,3,0,0,0,10,287,
"8110211",58,131,36,0,19,28,52,0,10,4,21,355,
"8110201",0,0,0,0,0,0,0,0,0,0,0,0,
"8110210",21,35,10,4,4,4,8,0,0,0,96,191,
"8110207",92,257,38,21,47,83,162,8,3,11,34,746,
"8107708",0,0,0,0,0,0,0,0,0,0,0,0,
"8107703",98,187,15,5,6,0,5,4,0,0,14,341,
"8107706",99,131,17,0,0,6,7,3,0,0,18,284,
"8107705",106,244,17,4,29,11,6,0,0,0,25,443,
"8107704",80,159,25,0,20,3,16,7,0,0,23,323,
"8107701",148,307,51,26,12,12,13,8,9,0,30,613,
"8107707",119,148,31,10,16,0,0,0,0,0,15,344,
"8107702",111,188,20,9,23,8,7,3,0,4,19,395,
"8101101",145,337,61,0,5,48,17,7,3,4,19,634,
"8101103",146,338,45,0,16,38,14,0,9,0,12,622,
"8101107",0,0,0,0,0,0,0,0,0,0,0,0,
"8101102",96,165,46,0,13,24,10,0,0,0,9,360,
"8101108",28,121,11,9,5,9,7,0,0,0,14,201,
"8101104",141,262,28,0,11,12,3,9,0,3,32,503,
"8101110",53,116,25,4,0,8,3,7,3,0,13,236,
"8101105",75,157,18,3,0,0,9,0,5,7,15,289,
"8101106",48,109,18,0,5,12,14,3,0,0,5,217,
"8101109",66,97,35,5,8,11,12,4,0,4,16,250,
"8107805",93,181,22,4,23,3,13,5,0,3,34,378,
"8107821",85,246,43,0,10,21,21,0,5,0,18,441,
"8107819",73,116,14,0,10,16,12,3,0,0,7,245,
"8107818",118,222,15,9,10,7,24,4,0,3,19,436,
"8107809",92,152,15,8,0,0,7,0,6,0,15,291,
"8107820",129,208,20,0,0,7,20,0,0,0,7,405,
"8107810",132,286,30,0,16,10,40,3,0,3,38,565,
"8107801",102,216,35,16,28,6,4,0,7,4,20,438,
"8107813",87,186,27,8,3,0,18,0,3,0,10,337,
"8107802",72,120,22,0,4,0,7,0,7,0,7,245,
"8107807",66,108,36,0,6,0,10,0,0,8,5,236,
"8107804",64,126,22,8,8,4,14,0,9,0,14,269,
"8107803",77,157,20,0,31,0,27,4,0,0,24,345,
"8107814",121,191,52,3,15,15,51,3,4,4,34,482,
"8107815",82,200,16,8,0,9,9,0,4,0,16,341,
"8107811",121,321,30,9,9,12,30,0,0,0,29,560,
"8107808",92,217,20,6,0,12,26,0,0,13,24,417,
"8107817",58,143,10,0,4,3,3,0,0,0,9,236,
"8107812",73,153,28,6,0,6,16,0,0,0,15,308,
"8107816",65,159,19,0,4,4,6,9,0,0,8,272,
"8107806",91,208,26,11,8,12,14,4,0,5,8,377,
"8107903",118,250,25,13,6,19,13,0,0,3,9,449,
"8107904",91,197,33,5,5,10,3,0,8,0,11,363,
"8107906",73,185,19,7,4,12,21,0,0,0,26,349,
"8107905",88,214,30,4,11,9,0,0,0,0,14,381,
"8107907",57,156,30,8,20,4,5,0,0,0,7,298,
"8107901",50,154,32,0,3,8,0,0,0,5,16,264,
"8107908",76,139,20,0,5,4,21,0,4,0,16,280,
"8107909",80,151,13,0,14,9,13,0,0,0,23,296,
"8107902",75,223,20,16,14,6,3,0,0,0,19,370,
"8108009",0,0,0,0,0,0,0,0,0,0,0,0,
"8108005",18,67,9,0,4,3,24,0,0,0,0,128,
"8108002",61,221,15,7,12,12,31,3,0,0,16,390,
"8108006",20,68,9,5,11,12,77,0,0,0,34,236,
"8108008",0,0,0,0,0,0,0,0,0,0,0,0,
"8108003",97,316,29,7,14,20,32,0,0,6,19,535,
"8108011",62,197,27,9,43,26,169,11,0,3,37,588,
"8108007",4,0,0,0,0,0,0,0,0,0,7,11,
"8106405",137,328,33,8,8,27,4,7,7,0,37,600,
"8106416",72,145,26,7,3,14,25,0,4,0,24,319,
"8106417",4,33,0,5,0,3,0,0,0,0,8,52,
"8106402",107,309,50,3,13,37,9,4,0,0,11,533,
"8106403",57,147,27,0,0,8,4,0,0,0,136,380,
"8106404",59,201,35,16,20,42,39,5,3,4,54,480,
"8106407",49,162,21,0,0,4,3,0,0,0,11,253,
"8106413",70,214,41,3,0,14,10,0,3,0,11,369,
"8106409",0,0,0,0,0,0,0,0,0,0,0,0,
"8106410",37,93,25,0,3,15,11,8,0,0,32,226,
"8106401",54,153,27,0,14,8,20,0,0,3,30,306,
"8106411",91,308,57,12,17,57,41,5,3,4,44,627,
"8106414",20,58,3,4,3,10,6,0,0,0,11,122,
"8106415",62,169,28,6,3,6,13,0,0,0,17,307,
"8104018",0,0,0,0,0,0,0,0,0,0,0,0,
"8104005",63,159,26,0,19,68,46,3,11,0,27,419,
"8104007",106,182,19,9,23,96,47,4,4,0,18,504,
"8104024",38,86,27,6,22,37,31,5,3,0,15,272,
"8104025",47,87,23,22,19,72,19,16,11,4,25,346,
"8104008",115,230,12,11,24,80,26,0,3,4,26,530,
"8104002",75,142,25,4,10,43,3,7,0,0,18,328,
"8104017",46,115,30,12,19,69,39,7,17,0,22,389,
"8104006",67,98,11,3,32,47,30,0,0,3,27,318,
"8104001",86,139,37,21,33,175,86,9,17,8,46,652,
"8104019",14,60,31,3,32,38,18,0,5,0,13,222,
"8104016",0,0,0,0,0,0,0,0,0,0,0,0,
"8104020",0,0,0,0,0,0,0,0,0,0,0,0,
"8104026",30,179,30,31,38,127,109,9,8,4,46,618,
"8104013",54,127,13,5,17,30,32,0,0,18,13,306,
"8104011",0,0,0,0,0,0,0,0,0,0,0,0,
"8104015",57,123,29,5,40,75,27,3,12,0,10,392,
"8104401",143,209,32,9,28,102,39,4,8,0,29,601,
"8104402",124,185,33,14,35,106,59,9,5,0,29,596,
"8104412",52,83,38,4,13,33,22,10,0,7,11,267,
"8104423",85,129,30,0,9,38,38,0,0,3,4,330,
"8111901",0,8,0,0,0,0,0,0,0,0,0,10,
"8103927",57,140,24,9,56,79,107,3,6,3,18,508,
"8103907",32,67,15,0,25,47,43,0,0,0,12,241,
"8103922",79,130,17,0,23,68,58,5,5,3,21,409,
"8103912",83,104,25,0,28,29,60,4,11,0,9,371,
"8103924",76,131,28,5,30,54,55,0,8,8,13,405,
"8103923",96,125,37,13,34,90,69,7,5,5,13,494,
"8103908",25,55,13,5,17,34,49,0,5,8,14,225,
"8103925",65,117,36,4,14,75,56,8,13,4,13,396,
"8103919",31,52,10,5,4,55,69,3,0,0,0,236,
"8103914",52,136,33,13,22,104,88,0,0,12,27,486,
"8103708",101,191,35,16,26,64,55,5,4,0,11,507,
"8104502",0,0,0,0,0,0,0,0,0,0,0,0,
"8103703",81,161,18,15,5,55,67,5,9,4,8,431,
"8103707",50,131,21,5,4,32,33,0,10,6,16,308,
"8103702",60,122,13,0,8,41,72,6,9,8,22,350,
"8103704",93,172,24,0,8,59,89,7,0,4,17,477,
"8103706",53,90,14,0,12,60,54,0,0,10,8,304,
"8105604",112,237,32,3,0,4,7,4,3,0,29,427,
"8105602",118,329,35,0,7,14,3,3,0,0,43,560,
"8105606",46,120,23,0,0,7,0,4,0,0,8,206,
"8105605",117,273,30,0,3,12,11,0,3,0,23,470,
