,electorate,One family household: Couple family with no children,One family household: Couple family with children,One family household: One parent family,One family household: Other family,Two family household: Couple family with no children,Two family household: Couple family with children,Two family household: One parent family,Two family household: Other family,Three or more family household: Couple family with no children,Three or more family household: Couple family with children,Three or more family household: One parent family,Three or more family household: Other family,Lone person household,Group household,Visitors only household
0,ginninderra,0.2653389530581384,0.3081947170296966,0.10031852257005888,0.01148611692030501,0.0019304398185386572,0.003893053634052958,0.0004826099546346643,0.0,0.0,0.0,0.0,0.0,0.24806151668221743,0.053280138991666934,0.007013931340690454
1,yerrabi,0.23928979261060154,0.43323387482963127,0.08767082918922901,0.0071831141562603605,0.001252440416988986,0.007809334364754853,0.0009209120713154309,0.0,0.0,0.0,0.0,0.0,0.17478911113566878,0.043282867351825245,0.004567723873724536
2,kurrajong,0.25656963292931384,0.21309437480575988,0.06605891087399426,0.00918540004834421,0.0009323526364860666,0.0008287578990987258,0.0,0.0,0.0,0.0,0.0,0.0,0.33695914914189024,0.091819468904313,0.02455195276079975
3,murrumbidgee,0.27261670541942407,0.32384188874977643,0.08932212484349848,0.006081201931675908,0.001108925058129136,0.001860132355571454,0.00025040243248077265,0.0,0.0,0.0,0.0,0.0,0.26657127526381685,0.02765158290109104,0.010695761044535861
4,brindabella,0.2539217812477409,0.3737439456372443,0.12661750885563508,0.007373671654738669,0.002747054145883033,0.00412058121882455,0.0002891635943034772,0.0,0.0001445817971517386,0.0,0.0,0.0,0.20545073375262055,0.021361960529169378,0.004229017566688354
5,combined,0.2578216906615876,0.32844098369839225,0.0939093048008515,0.008346871323735365,0.0015965492129292476,0.003662259817377178,0.0003851324855750378,0.0,2.8009635314548205e-05,0.0,0.0,0.0,0.24752814968349113,0.04799451011147835,0.010286538569267829
