electorate,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable
ginninderra,5870.0,12260.0,4592.0,4868.0,7304.0,3135.0,1129.0,2424.0,837.0,145.0,42585.0
yerrabi,6716.0,12526.0,4639.0,4919.0,7750.0,3353.0,881.0,2241.0,860.0,134.0,37594.0
kurrajong,7972.0,15558.0,2268.0,3809.0,5311.0,2145.0,404.0,1634.0,768.0,92.0,35892.0
murrumbidgee,6247.0,12688.0,2940.0,3397.0,5833.0,2157.0,635.0,1557.0,693.0,82.0,38196.0
brindabella,5841.0,9510.0,5129.0,4651.0,8485.0,3163.0,1561.0,2435.0,860.0,196.0,36992.0
