,electorate,National Government,State/Territory Government,Local Government,Private sector
0,ginninderra,0.29708554572271384,0.09850147492625369,0.0005663716814159292,0.6038466076696165
1,yerrabi,0.2985978842049705,0.0888083163136517,0.0008949675287422264,0.6116988319526355
2,kurrajong,0.4075432821569465,0.07437746563811343,0.000552805487850843,0.5175264467170893
3,murrumbidgee,0.30497454625940684,0.11634019477644976,0.0003873395307658256,0.5782979194333776
4,brindabella,0.27633104647792056,0.10633877669340033,0.0011595323219634748,0.6161706445067157
5,combined,0.31620992773834294,0.0964685742957071,0.0007231084810294704,0.5865983894849205
