electorate,Oceanian,North-West European,Southern and Eastern European,North African and Middle Eastern,South-East Asian,North-East Asian,Southern and Central Asian,Peoples of the Americas,Sub-Saharan African,Supplementary codes,Not stated
ginninderra,18934.0,40927.0,5249.0,1077.0,2830.0,5400.0,4242.0,676.0,562.0,537.0,4719.0
yerrabi,16129.0,31828.0,6118.0,1224.0,3189.0,7973.0,8931.0,803.0,1068.0,516.0,3885.0
kurrajong,13884.0,36882.0,5088.0,959.0,2250.0,5931.0,3247.0,585.0,336.0,288.0,6479.0
murrumbidgee,16061.0,37322.0,5253.0,978.0,1855.0,3155.0,4569.0,338.0,493.0,288.0,4305.0
brindabella,19744.0,40947.0,5160.0,1009.0,2199.0,1738.0,3006.0,342.0,331.0,297.0,3878.0
