,electorate,Oceanian,North-West European,Southern and Eastern European,North African and Middle Eastern,South-East Asian,North-East Asian,Southern and Central Asian,Peoples of the Americas,Sub-Saharan African
0,ginninderra,0.2369801118940636,0.512247018035721,0.06569708499693355,0.01347985531371641,0.03542060402768565,0.06758701828604328,0.05309335769803622,0.008460893400252826,0.007034056347547468
1,yerrabi,0.20875451380350232,0.41194362113819033,0.07918408552606034,0.01584199422750864,0.04127460750941589,0.10319299017641044,0.11559219807669907,0.010393073010367187,0.013822916531845773
2,kurrajong,0.20074607443393772,0.5332697145831526,0.07356640929990457,0.013865995778028398,0.03253231543333044,0.08575518348225905,0.04694774587201064,0.008458402012665915,0.004858159104710679
3,murrumbidgee,0.22936421798240603,0.5329886895921399,0.07501713698160631,0.013966640009139724,0.026490917399748657,0.0450559808065806,0.06524905746601166,0.004826916485776305,0.007040443276590883
4,brindabella,0.26510553735431547,0.5498012782641388,0.06928406466512702,0.013547988613781621,0.029526290348568667,0.023336376819378054,0.04036199581073097,0.004592083355711907,0.004444384768247489
5,combined,0.2285517040520789,0.5067282955164473,0.07245524807050283,0.014149645921763002,0.03323157741450076,0.065252331307204,0.0647075955579766,0.007399776712277049,0.007523825447249624
