electorate,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
ginninderra,9,241,106,349,588,1121,988,1345,1563,2218,2320,2157,1905,4032,2793,1992,1852,779,815,594,469,10
yerrabi,0,171,49,180,253,546,510,776,1058,1591,1821,1822,1679,3892,2715,2171,1980,990,1039,800,551,12
kurrajong,12,343,147,542,730,1073,800,918,1136,1669,1785,1807,1568,3820,1938,1625,2242,861,1161,935,1114,54
murrumbidgee,9,109,107,212,464,952,780,1145,1283,1803,1768,1603,1488,3403,2078,1691,1864,974,1165,1036,1045,53
brindabella,7,105,35,208,463,955,749,1132,1357,1805,1960,1681,1538,3695,2648,2031,1696,897,896,690,502,15
