Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by CITP Australian Citizenship"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"CITP Australian Citizenship","Australian","Not Australian","Not stated","Total",
"8112401",455,55,51,565,
"8112408",200,14,15,225,
"8112405",384,20,71,476,
"8112407",304,20,23,355,
"8112403",390,24,21,434,
"8112404",340,52,19,400,
"8112402",341,20,21,384,
"8109103",302,19,19,337,
"8109107",306,11,3,323,
"8109108",434,9,17,463,
"8109102",296,5,13,312,
"8109104",229,4,8,239,
"8109105",335,17,21,374,
"8109101",201,13,7,226,
"8109106",393,8,17,415,
"8100408",149,7,9,168,
"8100405",380,28,41,444,
"8100409",264,24,42,326,
"8100406",504,37,34,575,
"8100404",310,15,34,361,
"8100403",413,22,26,457,
"8100401",205,6,16,223,
"8100402",403,16,5,417,
"8109901",592,92,35,714,
"8109905",392,32,25,446,
"8109903",313,3,10,321,
"8109904",317,28,12,353,
"8109902",434,92,43,568,
"8107410",285,3,3,295,
"8107407",508,10,16,526,
"8107402",487,24,34,549,
"8107405",373,37,34,439,
"8107404",269,29,34,337,
"8107406",411,14,29,450,
"8107403",285,9,6,305,
"8107408",237,14,7,254,
"8107401",434,10,21,471,
"8107411",431,20,25,473,
"8107409",411,18,13,444,
"8107413",309,3,13,328,
"8107412",213,15,12,242,
"8105302",317,93,49,458,
"8105309",78,116,39,238,
"8105310",502,188,104,800,
"8107509",208,3,5,222,
"8107504",383,18,22,424,
"8107516",501,23,39,558,
"8107502",309,0,21,332,
"8107512",290,6,11,304,
"8107503",358,3,19,369,
"8107505",431,19,25,470,
"8107506",378,27,33,443,
"8107507",375,18,31,422,
"8107513",283,10,25,322,
"8107510",516,13,23,559,
"8107508",276,13,13,300,
"8107517",302,10,11,325,
"8100504",275,23,14,310,
"8100508",190,17,10,215,
"8100507",279,11,10,301,
"8100505",333,65,21,416,
"8100509",332,51,9,392,
"8100506",149,3,18,173,
"8100501",238,38,16,293,
"8100502",385,15,27,423,
"8100503",259,14,15,286,
"8110007",221,13,10,241,
"8110006",358,31,19,410,
"8110009",337,84,34,462,
"8110002",358,18,21,402,
"8110012",395,26,41,465,
"8110005",489,19,23,536,
"8110010",446,16,23,488,
"8110008",498,68,21,586,
"8110004",519,50,27,597,
"8110003",307,9,23,339,
"8110001",431,16,31,476,
"8110011",222,9,5,243,
"8106207",290,4,4,305,
"8106205",373,51,17,436,
"8106203",4,0,0,0,
"8106204",303,15,14,332,
"8106201",429,45,46,518,
"8106208",258,9,13,280,
"8106206",223,7,13,246,
"8106209",257,9,8,267,
"8106202",437,43,14,488,
"8105404",361,31,28,420,
"8105406",461,61,39,563,
"8105401",375,89,15,477,
"8105403",405,111,50,561,
"8105405",112,10,12,131,
"8105503",292,39,21,358,
"8105508",497,88,21,598,
"8105507",383,45,14,439,
"8105502",282,34,10,326,
"8105505",213,65,28,301,
"8105509",292,45,27,360,
"8105504",303,67,26,403,
"8105506",329,42,38,413,
"8105501",384,44,32,454,
"8109205",304,0,3,313,
"8109201",476,26,48,544,
"8109204",283,5,11,300,
"8109208",403,16,30,451,
"8109207",291,13,15,320,
"8109202",354,17,14,387,
"8109209",111,0,0,117,
"8109206",303,5,28,333,
"8109203",355,20,20,388,
"8100605",389,15,12,414,
"8100604",282,4,24,303,
"8100615",199,0,5,202,
"8100617",369,14,11,394,
"8100612",467,40,29,540,
"8100608",385,21,15,421,
"8100609",374,7,16,396,
"8100606",337,3,12,355,
"8100614",337,3,17,356,
"8100618",286,15,16,322,
"8100602",172,18,9,202,
"8100611",369,21,34,418,
"8100623",322,19,13,358,
"8100607",398,22,24,446,
"8100610",323,12,15,348,
"8100616",520,26,11,554,
"8100613",239,3,3,244,
"8112501",713,49,37,795,
"8112502",832,38,118,983,
"8100710",342,15,33,381,
"8100705",390,27,14,433,
"8100706",328,26,28,381,
"8100707",420,22,17,461,
"8100701",415,29,72,523,
"8100702",222,8,30,259,
"8100704",174,9,31,217,
"8100703",427,14,50,486,
"8100714",232,5,21,266,
"8100711",545,38,17,594,
"8100713",270,20,15,313,
"8100712",364,18,21,397,
"8100709",293,19,17,331,
"8100708",252,10,13,276,
"8107605",340,3,11,353,
"8107608",385,8,32,430,
"8107609",226,7,9,238,
"8107607",0,0,0,0,
"8107603",364,16,20,398,
"8107602",346,6,11,360,
"8107606",420,15,22,456,
"8107601",321,17,11,343,
"8107604",362,10,7,373,
"8110110",246,7,11,261,
"8110109",317,23,10,346,
"8110108",432,16,5,454,
"8110107",456,36,30,524,
"8110106",229,29,32,283,
"8110101",194,37,9,241,
"8110105",359,12,11,385,
"8110104",316,24,14,350,
"8110102",363,11,5,378,
"8109304",640,36,27,702,
"8109301",405,20,34,456,
"8109306",501,32,35,566,
"8109303",389,19,35,444,
"8109305",503,29,33,568,
"8109302",234,13,15,259,
"8100801",324,17,9,350,
"8100811",210,11,12,228,
"8100812",330,46,27,405,
"8100807",480,64,20,567,
"8100810",307,30,33,370,
"8100803",351,23,21,390,
"8100802",427,36,26,486,
"8100806",309,11,8,329,
"8100805",431,47,17,489,
"8100808",244,99,34,377,
"8100804",231,34,22,286,
"8100809",455,15,16,497,
"8100902",245,6,7,250,
"8100908",305,22,18,349,
"8100904",311,4,10,327,
"8100905",301,0,5,316,
"8100909",263,12,9,277,
"8100906",382,17,12,414,
"8100901",365,15,16,394,
"8100910",319,19,12,349,
"8100907",246,9,17,275,
"8100903",371,10,25,406,
"8106301",543,83,122,748,
"8106303",383,16,6,405,
"8106304",188,9,9,210,
"8106302",221,11,16,250,
"8101005",497,17,35,545,
"8101004",327,11,7,345,
"8101001",325,8,22,354,
"8101003",411,13,25,447,
"8101002",308,13,21,339,
"8113002",8,0,0,10,
"8113003",25,0,4,29,
"8113007",8,0,0,8,
"8113005",0,0,0,0,
"8113004",5,0,0,5,
"8110206",219,18,5,249,
"8110203",367,46,33,447,
"8110202",514,80,56,651,
"8110205",213,19,13,243,
"8110204",289,17,15,323,
"8110209",261,8,17,287,
"8110211",284,43,23,355,
"8110201",0,0,0,0,
"8110210",80,17,98,191,
"8110207",561,154,39,746,
"8107708",0,0,0,0,
"8107703",304,12,23,341,
"8107706",262,14,12,284,
"8107705",396,20,21,443,
"8107704",291,7,20,323,
"8107701",547,30,40,613,
"8107707",321,7,18,344,
"8107702",359,25,16,395,
"8101101",598,30,14,634,
"8101103",555,48,17,622,
"8101107",0,0,0,0,
"8101102",325,25,19,360,
"8101108",171,11,14,201,
"8101104",431,37,33,503,
"8101110",209,14,15,236,
"8101105",262,12,14,289,
"8101106",205,12,9,217,
"8101109",213,19,15,250,
"8107805",330,15,37,378,
"8107821",411,11,26,441,
"8107819",228,16,4,245,
"8107818",407,17,12,436,
"8107809",266,0,18,291,
"8107820",374,20,10,405,
"8107810",508,29,26,565,
"8107801",403,14,23,438,
"8107813",312,12,15,337,
"8107802",230,8,7,245,
"8107807",220,6,6,236,
"8107804",247,12,9,269,
"8107803",301,19,27,345,
"8107814",429,29,25,482,
"8107815",311,16,21,341,
"8107811",517,10,29,560,
"8107808",372,29,22,417,
"8107817",222,5,11,236,
"8107812",279,15,13,308,
"8107816",246,7,12,272,
"8107806",346,15,15,377,
"8107903",426,18,12,449,
"8107904",334,19,11,363,
"8107906",303,23,24,349,
"8107905",358,3,17,381,
"8107907",281,8,7,298,
"8107901",237,9,21,264,
"8107908",251,12,10,280,
"8107909",269,7,16,296,
"8107902",327,15,22,370,
"8108009",0,0,0,0,
"8108005",102,21,3,128,
"8108002",340,36,20,390,
"8108006",125,73,41,236,
"8108008",0,0,0,0,
"8108003",472,40,24,535,
"8108011",408,142,36,588,
"8108007",4,0,7,11,
"8106405",520,34,46,600,
"8106416",271,12,31,319,
"8106417",40,7,3,52,
"8106402",486,27,17,533,
"8106403",280,11,92,380,
"8106404",347,65,61,480,
"8106407",228,15,10,253,
"8106413",341,11,13,369,
"8106409",0,0,0,0,
"8106410",149,43,37,226,
"8106401",245,29,31,306,
"8106411",502,79,47,627,
"8106414",89,11,15,122,
"8106415",269,19,17,307,
"8104018",0,0,0,0,
"8104005",332,59,26,419,
"8104007",416,64,25,504,
"8104024",228,37,10,272,
"8104025",211,115,26,346,
"8104008",432,71,23,530,
"8104002",280,37,18,328,
"8104017",299,64,27,389,
"8104006",240,59,16,318,
"8104001",361,239,55,652,
"8104019",173,39,13,222,
"8104016",0,0,0,0,
"8104020",0,0,0,0,
"8104026",337,229,50,618,
"8104013",249,43,19,306,
"8104011",0,0,0,0,
"8104015",321,50,18,392,
"8104401",470,87,35,601,
"8104402",502,67,29,596,
"8104412",233,26,12,267,
"8104423",291,32,10,330,
"8111901",10,0,0,10,
"8103927",405,79,17,508,
"8103907",191,42,9,241,
"8103922",341,48,25,409,
"8103912",328,38,7,371,
"8103924",344,50,15,405,
"8103923",384,84,21,494,
"8103908",152,51,15,225,
"8103925",322,55,25,396,
"8103919",189,44,0,236,
"8103914",365,97,23,486,
"8103708",444,48,20,507,
"8104502",0,0,0,0,
"8103703",350,67,9,431,
"8103707",250,39,18,308,
"8103702",283,47,23,350,
"8103704",417,36,20,477,
"8103706",261,28,15,304,
"8105604",390,14,18,427,
"8105602",496,23,41,560,
"8105606",190,6,8,206,
"8105605",406,33,29,470,
"8105601",463,29,30,518,
"8105603",340,78,27,445,
"8105607",362,8,5,377,
"8111303",12,0,4,14,
"8104425",0,0,0,0,
"8104411",284,45,27,351,
"8104413",321,18,17,352,
"8104405",418,15,22,453,
"8104404",511,62,27,594,
"8104409",300,42,7,346,
"8101304",276,10,7,298,
"8101302",330,168,68,567,
"8101310",232,8,9,247,
"8101303",366,5,4,376,
"8101307",183,10,20,208,
"8101305",378,14,9,401,
"8101306",313,20,5,341,
"8101308",295,7,5,300,
"8101309",4,0,0,4,
"8101301",175,29,8,218,
"8101404",436,39,39,509,
"8101406",212,30,15,259,
"8101402",418,18,33,474,
"8101403",511,43,23,576,
"8101407",542,29,37,610,
"8101405",332,16,30,379,
"8101401",241,19,9,267,
"8109404",548,42,27,614,
"8109405",485,16,23,516,
"8109406",405,52,24,483,
"8109403",196,13,9,221,
"8109401",386,12,18,413,
"8109407",327,13,4,347,
"8101511",195,4,19,219,
"8101505",473,19,27,520,
"8101506",257,40,19,309,
"8101515",343,37,62,449,
"8101501",526,24,11,562,
"8101514",0,0,0,0,
"8101513",180,59,19,254,
"8101508",305,20,6,326,
"8101510",323,10,41,369,
"8101503",298,10,11,319,
"8101502",231,8,7,243,
"8101509",360,14,24,400,
"8101504",327,13,7,350,
"8101512",239,15,27,281,
"8110301",281,85,27,397,
"8110306",516,23,43,584,
"8110303",286,8,20,315,
"8110307",418,21,44,485,
"8110308",168,8,21,199,
"8110305",218,31,7,259,
"8110302",324,18,16,350,
"8110304",374,9,21,406,
"8103103",4,0,0,5,
"8110401",577,46,24,644,
"8110406",0,0,0,0,
"8110403",380,27,10,421,
"8110402",263,54,9,328,
"8110404",382,32,13,418,
"8110405",463,37,33,527,
"8108105",338,20,13,374,
"8108112",253,20,21,292,
"8108114",184,37,13,236,
"8108103",434,18,29,478,
"8108108",409,24,19,458,
"8108109",316,18,14,351,
"8108104",294,11,13,319,
"8108101",333,24,14,377,
"8108102",263,23,4,292,
"8108106",350,15,14,384,
"8108111",322,7,9,342,
"8111304",14,0,0,12,
"8111306",0,0,0,0,
"8101602",155,16,6,176,
"8101606",442,51,16,506,
"8101615",388,28,35,452,
"8101613",306,83,23,416,
"8101612",432,31,37,504,
"8101616",441,41,20,505,
"8101603",388,63,31,480,
"8101610",211,22,13,240,
"8101605",325,42,10,382,
"8101604",349,47,17,410,
"8101614",392,17,11,422,
"8101619",395,19,25,440,
"8101608",0,0,0,0,
"8101618",327,41,28,393,
"8101607",230,14,11,253,
"8101601",364,40,27,426,
"8101617",376,22,15,411,
"8101609",389,43,23,453,
"8101611",336,40,24,393,
"8108240",179,11,14,203,
"8108219",461,23,34,522,
"8108235",508,29,44,579,
"8108203",425,23,47,493,
"8108207",467,18,25,508,
"8108226",361,33,19,416,
"8108214",210,6,9,220,
"8108225",235,14,32,281,
"8108217",353,13,14,379,
"8108211",305,6,16,330,
"8108210",444,23,15,476,
"8108209",233,18,8,261,
"8108241",392,15,21,423,
"8108215",418,45,31,497,
"8108204",308,14,14,335,
"8108213",499,31,15,547,
"8108227",332,15,20,360,
"8108220",382,3,31,418,
"8108228",171,11,13,190,
"8108230",301,4,12,312,
"8108229",465,11,23,496,
"8108224",393,34,23,447,
"8108233",235,9,15,263,
"8108201",256,4,23,287,
"8108238",325,21,13,356,
"8108232",303,16,16,336,
"8108212",349,10,17,381,
"8108218",301,17,22,334,
"8108236",515,26,39,579,
"8108202",203,10,10,220,
"8108222",343,25,18,388,
"8108231",303,17,16,334,
"8108223",228,22,17,268,
"8108208",197,6,20,222,
"8108221",294,10,15,321,
"8108237",401,8,14,424,
"8108216",334,6,23,369,
"8108234",228,18,15,258,
"8108205",244,3,33,279,
"8108239",287,8,8,310,
"8108206",263,10,7,281,
"8113103",565,50,41,654,
"8113102",215,23,16,256,
"8113105",651,62,43,751,
"8113107",371,26,7,405,
"8113104",145,15,3,165,
"8113108",366,50,35,452,
"8113106",0,0,0,0,
"8113109",376,32,60,473,
"8101709",281,18,12,304,
"8101707",389,31,41,466,
"8101708",152,13,18,181,
"8101703",514,35,24,568,
"8101705",316,15,28,361,
"8101706",534,22,30,587,
"8101702",480,22,25,521,
"8101704",303,10,19,337,
"8101701",271,11,20,305,
"8105705",411,27,39,482,
"8105704",236,39,31,306,
"8105703",244,19,20,284,
"8105709",284,103,47,432,
"8105702",228,26,13,267,
"8105708",376,38,33,443,
"8105714",249,15,10,274,
"8105706",369,55,68,493,
"8105715",170,49,20,236,
"8105711",580,204,72,857,
"8105713",299,15,4,321,
"8105712",244,58,39,343,
"8105701",335,22,28,379,
"8110505",322,24,21,373,
"8110507",419,150,86,651,
"8110503",259,78,34,369,
"8110506",409,73,12,494,
"8110502",475,68,61,594,
"8110501",0,0,0,0,
"8110504",463,80,60,609,
"8102105",652,39,33,724,
"8102102",321,46,19,387,
"8102103",471,36,43,553,
"8102101",526,27,50,599,
"8102104",437,20,18,476,
"8101802",0,0,0,0,
"8108301",473,17,25,522,
"8108303",425,11,38,477,
"8108302",400,13,20,429,
"8101906",242,21,9,274,
"8101909",369,14,23,409,
"8101908",466,23,22,507,
"8101912",311,10,14,335,
"8101907",513,21,13,549,
"8101910",344,3,19,374,
"8101913",349,20,16,384,
"8101911",395,27,19,440,
"8102006",269,31,15,316,
"8102007",272,24,19,311,
"8102008",324,71,11,407,
"8102003",244,16,13,272,
"8102001",260,18,4,284,
"8102005",377,39,36,458,
"8102002",281,73,24,373,
"8102004",237,26,8,277,
"8111401",86,13,3,100,
"8110607",418,28,22,470,
"8110602",457,72,11,540,
"8110601",427,62,34,521,
"8110603",400,56,18,476,
"8110604",188,56,16,259,
"8110605",294,185,61,542,
"8110606",425,10,14,448,
"8102205",506,37,20,564,
"8102207",435,21,32,492,
"8102208",256,9,7,282,
"8102201",182,4,30,217,
"8102204",415,60,23,497,
"8102202",269,0,16,295,
"8102206",319,7,21,342,
"8102203",416,27,20,461,
"8104503",0,0,0,0,
"8104504",3,0,0,3,
"8108405",367,21,15,395,
"8108404",297,33,17,350,
"8108410",237,21,12,272,
"8108414",205,18,17,244,
"8108406",233,24,5,254,
"8108415",340,22,4,367,
"8108417",305,14,33,349,
"8108413",218,7,3,227,
"8108408",341,12,8,364,
"8108418",216,13,3,240,
"8108401",176,15,12,204,
"8108412",339,40,17,394,
"8108407",246,8,16,274,
"8108411",335,17,5,364,
"8108403",285,6,7,301,
"8108402",210,0,11,229,
"8108420",0,0,0,0,
"8106708",378,15,12,412,
"8106709",235,11,27,275,
"8106712",339,10,33,383,
"8106710",280,31,12,322,
"8106701",300,25,37,364,
"8106714",241,12,12,267,
"8106716",197,16,17,235,
"8106707",191,37,42,275,
"8106719",344,47,21,414,
"8106713",298,9,24,335,
"8106718",68,5,184,260,
"8106715",317,28,41,389,
"8106703",242,19,14,279,
"8106704",276,20,41,335,
"8106706",339,48,30,421,
"8106705",292,40,28,356,
"8106702",217,17,38,272,
"8106717",300,44,35,383,
"8104628",321,21,15,356,
"8104636",267,34,18,316,
"8104637",274,14,21,316,
"8104617",435,36,37,510,
"8104605",229,24,11,259,
"8104618",346,10,26,384,
"8104622",306,32,22,353,
"8104613",357,33,11,402,
"8104630",284,6,21,317,
"8104616",175,15,28,212,
"8104602",331,58,48,433,
"8104625",384,29,8,423,
"8104604",247,19,8,275,
"8104606",297,31,31,352,
"8104626",289,37,21,340,
"8104635",234,28,16,276,
"8104609",248,18,23,290,
"8104634",278,33,18,329,
"8104601",217,10,11,241,
"8104619",299,12,16,327,
"8104620",283,18,16,316,
"8104627",329,30,21,380,
"8104623",459,19,26,512,
"8104621",320,29,15,362,
"8104614",275,17,15,304,
"8104603",238,13,3,249,
"8104607",196,12,10,224,
"8104629",37,0,0,37,
"8104624",0,0,0,0,
"8104719",396,16,8,421,
"8104715",262,24,14,297,
"8104716",402,18,12,429,
"8104711",409,40,48,493,
"8104706",297,30,22,355,
"8104710",409,12,14,434,
"8104703",438,16,14,476,
"8104707",166,19,7,192,
"8104717",485,19,23,525,
"8104702",331,22,23,378,
"8104718",446,4,48,506,
"8104708",302,15,21,338,
"8104709",234,35,16,289,
"8104713",404,17,25,450,
"8104712",239,36,26,296,
"8104701",261,17,26,308,
"8104704",206,20,17,236,
"8104705",406,23,16,440,
"8111301",189,23,39,249,
"8105807",504,31,27,561,
"8105812",333,39,10,382,
"8105811",408,38,61,508,
"8105808",446,47,28,516,
"8105809",320,8,19,339,
"8105802",403,43,24,474,
"8105814",9,0,0,9,
"8105806",237,44,26,306,
"8105804",273,29,24,322,
"8105803",323,68,27,409,
"8105813",434,85,36,557,
"8105801",481,31,30,542,
"8105805",235,8,13,252,
"8105810",251,25,28,303,
"8110702",539,68,41,648,
"8110701",261,45,38,342,
"8108603",407,8,26,439,
"8108601",288,13,16,312,
"8108602",222,5,18,252,
"8108605",403,27,25,458,
"8108604",223,4,6,231,
"8102301",425,38,28,490,
"8102303",369,108,31,510,
"8102307",495,32,57,580,
"8102305",276,34,16,329,
"8102306",270,49,11,335,
"8102304",397,73,35,507,
"8102302",216,40,10,268,
"8104813",254,37,6,294,
"8104801",299,32,14,340,
"8104808",332,39,11,381,
"8104803",265,28,8,302,
"8104809",403,53,13,470,
"8104802",450,36,20,510,
"8104814",466,40,31,536,
"8104811",315,16,5,337,
"8104810",292,16,8,316,
"8104805",412,52,42,507,
"8104804",295,57,20,370,
"8104807",276,17,33,326,
"8104806",272,17,25,313,
"8104812",413,76,38,519,
"8112601",0,0,0,0,
"8106801",0,0,5,4,
"8110806",353,13,9,377,
"8110802",204,12,10,225,
"8110807",470,55,15,544,
"8110804",387,48,35,473,
"8110801",0,0,0,0,
"8110805",368,24,28,416,
"8110803",462,37,41,541,
"8110904",0,0,0,0,
"8110908",192,144,60,395,
"8110907",178,127,20,328,
"8110906",245,172,28,444,
"8110910",301,86,28,417,
"8110911",0,0,0,0,
"8110903",4,0,0,4,
"8110905",140,75,39,258,
"8110914",3,3,0,7,
"8110901",152,63,33,252,
"8110913",185,29,15,229,
"8106909",336,11,9,353,
"8106903",326,24,6,359,
"8106902",251,23,12,290,
"8106904",262,24,72,358,
"8106906",478,57,50,588,
"8106905",468,70,41,586,
"8106907",291,33,12,335,
"8106901",270,24,17,306,
"8106908",0,0,0,0,
"8112704",236,21,24,277,
"8112703",397,37,31,462,
"8112701",250,36,59,343,
"8112702",349,117,82,550,
"8108703",557,23,24,594,
"8108701",397,17,17,429,
"8108707",251,9,20,280,
"8108704",238,9,13,260,
"8108706",519,48,20,591,
"8108705",410,23,33,471,
"8108702",342,21,25,380,
"8109501",230,6,19,255,
"8109508",450,22,23,490,
"8109502",306,19,13,334,
"8109504",332,12,22,363,
"8109505",395,32,31,461,
"8109507",342,17,18,378,
"8109506",272,12,22,307,
"8109509",308,14,26,342,
"8109503",225,7,19,250,
"8112801",0,0,0,0,
"8102406",348,19,37,404,
"8102405",254,17,15,276,
"8102407",200,70,31,302,
"8102408",436,53,30,519,
"8102402",472,49,30,553,
"8102401",203,19,27,248,
"8102404",229,20,16,258,
"8102403",308,37,23,375,
"8102504",499,13,34,543,
"8102501",280,16,32,320,
"8102506",494,20,33,546,
"8102502",401,15,12,424,
"8102503",442,14,19,479,
"8102505",259,8,8,273,
"8109603",492,38,38,566,
"8109604",436,15,68,516,
"8109605",282,30,12,325,
"8109601",316,26,38,381,
"8109602",316,15,14,343,
"8111302",195,16,69,278,
"8111307",179,16,25,223,
"8111305",17,0,17,41,
"8111309",21,0,0,21,
"8108804",386,17,11,410,
"8108808",296,11,21,326,
"8108807",423,10,22,462,
"8108806",289,4,10,307,
"8108801",453,19,32,504,
"8108810",195,4,7,207,
"8108803",355,8,14,380,
"8108802",266,9,14,288,
"8108809",521,16,26,563,
"8108805",321,8,25,350,
"8111002",394,47,19,456,
"8111003",232,11,10,250,
"8111005",270,10,16,290,
"8111006",283,3,13,303,
"8111001",424,42,17,488,
"8111004",380,26,15,415,
"8108501",0,0,0,0,
"8106006",382,49,14,442,
"8106013",82,44,21,143,
"8106012",333,58,55,445,
"8106003",464,66,32,564,
"8106007",267,45,25,336,
"8106002",542,112,98,754,
"8106011",198,40,25,256,
"8106009",53,148,45,248,
"8109005",343,14,13,371,
"8109019",467,12,22,502,
"8109011",438,21,17,472,
"8109014",421,47,25,491,
"8109018",322,11,9,347,
"8109003",442,11,16,468,
"8109010",468,23,34,526,
"8109007",329,58,50,437,
"8109013",287,9,18,307,
"8109008",433,7,19,467,
"8109016",436,33,28,491,
"8109015",275,24,14,309,
"8109009",297,8,9,316,
"8109006",322,17,13,350,
"8109020",275,17,11,301,
"8109017",152,11,20,179,
"8109002",146,3,9,160,
"8109001",200,5,15,212,
"8109012",248,7,16,265,
"8109004",493,30,22,546,
"8109707",372,21,16,409,
"8109702",374,13,16,401,
"8109701",440,25,24,485,
"8109703",394,9,11,416,
"8109705",165,26,20,214,
"8109706",293,15,11,320,
"8109708",335,12,35,383,
"8106108",393,75,28,500,
"8106107",273,37,17,330,
"8106101",366,28,35,436,
"8106109",360,23,19,406,
"8106112",252,35,25,314,
"8106103",344,48,30,418,
"8106114",434,90,46,568,
"8106113",237,29,30,300,
"8106118",4,0,0,4,
"8106115",250,21,22,296,
"8106110",302,24,27,358,
"8106102",302,31,10,343,
"8106111",297,12,9,321,
"8106106",199,28,21,243,
"8106119",380,23,30,434,
"8106117",0,0,0,0,
"8102607",350,53,27,427,
"8102606",502,27,17,547,
"8102601",286,9,12,307,
"8102603",352,20,10,381,
"8102602",169,28,5,204,
"8102605",217,20,3,230,
"8102604",435,18,21,472,
"8109814",373,17,12,401,
"8109810",147,15,10,170,
"8109808",383,30,14,433,
"8109807",236,9,144,389,
"8109809",446,33,26,497,
"8109804",228,10,13,244,
"8109801",291,12,78,380,
"8109806",231,32,39,299,
"8109802",290,12,17,319,
"8113301",4,0,0,4,
"8107004",246,16,24,287,
"8107001",262,11,23,290,
"8107005",375,14,26,418,
"8107007",404,30,23,466,
"8107008",198,24,26,249,
"8107003",397,18,23,438,
"8107006",271,19,12,297,
"8107002",377,28,39,449,
"8106008",246,157,109,509,
"8105305",235,160,20,414,
"8108010",0,0,0,0,
"8103909",236,59,19,316,
"8103915",253,55,5,315,
"8104415",218,83,22,317,
"8104426",336,154,28,521,
"8104410",78,99,5,185,
"8104414",196,49,5,252,
"8104714",0,0,0,0,
"8101904",388,48,16,450,
"8101905",465,51,21,529,
"8101918",254,27,6,284,
"8101902",558,61,14,635,
"8101914",226,21,16,266,
"8107514",0,0,0,0,
"8100622",279,9,23,309,
"8103506",350,33,16,399,
"8103501",263,36,9,311,
"8103505",270,32,26,327,
"8103520",247,46,13,311,
"8103522",306,34,20,362,
"8103815",361,25,13,401,
