Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by CITP Australian Citizenship"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"CITP Australian Citizenship","Australian","Not Australian","Not stated","Total",
"SA1 (UR)",
"8104903",4,0,0,0,
"8104901",1155,798,129,2083,
"8104902",0,0,0,0,
"8106601",0,0,0,0,
"8105013",462,31,46,539,
"8105008",210,23,18,252,
"8105016",160,11,9,179,
"8105018",181,3,21,204,
"8105006",339,20,37,391,
"8105007",235,20,9,269,
"8105001",417,24,24,466,
"8105002",267,14,44,326,
"8105014",247,28,15,286,
"8105011",488,34,34,555,
"8105005",449,29,25,505,
"8105012",315,30,15,360,
"8105004",237,3,9,243,
"8105017",197,19,17,232,
"8105015",317,13,52,380,
"8105003",0,0,0,0,
"8103404",399,24,17,441,
"8103406",363,39,10,417,
"8103411",513,28,22,567,
"8103405",441,18,17,476,
"8103409",267,22,13,299,
"8103408",448,57,23,529,
"8103412",451,29,12,494,
"8103410",479,19,12,513,
"8103407",259,6,18,278,
"8103414",190,13,9,219,
"8103401",346,17,11,371,
"8103403",430,14,9,452,
"8103402",183,16,10,212,
"8103413",383,24,30,434,
"8104014",264,37,23,325,
"8100104",405,24,16,440,
"8100102",334,31,26,387,
"8100101",231,12,10,252,
"8100106",395,28,15,436,
"8100105",508,17,31,559,
"8100103",242,66,16,321,
"8107108",497,31,18,549,
"8107112",561,8,24,598,
"8107110",621,25,43,687,
"8107106",340,9,17,364,
"8107113",253,8,9,261,
"8107114",289,10,6,305,
"8107107",332,4,21,364,
"8107102",470,10,11,490,
"8107104",260,3,0,262,
"8107109",373,12,33,418,
"8107105",397,14,27,436,
"8107111",222,10,6,238,
"8112902",251,10,17,282,
"8112903",447,63,61,574,
"8112901",487,55,45,587,
"8112602",0,0,0,0,
"8100203",477,158,56,693,
"8100211",401,167,63,625,
"8100210",253,74,40,368,
"8100217",238,92,44,383,
"8100205",0,0,0,0,
"8100201",307,198,42,549,
"8100209",187,92,60,332,
"8100214",573,320,71,963,
"8100202",223,75,18,319,
"8100204",7,3,0,6,
"8100212",381,49,24,456,
"8100216",0,0,0,0,
"8100213",18,4,3,25,
"8100208",272,77,32,379,
"8100319",226,26,12,258,
"8107208",481,26,34,540,
"8107202",323,19,11,349,
"8107207",383,16,6,407,
"8107206",401,55,20,480,
"8107204",434,8,19,464,
"8107211",212,0,5,219,
"8107210",332,9,4,342,
"8107203",352,17,7,369,
"8107209",0,0,0,0,
"8107205",538,60,15,612,
"8105104",420,89,76,586,
"8105105",399,163,135,692,
"8105112",172,34,22,232,
"8105115",218,19,14,258,
"8105117",221,33,23,271,
"8105101",25,4,13,36,
"8105109",501,107,44,653,
"8105110",181,126,44,350,
"8105116",266,55,42,367,
"8105111",387,98,55,543,
"8105102",409,52,35,492,
"8105114",273,143,68,489,
"8105118",199,40,16,259,
"8100314",74,18,84,171,
"8100310",204,50,19,271,
"8100316",193,8,90,294,
"8100315",312,53,16,386,
"8100306",274,102,21,394,
"8100312",379,67,11,461,
"8100317",247,179,25,450,
"8100313",413,172,35,625,
"8100307",155,57,6,216,
"8100304",652,172,45,866,
"8100308",492,345,121,963,
"8100309",195,64,25,285,
"8100301",246,112,7,372,
"8100311",217,47,18,292,
"8100318",263,13,20,294,
"8107308",280,14,14,302,
"8107304",299,16,17,332,
"8108107",273,10,28,317,
"8107316",267,20,14,298,
"8107307",392,18,18,430,
"8107312",316,10,33,355,
"8107309",501,22,26,549,
"8107315",92,3,9,107,
"8107311",564,19,29,620,
"8107313",308,23,35,367,
"8107302",417,12,17,441,
"8107310",343,5,22,368,
"8107303",463,9,51,524,
"8107301",410,11,25,445,
"8112406",338,21,18,380,
