Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA1 by HCFMD Family Household Composition (Dwelling)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HCFMD Family Household Composition (Dwelling)","One family household: Couple family with no children","One family household: Couple family with children","One family household: One parent family","One family household: Other family","Two family household: Couple family with no children","Two family household: Couple family with children","Two family household: One parent family","Two family household: Other family","Three or more family household: Couple family with no children","Three or more family household: Couple family with children","Three or more family household: One parent family","Three or more family household: Other family","Lone person household","Group household","Visitors only household","Other non-classifiable household","Not applicable","Total",
"8100217",44,11,5,7,0,0,0,0,0,0,0,0,83,24,3,20,13,216,
"8100205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8100201",29,29,26,3,0,0,0,0,0,0,0,0,71,27,3,11,19,219,
"8100209",20,12,12,4,0,0,0,0,0,0,0,0,67,22,3,31,24,195,
"8100214",180,42,8,6,0,0,0,0,0,0,0,0,211,51,8,26,72,617,
"8100202",26,18,22,5,0,0,0,0,0,0,0,0,60,16,3,7,18,180,
"8100204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8100212",20,20,4,4,0,0,0,0,0,0,0,0,9,0,0,3,3,70,
"8100216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8100213",3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,16,
"8100208",38,23,13,5,0,0,0,0,0,0,0,0,79,21,4,16,18,216,
"8100319",54,18,4,6,0,0,0,0,0,0,0,0,30,13,0,3,17,138,
"8107208",43,63,29,3,0,0,0,0,0,0,0,0,34,4,0,9,11,192,
"8107202",53,29,18,0,0,0,0,0,0,0,0,0,64,5,3,3,12,184,
"8107207",33,56,13,3,0,0,4,0,0,0,0,0,11,3,0,0,8,139,
"8107206",44,35,47,3,0,0,0,0,0,0,0,0,83,16,0,4,42,274,
"8107204",45,45,38,0,0,0,0,0,0,0,0,0,62,4,3,4,12,214,
"8107211",21,37,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,72,
"8107210",22,55,17,0,0,0,0,0,0,0,0,0,20,4,0,3,0,123,
"8107203",22,59,17,0,0,0,0,0,0,0,0,0,24,0,0,5,0,133,
"8107209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8107205",37,93,18,4,0,3,0,0,0,0,0,0,29,14,0,3,11,219,
"8105104",107,14,7,3,0,0,0,0,0,0,0,0,146,25,19,37,44,406,
"8105105",83,13,9,4,0,0,0,0,0,0,0,0,170,49,30,61,68,480,
"8105112",34,7,3,0,0,0,0,0,0,0,0,0,46,18,3,14,8,135,
"8105115",22,23,5,0,4,0,0,0,0,0,0,0,34,7,3,5,10,119,
"8105117",31,8,3,0,0,0,0,0,0,0,0,0,49,37,3,12,9,152,
"8105101",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,11,0,23,
"8105109",83,30,12,3,0,0,0,0,0,0,0,0,79,60,18,10,27,341,
"8105110",52,7,6,0,0,0,0,0,0,0,0,0,91,25,3,18,26,234,
"8105116",36,9,7,0,3,0,0,0,0,0,0,0,70,45,0,16,24,214,
"8105111",73,18,5,3,0,0,0,0,0,0,0,0,121,52,7,22,10,315,
"8105102",56,32,4,0,0,0,0,0,0,0,0,0,104,34,3,12,29,280,
"8105114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8105118",59,7,0,0,0,0,0,0,0,0,0,0,64,19,4,8,9,169,
"8100314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
"8100310",19,28,5,0,5,0,0,0,0,0,0,0,14,14,0,3,11,89,
"8100316",35,14,5,0,0,0,0,0,0,0,0,0,47,0,0,4,15,119,
"8100315",53,40,9,3,0,6,0,0,0,0,0,0,27,10,0,3,7,155,
"8100306",42,23,16,3,0,0,0,0,0,0,0,0,37,33,0,9,21,185,
"8100312",49,48,10,3,0,0,0,0,0,0,0,0,17,25,3,4,9,174,
"8100317",70,8,4,3,0,0,0,0,0,0,0,0,89,37,0,6,24,255,
"8100313",107,21,12,10,0,0,0,0,0,0,0,0,176,36,7,13,39,423,
"8100307",19,12,4,3,0,0,0,0,0,0,0,0,17,34,0,0,9,99,
"8100304",108,74,12,8,0,6,0,0,0,0,0,0,118,39,0,16,31,419,
"8100308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"8100309",30,30,0,3,0,0,0,0,0,0,0,0,15,25,0,3,9,120,
"8100301",55,20,9,0,0,0,0,0,0,0,0,0,41,42,5,0,4,177,
"8100311",35,25,12,0,0,0,0,0,0,0,0,0,19,20,0,5,16,131,
"8100318",28,43,7,0,0,3,0,0,0,0,0,0,9,0,0,3,7,106,
"8107308",28,55,8,0,0,0,0,0,0,0,0,0,10,0,0,3,6,107,
"8107304",39,34,17,3,0,0,0,0,0,0,0,0,51,5,0,8,13,161,
"8108107",19,52,7,0,0,0,0,0,0,0,0,0,11,0,0,4,6,105,
"8107316",23,38,18,3,0,0,0,0,0,0,0,0,29,6,0,6,14,133,
"8107307",39,66,16,0,0,0,0,0,0,0,0,0,22,6,6,8,11,170,
"8107312",27,55,9,0,0,0,0,0,0,0,0,0,12,0,0,9,5,119,
"8107309",47,85,22,0,0,0,0,0,0,0,0,0,14,4,3,4,14,186,
"8107315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8107311",49,74,29,4,0,6,0,0,0,0,0,0,69,5,0,3,21,259,
"8107313",26,34,24,3,0,0,0,0,0,0,0,0,50,3,0,5,13,162,
"8107302",45,58,17,4,0,0,0,0,0,0,0,0,31,0,0,3,6,164,
"8107310",38,53,8,0,5,0,0,0,0,0,0,0,13,4,0,7,10,136,
"8107303",40,76,23,0,0,0,0,0,0,0,0,0,18,7,0,13,7,178,
"8107301",44,64,6,0,0,3,0,0,0,0,0,0,19,0,0,4,10,150,
"8112406",43,58,4,0,0,0,0,0,0,0,0,0,26,9,0,0,15,151,
"8112401",65,38,16,3,0,0,0,0,0,0,0,0,100,11,4,22,37,307,
"8112408",20,21,9,0,0,0,0,0,0,0,0,0,27,11,0,6,15,112,
"8112405",34,51,8,0,0,0,0,0,0,0,0,0,16,0,0,0,16,126,
"8112407",36,40,4,5,0,0,0,0,0,0,0,0,52,9,3,5,14,171,
"8112403",46,56,7,0,0,0,0,0,0,0,0,0,32,7,0,4,21,173,
"8112404",38,43,10,0,0,0,0,0,0,0,0,0,54,18,0,3,17,192,
"8112402",49,42,9,0,0,0,0,0,0,0,0,0,50,11,0,6,20,187,
"8109103",38,37,10,0,0,0,0,0,0,0,0,0,55,0,0,3,15,166,
"8109107",38,47,9,0,0,0,0,0,0,0,0,0,6,0,6,0,10,119,
"8109108",36,75,9,0,0,0,0,0,0,0,0,0,29,0,0,0,13,163,
"8109102",36,49,5,3,0,0,0,0,0,0,0,0,12,0,0,0,10,118,
"8109104",32,27,10,0,0,0,0,0,0,0,0,0,11,4,0,5,7,97,
"8109105",35,56,7,0,0,0,0,0,0,0,0,0,10,0,0,0,7,108,
"8109101",23,40,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,77,
"8109106",50,68,8,4,0,0,0,0,0,0,0,0,15,0,0,4,10,159,
"8100408",7,15,15,0,0,0,0,0,0,0,0,0,43,3,0,4,7,100,
"8100405",37,47,23,3,0,0,0,0,0,0,0,0,36,3,0,17,6,181,
"8100409",26,24,27,0,0,0,0,0,0,0,0,0,47,6,0,10,14,156,
"8100406",43,51,51,3,0,0,0,0,0,0,0,0,52,6,0,12,9,241,
"8100404",30,35,29,3,0,0,0,0,0,0,0,0,28,3,0,7,9,145,
"8100403",31,53,34,6,0,0,0,0,0,0,0,0,41,10,0,10,11,191,
"8100401",22,30,8,0,0,0,0,0,0,0,0,0,17,3,0,6,10,94,
"8100402",40,64,12,4,0,0,0,0,0,0,0,0,30,4,0,0,9,162,
"8109901",72,78,36,7,0,0,0,0,0,0,0,0,97,15,0,11,28,343,
"8109905",54,47,22,0,4,0,0,0,0,0,0,0,54,3,3,3,17,206,
"8109903",32,52,12,0,0,0,0,0,0,0,0,0,18,5,0,0,13,125,
"8109904",33,44,17,0,0,0,0,0,0,0,0,0,38,3,0,4,20,157,
"8109902",60,55,19,8,0,0,0,0,0,0,0,0,99,18,8,17,35,303,
"8107410",31,39,14,0,3,0,0,0,0,0,0,0,17,0,0,0,3,110,
"8107407",39,76,24,0,0,0,0,0,0,0,0,0,41,4,0,3,3,196,
"8107402",46,75,35,4,0,0,0,0,0,0,0,0,41,5,0,7,14,222,
"8107405",26,53,24,0,6,5,0,0,0,0,0,0,35,3,0,10,12,169,
"8107404",30,29,16,4,0,4,0,0,0,0,0,0,49,0,5,11,6,156,
"8107406",45,59,21,0,0,0,0,0,0,0,0,0,24,9,0,10,11,178,
"8107403",33,38,13,0,0,0,0,0,0,0,0,0,16,8,0,4,6,116,
"8107408",29,35,9,0,0,3,0,0,0,0,0,0,11,0,0,3,3,90,
"8107401",45,62,14,0,0,0,0,0,0,0,0,0,24,5,0,8,16,179,
"8107411",34,72,20,0,0,0,0,0,0,0,0,0,22,5,0,5,6,164,
"8107409",33,61,19,4,0,0,0,0,0,0,0,0,26,5,0,0,6,163,
"8107413",27,48,7,0,0,0,0,0,0,0,0,0,20,4,0,3,9,114,
"8107412",30,22,20,0,0,0,0,0,0,0,0,0,20,5,0,4,3,104,
"8105302",83,11,7,0,0,0,0,0,0,0,0,0,105,36,16,17,61,336,
"8105309",15,3,5,0,0,0,0,0,0,0,0,0,19,17,8,8,11,76,
"8105310",129,22,12,8,0,0,0,0,0,0,0,0,171,46,46,45,94,566,
"8107509",17,36,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,71,
"8107504",30,38,34,0,0,0,0,0,0,0,0,0,84,3,0,11,8,206,
"8107516",54,61,41,0,0,0,0,0,0,0,0,0,44,4,5,12,8,230,
"8107502",16,60,7,0,0,0,0,0,0,0,0,0,13,0,0,7,7,107,
"8107512",25,46,11,0,0,3,0,0,0,0,0,0,10,0,0,5,5,99,
"8107503",35,48,8,0,3,0,0,0,0,0,0,0,22,0,0,4,4,139,
"8107505",36,72,12,0,0,0,0,0,0,0,0,0,35,4,0,3,7,185,
"8107506",29,66,20,4,0,0,0,0,0,0,0,0,26,4,0,11,10,164,
"8107507",21,67,19,0,0,0,0,0,0,0,0,0,10,6,0,6,4,142,
"8107513",30,49,10,5,0,0,0,0,0,0,0,0,10,0,0,9,3,112,
"8107510",21,101,18,0,0,3,0,0,0,0,0,0,14,3,0,10,10,181,
"8107508",21,47,6,0,0,5,0,0,0,0,0,0,3,0,0,0,6,96,
"8107517",18,53,9,0,0,0,0,0,0,0,0,0,10,0,0,5,8,99,
"8100504",44,20,12,0,0,0,0,0,0,0,0,0,77,0,4,7,18,192,
"8100508",23,30,5,0,0,0,0,0,0,0,0,0,17,4,0,0,8,85,
"8100507",38,46,7,0,0,0,0,0,0,0,0,0,19,3,0,0,11,121,
"8100505",60,28,11,6,0,0,0,0,0,0,0,0,94,10,3,8,20,236,
"8100509",38,51,21,0,0,0,0,0,0,0,0,0,31,7,0,4,14,166,
"8100506",28,6,6,0,0,0,0,0,0,0,0,0,36,3,4,3,10,101,
"8100501",30,31,11,0,0,0,0,0,0,0,0,0,35,13,0,0,12,131,
"8100502",47,53,17,5,0,0,0,0,0,0,0,0,35,6,3,5,9,175,
"8100503",29,44,5,0,0,0,0,0,0,0,0,0,19,0,0,5,11,124,
"8110007",25,35,10,0,0,0,0,0,0,0,0,0,21,0,0,0,5,95,
"8110006",31,56,15,0,0,0,0,0,0,0,0,0,31,0,4,0,15,169,
"8110009",49,49,7,7,0,0,0,0,0,0,0,0,65,13,7,13,28,234,
"8110002",41,55,9,6,0,0,0,0,0,0,0,0,15,0,0,4,6,143,
"8110012",47,60,10,0,0,0,0,0,0,0,0,0,48,0,0,13,11,193,
"8110005",54,82,13,4,0,3,0,0,0,0,0,0,33,0,0,0,16,206,
"8110010",46,60,20,0,0,0,0,0,0,0,0,0,37,5,0,4,15,191,
"8110008",63,74,25,4,0,0,0,0,0,0,0,0,66,12,0,5,41,287,
"8110004",56,76,18,3,6,0,0,0,0,0,0,0,56,10,0,6,20,258,
"8110003",21,29,7,0,0,0,0,0,0,0,0,0,16,4,0,7,11,97,
"8110001",45,72,12,3,0,0,0,0,0,0,0,0,30,5,0,8,11,181,
"8110011",27,32,8,0,0,0,0,0,0,0,0,0,23,0,0,0,6,104,
"8106207",36,40,11,0,0,0,0,0,0,0,0,0,37,4,0,5,19,153,
"8106205",41,57,15,0,0,0,0,0,0,0,0,0,38,10,0,0,42,206,
"8106203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
"8106204",23,44,23,0,0,0,0,0,0,0,0,0,20,3,4,0,27,146,
"8106201",75,47,9,0,0,0,0,0,0,0,0,0,124,0,9,21,38,322,
"8106208",22,46,9,0,0,0,0,0,0,0,0,0,16,0,0,6,11,106,
"8106206",28,34,5,0,0,0,0,0,0,0,0,0,16,0,0,4,12,98,
"8106209",27,40,10,0,0,0,0,0,0,0,0,0,23,4,0,0,16,114,
"8106202",47,61,6,0,0,0,0,0,0,0,0,0,32,3,0,0,37,197,
"8105404",30,43,14,4,0,0,0,0,0,0,0,0,41,13,0,6,18,179,
"8105406",40,59,18,0,0,0,0,0,0,0,0,0,63,21,0,13,22,248,
"8105401",49,38,12,5,0,0,0,0,0,0,0,0,51,38,10,0,32,235,
"8105403",77,17,14,3,0,0,0,0,0,0,0,0,107,41,9,14,58,347,
"8105405",13,13,4,0,0,0,0,0,0,0,0,0,18,6,0,3,3,62,
"8105503",27,37,20,3,0,0,0,0,0,0,0,0,43,14,3,7,21,167,
"8105508",50,76,24,9,0,0,0,0,0,0,0,0,48,18,3,6,9,247,
"8105507",41,48,13,0,0,5,0,0,0,0,0,0,47,9,0,0,12,179,
"8105502",30,34,11,0,0,0,0,0,0,0,0,0,31,15,0,0,7,132,
"8105505",28,23,10,0,5,0,0,0,0,0,0,0,54,9,0,6,13,154,
"8105509",26,36,22,0,0,0,0,0,0,0,0,0,17,9,4,6,12,139,
"8105504",30,38,12,0,0,0,0,0,0,0,0,0,28,22,0,5,18,149,
"8105506",45,27,12,0,0,0,0,0,0,0,0,0,39,24,0,12,31,197,
"8105501",46,45,15,0,0,0,0,0,0,0,0,0,36,20,0,12,14,190,
"8109205",30,46,11,0,0,0,0,0,0,0,0,0,21,0,0,0,12,122,
"8109201",41,57,30,4,0,0,0,0,0,0,0,0,82,4,0,13,20,253,
"8109204",43,38,7,0,0,0,0,0,0,0,0,0,12,0,0,0,11,119,
"8109208",41,67,18,3,0,0,0,0,0,0,0,0,24,0,3,3,10,168,
"8109207",32,45,15,0,0,0,0,0,0,0,0,0,25,3,0,0,12,140,
"8109202",35,60,14,0,0,0,0,0,0,0,0,0,30,4,0,0,12,161,
"8109209",3,11,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,39,
"8109206",35,50,6,0,0,0,0,0,0,0,0,0,28,0,0,5,15,134,
"8109203",30,55,18,0,0,0,0,0,0,0,0,0,28,6,0,0,7,152,
"8100605",26,62,11,0,0,5,3,0,0,0,0,0,17,0,0,3,0,130,
"8100604",19,41,11,0,0,0,0,0,0,0,0,0,15,5,0,4,4,104,
"8100615",15,28,14,0,0,3,0,0,0,0,0,0,15,0,0,0,6,79,
"8100617",50,39,19,0,0,0,0,0,0,0,0,0,52,3,0,0,22,188,
"8100612",37,89,9,0,0,0,0,0,0,0,0,0,28,10,0,0,14,183,
"8100608",31,57,17,0,3,0,0,0,0,0,0,0,27,4,0,4,10,164,
"8100609",21,61,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,121,
"8100606",26,58,15,0,0,0,0,0,0,0,0,0,10,0,0,3,8,126,
"8100614",28,61,7,0,0,0,0,0,0,0,0,0,14,8,0,0,9,128,
"8100618",23,48,9,4,0,0,0,0,0,0,0,0,3,6,0,5,3,103,
"8100602",8,38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,61,
"8100611",45,47,30,0,0,0,0,0,0,0,0,0,43,0,0,9,12,194,
"8100623",22,50,18,0,0,0,0,0,0,0,0,0,15,0,0,0,6,119,
"8100607",33,62,17,3,0,0,0,0,0,0,0,0,13,0,0,4,8,149,
"8100610",37,49,14,0,0,0,0,0,0,0,0,0,20,5,0,0,8,132,
"8100616",29,94,16,0,0,0,0,0,0,0,0,0,26,6,0,0,11,189,
"8100613",16,40,7,0,0,0,0,0,0,0,0,0,4,3,0,0,0,81,
"8112501",54,75,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,179,
"8112502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
"8100710",45,46,17,6,0,0,0,0,0,0,0,0,21,5,0,7,8,151,
"8100705",50,65,10,0,0,0,0,0,0,0,0,0,24,4,0,8,9,164,
"8100706",30,43,19,0,4,0,0,0,0,0,0,0,41,13,0,13,9,166,
"8100707",47,65,13,0,4,0,0,0,0,0,0,0,30,0,0,7,6,171,
"8100701",52,69,10,0,0,0,0,0,0,0,0,0,28,5,0,17,6,189,
"8100702",29,34,7,0,0,0,0,0,0,0,0,0,9,0,0,8,0,86,
"8100704",19,20,8,0,0,0,0,0,0,0,0,0,13,0,0,14,0,81,
"8100703",56,62,10,0,3,0,0,0,0,0,0,0,21,4,5,18,6,177,
"8100714",30,31,7,0,0,0,0,0,0,0,0,0,20,0,0,6,9,108,
"8100711",45,84,22,6,3,0,0,0,0,0,0,0,34,12,7,5,13,215,
"8100713",36,43,17,0,0,0,0,0,0,0,0,0,21,0,0,0,4,122,
"8100712",33,52,29,0,0,0,0,0,0,0,0,0,19,6,3,4,9,159,
"8100709",30,37,16,0,0,0,0,0,0,0,0,0,31,9,0,7,14,150,
"8100708",36,26,16,0,0,0,0,0,0,0,0,0,18,0,0,4,8,117,
"8107605",41,56,13,0,0,0,0,0,0,0,0,0,18,0,4,0,5,138,
"8107608",37,57,7,0,0,3,0,0,0,0,0,0,22,4,0,3,8,147,
"8107609",27,37,8,0,0,3,0,0,0,0,0,0,13,0,0,0,4,85,
"8107607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8107603",49,54,7,0,0,0,0,0,0,0,0,0,38,3,0,8,3,167,
"8107602",48,57,12,0,0,0,0,0,0,0,0,0,13,0,0,5,6,136,
"8107606",49,68,4,5,0,0,0,0,0,0,0,0,19,0,0,6,16,163,
"8107601",29,57,8,0,0,0,0,0,0,0,0,0,13,0,0,0,17,123,
"8107604",46,58,10,4,0,0,0,0,0,0,0,0,15,4,0,0,4,137,
"8110110",22,41,4,0,0,0,0,0,0,0,0,0,12,0,5,4,3,94,
"8110109",38,59,4,0,0,3,0,0,0,0,0,0,15,0,0,0,8,129,
"8110108",57,66,14,0,0,0,0,0,0,0,0,0,31,0,0,0,17,190,
"8110107",40,71,27,4,5,0,0,0,0,0,0,0,18,3,5,3,13,190,
"8110106",19,20,16,0,0,0,0,0,0,0,0,0,45,6,0,4,31,143,
"8110101",33,25,10,0,0,0,0,0,0,0,0,0,30,3,3,0,15,119,
"8110105",46,52,12,0,0,0,0,0,0,0,0,0,34,0,0,0,30,174,
"8110104",27,53,12,0,5,0,0,0,0,0,0,0,17,0,0,3,20,129,
"8110102",26,64,8,4,0,0,0,0,0,0,0,0,22,0,0,0,12,143,
"8109304",63,101,23,0,0,0,0,0,0,0,0,0,53,8,0,4,17,268,
"8109301",47,39,18,0,0,0,0,0,0,0,0,0,112,9,0,9,31,266,
"8109306",44,66,19,0,0,0,0,0,0,0,0,0,66,3,0,7,27,248,
"8109303",45,58,14,5,0,0,0,0,0,0,0,0,39,0,5,10,14,186,
"8109305",48,76,25,0,0,0,4,0,0,0,0,0,42,8,0,12,23,227,
"8109302",17,35,12,0,0,0,0,0,0,0,0,0,17,3,0,3,17,98,
"8100801",28,34,27,0,0,4,0,0,0,0,0,0,37,8,3,3,7,149,
"8100811",15,37,9,0,0,0,0,0,0,0,0,0,6,0,0,0,7,78,
"8100812",31,38,29,0,0,0,0,0,0,0,0,0,27,11,0,6,11,158,
"8100807",69,66,25,3,0,0,0,0,0,0,0,0,70,3,0,12,22,266,
"8100810",28,44,18,0,0,0,0,0,0,0,0,0,34,3,0,8,9,150,
"8100803",40,49,14,11,0,0,0,0,0,0,0,0,36,3,0,6,6,161,
"8100802",54,68,22,0,0,4,0,0,0,0,0,0,33,8,0,3,12,192,
"8100806",42,46,9,0,0,0,0,0,0,0,0,0,18,0,0,0,6,126,
"8100805",32,65,29,3,0,5,0,0,0,0,0,0,35,5,0,0,6,189,
"8100808",29,32,13,3,0,4,0,0,0,0,0,0,53,14,0,10,17,174,
"8100804",25,21,21,0,0,0,0,0,0,0,0,0,43,9,0,8,10,134,
"8100809",48,65,16,0,4,0,0,0,0,0,0,0,32,3,0,5,10,195,
"8100902",20,31,10,0,0,0,0,0,0,0,0,0,20,3,0,0,4,93,
"8100908",35,49,9,0,0,0,0,0,0,0,0,0,18,0,0,9,7,129,
"8100904",41,47,5,0,0,0,0,0,0,0,0,0,11,4,0,0,10,114,
"8100905",29,52,5,0,0,0,0,0,0,0,0,0,12,8,0,0,12,123,
"8100909",19,40,13,4,0,0,0,0,0,0,0,0,22,3,0,0,4,109,
"8100906",51,55,10,0,0,0,0,0,0,0,0,0,15,5,0,0,11,157,
"8100901",26,54,14,3,0,0,0,0,0,0,0,0,19,0,0,0,8,132,
"8100910",39,35,20,3,0,3,0,0,0,0,0,0,22,3,0,3,10,135,
"8100907",19,35,17,0,0,0,0,0,0,0,0,0,22,0,0,4,17,111,
"8100903",35,61,12,0,0,4,0,0,0,0,0,0,26,3,0,3,8,153,
"8106301",105,47,17,3,0,0,0,0,0,0,0,0,121,27,11,51,89,471,
"8106303",49,54,7,0,4,0,0,0,0,0,0,0,38,0,6,0,14,179,
"8106304",21,35,5,0,0,0,0,0,0,0,0,0,8,0,0,3,19,85,
"8106302",36,31,8,0,0,0,0,0,0,0,0,0,8,0,0,6,16,101,
