Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA1 by HCFMD Family Household Composition (Dwelling)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HCFMD Family Household Composition (Dwelling)","One family household: Couple family with no children","One family household: Couple family with children","One family household: One parent family","One family household: Other family","Two family household: Couple family with no children","Two family household: Couple family with children","Two family household: One parent family","Two family household: Other family","Three or more family household: Couple family with no children","Three or more family household: Couple family with children","Three or more family household: One parent family","Three or more family household: Other family","Lone person household","Group household","Visitors only household","Other non-classifiable household","Not applicable","Total",
"SA1",
"8104903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,
"8104902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8106601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8105013",40,64,15,0,0,0,0,0,0,0,0,0,50,11,0,14,11,211,
"8105008",10,26,14,4,0,3,0,0,0,0,0,0,44,9,0,3,7,120,
"8105016",15,21,4,0,0,0,0,0,0,0,0,0,34,7,0,3,9,86,
"8105018",11,20,3,0,6,0,0,0,0,0,0,0,19,6,0,3,9,76,
"8105006",30,41,4,0,0,0,0,0,0,0,0,0,69,15,0,19,28,215,
"8105007",26,37,6,0,0,0,0,0,0,0,0,0,21,10,0,3,8,106,
"8105001",42,49,30,4,0,0,0,0,0,0,0,0,45,13,0,4,20,211,
"8105002",31,39,7,0,0,0,0,0,0,0,0,0,17,8,0,9,11,120,
"8105014",19,41,6,0,0,0,0,0,0,0,0,0,20,12,0,3,9,110,
"8105011",46,67,21,5,5,0,0,0,0,0,0,0,50,16,3,8,26,238,
"8105005",40,63,11,0,0,0,0,0,0,0,0,0,47,11,0,3,9,194,
"8105012",35,37,23,0,0,0,0,0,0,0,0,0,29,11,0,4,14,160,
"8105004",18,25,21,0,0,0,0,0,0,0,0,0,22,6,5,0,13,111,
"8105017",17,22,4,0,0,0,0,0,0,0,0,0,29,9,0,3,9,100,
"8105015",52,0,5,0,0,0,0,0,0,0,0,0,119,7,0,3,22,213,
"8105003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8103404",23,72,23,0,4,0,0,0,0,0,0,0,15,0,5,0,4,151,
"8103406",34,58,19,0,0,0,0,0,0,0,0,0,26,3,3,4,6,154,
"8103411",35,107,16,0,0,0,0,0,0,0,0,0,17,0,0,3,7,185,
"8103405",23,82,21,0,0,0,0,0,0,0,0,0,12,0,0,4,9,146,
"8103409",18,43,13,0,0,0,0,0,0,0,0,0,12,0,0,0,3,96,
"8103408",28,84,24,0,0,0,0,0,0,0,0,0,26,6,0,7,20,190,
"8103412",19,93,5,0,0,0,0,0,0,0,0,0,7,0,0,0,8,138,
"8103410",27,91,10,0,0,0,0,0,0,0,0,0,13,3,4,0,6,157,
"8103407",8,49,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,87,
"8103414",6,41,4,0,0,3,0,0,0,0,0,0,5,0,0,0,5,64,
"8103401",32,51,19,0,0,0,0,0,0,0,0,0,38,3,0,3,11,170,
"8103403",33,75,9,0,0,0,0,0,0,0,0,0,21,3,0,0,9,154,
"8103402",23,32,10,0,0,0,0,0,0,0,0,0,15,0,0,6,7,82,
"8103413",39,55,12,4,0,0,0,0,0,0,0,0,31,0,0,6,10,170,
"8104014",19,38,9,3,0,7,0,0,0,0,0,0,7,4,0,4,12,110,
"8100104",51,61,11,0,0,0,0,0,0,0,0,0,24,4,0,0,15,172,
"8100102",30,56,3,0,0,0,0,0,0,0,0,0,25,9,3,8,6,138,
"8100101",24,29,9,5,0,0,0,0,0,0,0,0,19,3,0,0,7,100,
"8100106",51,58,6,0,0,5,0,0,0,0,0,0,39,3,10,0,11,188,
"8100105",58,70,23,0,0,3,0,0,0,0,0,0,33,9,3,0,14,212,
"8100103",40,34,7,0,0,0,0,0,0,0,0,0,29,11,0,0,15,141,
"8107108",42,71,38,0,0,0,0,0,0,0,0,0,52,4,0,7,11,228,
"8107112",41,95,16,4,3,0,0,0,0,0,0,0,16,3,0,8,12,185,
"8107110",58,83,40,4,0,0,0,0,0,0,0,0,52,7,0,16,16,279,
"8107106",21,51,8,3,3,0,0,0,0,0,0,0,23,3,0,7,10,132,
"8107113",18,37,11,0,3,0,0,0,0,0,0,0,12,0,0,3,3,94,
"8107114",24,41,19,0,0,0,0,0,0,0,0,0,18,0,0,7,8,118,
"8107107",37,50,16,0,0,0,0,0,0,0,0,0,22,4,0,4,7,144,
"8107102",37,91,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,152,
"8107104",19,35,15,4,0,0,0,0,0,0,0,0,23,0,0,0,5,107,
"8107109",23,56,18,0,0,0,0,0,0,0,0,0,22,4,0,7,3,140,
"8107105",37,62,26,0,0,0,0,0,0,0,0,0,35,4,0,5,3,171,
"8107111",14,42,7,0,0,0,0,0,0,0,0,0,26,3,0,6,4,96,
"8112902",37,26,8,0,0,0,0,0,0,0,0,0,24,11,3,0,25,143,
"8112903",105,22,5,0,0,0,0,0,0,0,0,0,141,17,23,31,72,415,
"8112901",95,36,6,0,0,0,0,0,0,0,0,0,133,18,11,8,101,411,
"8112602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8100203",99,40,17,5,0,0,0,0,0,0,0,0,101,65,3,25,19,377,
"8100211",57,50,25,8,0,0,0,0,0,0,0,0,87,33,0,20,9,291,
"8100210",46,29,0,3,0,0,0,0,0,0,0,0,55,19,5,14,20,196,
