Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by RELP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RELP - 1 Digit Level","Buddhism","Christianity","Hinduism","Islam","Judaism","Other Religions","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation","Inadequately described","Not stated","Total",
"8100213",0,8,0,4,0,0,12,0,0,25,
"8100208",23,103,8,12,0,9,181,4,41,379,
"8100319",6,113,6,3,0,4,105,0,23,258,
"8107208",20,318,3,0,0,8,142,3,42,540,
"8107202",9,180,5,12,0,3,118,0,27,349,
"8107207",7,213,8,10,0,8,143,0,16,407,
"8107206",22,213,35,14,0,10,159,4,24,480,
"8107204",9,263,6,0,0,0,160,0,19,464,
"8107211",3,98,4,20,0,5,76,0,9,219,
"8107210",3,170,17,12,0,4,118,0,18,342,
"8107203",20,188,0,4,0,4,138,0,14,369,
"8107209",0,0,0,0,0,0,0,0,0,0,
"8107205",42,280,45,44,0,7,178,0,21,612,
"8105104",11,150,10,0,0,0,322,5,89,586,
"8105105",32,174,17,17,0,6,305,3,144,692,
"8105112",8,62,9,9,0,0,103,0,35,232,
"8105115",7,121,5,0,0,0,89,3,31,258,
"8105117",0,96,0,0,0,0,140,4,28,271,
"8105101",4,6,0,5,0,0,5,0,15,36,
"8105109",29,186,18,5,0,5,344,8,57,653,
"8105110",27,92,17,12,5,4,141,4,45,350,
"8105116",12,87,5,9,4,0,196,0,47,367,
"8105111",15,137,18,8,5,3,300,7,54,543,
"8105102",12,136,7,12,3,0,280,5,36,492,
"8105114",19,67,17,10,3,0,277,0,89,489,
"8105118",0,66,7,7,0,0,150,3,20,259,
"8100314",5,46,6,0,0,0,32,0,78,171,
"8100310",17,108,23,9,5,0,100,0,17,271,
"8100316",0,174,0,0,0,6,78,0,42,294,
"8100315",19,133,22,4,7,0,159,0,37,386,
"8100306",4,151,20,10,0,8,180,4,27,394,
"8100312",22,193,25,14,0,0,180,0,26,461,
"8100317",24,106,29,18,0,13,216,3,41,450,
"8100313",24,209,18,27,0,14,279,7,51,625,
"8100307",12,84,5,7,0,0,93,0,12,216,
"8100304",33,293,34,60,0,10,369,3,66,866,
"8100308",41,284,15,29,0,8,439,7,144,963,
"8100309",5,86,9,16,0,3,139,0,26,285,
"8100301",19,131,13,17,0,6,167,0,25,372,
"8100311",15,92,11,7,0,0,132,4,34,292,
"8100318",12,115,7,0,4,4,121,0,35,294,
"8107308",5,166,7,0,0,0,114,0,20,302,
"8107304",3,172,0,0,0,0,132,0,25,332,
"8108107",13,153,0,0,0,9,104,3,36,317,
"8107316",0,135,0,0,0,5,136,0,19,298,
"8107307",6,247,9,11,0,0,121,0,33,430,
"8107312",4,186,0,3,0,5,115,0,43,355,
"8107309",22,299,3,9,0,0,194,4,26,549,
"8107315",0,63,0,0,0,0,14,0,34,107,
"8107311",26,327,0,10,0,3,206,5,41,620,
"8107313",4,168,17,4,0,11,121,6,34,367,
"8107302",8,255,13,0,0,0,136,3,33,441,
"8107310",0,222,0,4,0,0,107,0,32,368,
"8107303",9,273,5,10,0,0,166,3,55,524,
"8107301",4,262,0,0,0,0,137,5,31,445,
"8112406",7,189,0,0,0,0,141,5,31,380,
"8112401",11,245,5,11,5,0,219,5,62,565,
"8112408",7,102,8,0,5,0,95,0,11,225,
"8112405",6,229,0,0,0,3,145,5,82,476,
"8112407",4,145,0,6,0,0,174,0,23,355,
"8112403",3,197,5,0,4,0,195,0,29,434,
"8112404",11,147,0,21,0,0,201,4,21,400,
"8112402",7,178,6,0,0,0,165,3,22,384,
"8109103",0,180,0,0,0,0,118,10,26,337,
"8109107",0,181,0,0,0,0,127,0,10,323,
"8109108",8,227,0,0,0,0,191,0,32,463,
"8109102",0,161,3,3,0,7,127,0,10,312,
"8109104",0,113,3,0,0,0,111,0,9,239,
"8109105",0,211,0,0,0,0,124,0,36,374,
"8109101",0,121,3,0,0,3,85,0,4,226,
"8109106",5,238,0,7,0,6,121,0,40,415,
"8100408",3,77,5,17,0,4,56,0,12,168,
"8100405",16,237,0,9,0,0,139,0,37,444,
"8100409",3,159,0,4,0,3,113,0,40,326,
"8100406",14,276,7,14,0,17,205,3,41,575,
"8100404",6,168,0,7,0,0,146,0,33,361,
"8100403",6,227,0,12,0,9,167,11,27,457,
"8100401",0,114,0,7,0,0,84,0,19,223,
"8100402",0,225,0,0,0,6,172,4,12,417,
"8109901",17,269,33,23,4,20,289,5,55,714,
"8109905",10,228,12,8,0,0,148,0,38,446,
"8109903",0,185,4,0,0,6,114,0,21,321,
"8109904",5,171,10,10,0,3,116,12,26,353,
"8109902",7,237,23,36,0,12,192,0,65,568,
"8107410",9,166,0,5,0,6,103,4,4,295,
"8107407",14,285,6,3,0,5,188,0,32,526,
"8107402",6,309,12,7,0,0,165,5,41,549,
"8107405",9,224,3,30,0,0,131,0,40,439,
"8107404",12,141,23,9,0,0,102,0,55,337,
"8107406",5,228,0,3,0,0,161,9,45,450,
"8107403",0,181,0,0,0,0,88,0,21,305,
"8107408",3,136,0,12,0,0,79,0,17,254,
"8107401",5,291,0,0,0,0,130,0,41,471,
"8107411",0,249,3,20,0,0,160,0,29,473,
"8107409",9,282,3,10,0,0,115,4,20,444,
"8107413",7,156,0,0,0,0,139,4,25,328,
"8107412",14,137,0,0,0,0,74,0,19,242,
"8105302",9,130,10,8,0,0,237,3,54,458,
"8105309",12,37,5,0,0,0,121,3,52,238,
"8105310",46,232,16,29,0,3,335,6,131,800,
"8107509",7,121,0,0,0,6,77,0,8,222,
"8107504",6,238,0,5,0,9,140,5,23,424,
"8107516",25,268,8,17,0,3,173,0,59,558,
"8107502",3,208,0,5,0,0,82,0,21,332,
"8107512",6,165,0,6,0,0,91,0,30,304,
"8107503",11,222,0,12,0,0,110,0,19,369,
"8107505",8,269,0,0,0,6,146,0,28,470,
"8107506",12,201,5,3,0,5,161,8,44,443,
"8107507",8,206,4,6,0,8,127,4,63,422,
"8107513",0,190,3,0,0,0,101,0,21,322,
"8107510",6,314,3,9,0,0,185,0,32,559,
"8107508",4,175,0,9,0,5,91,0,17,300,
"8107517",17,192,0,5,0,0,93,0,20,325,
"8100504",8,130,0,3,0,0,148,3,18,310,
"8100508",0,83,0,4,0,0,123,0,10,215,
"8100507",0,105,0,0,0,0,172,0,15,301,
"8100505",17,162,8,13,0,0,189,4,30,416,
"8100509",4,135,10,14,5,0,198,6,24,392,
"8100506",5,30,0,0,0,3,103,0,26,173,
"8100501",4,105,0,10,0,3,140,0,29,293,
"8100502",0,159,0,0,0,4,212,4,34,423,
"8100503",7,124,0,0,0,0,130,4,27,286,
"8110007",4,147,0,0,0,0,81,0,4,241,
"8110006",3,211,0,3,0,0,160,3,26,410,
"8110009",18,183,54,21,0,7,134,5,48,462,
"8110002",6,152,14,0,0,3,195,4,31,402,
"8110012",3,241,11,0,0,0,156,0,48,465,
"8110005",7,235,0,5,8,7,231,0,45,536,
"8110010",11,205,12,5,0,5,196,3,55,488,
"8110008",13,286,9,16,0,10,216,5,33,586,
"8110004",13,271,3,13,6,7,234,5,39,597,
"8110003",7,169,0,0,0,0,133,0,24,339,
"8110001",9,227,0,0,0,0,182,5,58,476,
"8110011",3,122,0,3,0,0,100,0,9,243,
"8106207",3,167,0,5,0,4,105,4,19,305,
"8106205",3,197,11,0,4,3,184,0,28,436,
"8106203",0,4,0,0,0,0,0,0,0,0,
"8106204",7,177,9,8,0,0,116,0,16,332,
"8106201",15,270,0,5,0,0,154,0,73,518,
"8106208",17,123,3,0,0,0,114,0,17,280,
"8106206",4,131,0,0,3,0,83,0,22,246,
"8106209",0,121,5,0,0,0,142,0,4,267,
"8106202",14,262,4,10,3,0,175,0,12,488,
"8105404",25,135,5,3,3,0,202,10,35,420,
"8105406",19,195,11,13,4,5,269,3,49,563,
"8105401",30,139,8,11,0,0,256,0,22,477,
"8105403",24,158,0,22,0,3,287,4,64,561,
"8105405",6,35,0,4,0,12,68,0,13,131,
"8105503",13,139,0,7,0,0,161,10,32,358,
"8105508",38,196,3,7,0,5,301,7,34,598,
"8105507",36,162,3,8,0,0,194,8,26,439,
"8105502",17,109,9,11,0,0,154,5,21,326,
"8105505",34,92,6,3,0,4,125,0,30,301,
"8105509",16,108,0,4,0,0,194,0,36,360,
"8105504",23,106,7,8,0,3,200,6,41,403,
"8105506",18,116,0,5,0,0,216,5,51,413,
"8105501",17,163,0,8,0,5,222,0,44,454,
"8109205",0,161,0,0,0,0,141,0,12,313,
"8109201",15,209,0,3,0,7,238,5,62,544,
"8109204",6,149,0,0,0,0,132,3,13,300,
"8109208",4,226,0,0,0,0,178,6,42,451,
"8109207",4,158,0,4,0,0,132,0,22,320,
"8109202",3,179,0,0,4,0,177,6,21,387,
"8109209",0,77,0,0,0,3,29,0,10,117,
"8109206",0,181,0,0,0,0,106,5,45,333,
"8109203",7,165,0,9,0,0,174,4,25,388,
"8100605",10,247,4,3,0,0,119,0,35,414,
"8100604",5,148,12,0,0,0,111,0,31,303,
"8100615",6,116,4,13,0,0,56,0,6,202,
"8100617",0,211,6,5,0,0,156,4,8,394,
"8100612",19,266,23,15,0,0,167,3,41,540,
"8100608",7,233,9,25,0,3,108,5,24,421,
"8100609",4,205,3,9,0,4,136,0,31,396,
"8100606",16,183,6,0,0,9,123,0,21,355,
"8100614",3,177,0,6,0,4,147,5,13,356,
"8100618",11,170,10,3,0,0,104,0,22,322,
"8100602",11,116,0,0,0,0,44,3,26,202,
"8100611",4,206,10,4,0,3,158,0,40,418,
"8100623",16,176,23,11,0,5,100,0,25,358,
"8100607",3,218,6,20,0,0,152,0,41,446,
"8100610",8,185,0,4,0,5,118,9,13,348,
"8100616",5,299,24,23,0,0,185,4,21,554,
"8100613",3,137,0,4,0,7,91,0,9,244,
"8112501",4,371,3,16,0,0,356,3,42,795,
"8112502",15,358,9,10,0,0,463,14,107,983,
"8100710",8,174,4,4,0,0,143,0,48,381,
"8100705",4,223,6,0,0,3,166,0,27,433,
"8100706",8,198,9,9,0,3,128,0,32,381,
"8100707",3,245,3,6,0,0,171,7,22,461,
"8100701",11,245,8,6,0,12,170,3,70,523,
"8100702",8,109,0,3,0,0,101,0,34,259,
"8100704",0,110,0,0,0,4,62,0,38,217,
"8100703",0,272,0,3,0,9,137,5,55,486,
"8100714",7,152,6,6,0,0,77,0,19,266,
"8100711",0,322,4,4,0,3,228,9,24,594,
"8100713",9,143,4,14,0,0,128,0,23,313,
"8100712",6,186,3,0,0,5,166,4,28,397,
"8100709",12,138,0,12,0,0,146,0,29,331,
"8100708",5,159,3,3,0,4,88,0,23,276,
"8107605",3,208,0,0,0,0,120,0,16,353,
"8107608",3,227,7,5,0,0,146,6,28,430,
"8107609",8,117,0,0,0,4,96,4,10,238,
"8107607",0,0,0,0,0,0,0,0,0,0,
"8107603",3,229,10,7,0,0,125,0,24,398,
"8107602",11,205,0,8,0,0,129,0,20,360,
"8107606",3,270,0,0,0,0,132,0,46,456,
"8107601",8,214,4,0,3,0,95,0,18,343,
"8107604",5,224,6,6,0,0,99,0,29,373,
"8110110",6,137,0,11,0,5,76,3,19,261,
"8110109",12,217,0,0,0,0,106,0,11,346,
"8110108",5,247,4,4,4,0,170,4,21,454,
"8110107",14,275,5,14,0,3,156,0,56,524,
"8110106",5,122,18,6,0,0,97,0,37,283,
"8110101",9,84,11,10,0,0,104,0,16,241,
"8110105",0,209,11,0,0,4,139,0,23,385,
"8110104",3,210,6,6,0,0,99,0,25,350,
"8110102",0,205,0,13,4,4,139,0,15,378,
"8109304",3,374,9,6,0,6,248,7,53,702,
"8109301",0,265,10,0,0,5,127,3,48,456,
"8109306",11,272,0,0,0,4,231,0,51,566,
"8109303",0,216,3,0,0,0,175,3,52,444,
"8109305",9,259,5,5,0,3,233,3,49,568,
"8109302",9,128,0,0,0,8,95,0,23,259,
"8100801",36,141,6,11,0,6,124,0,22,350,
"8100811",12,144,3,0,0,0,52,0,15,228,
"8100812",28,185,12,15,0,0,112,0,44,405,
"8100807",27,235,15,11,0,3,222,3,34,567,
"8100810",8,178,3,18,5,0,121,4,31,370,
"8100803",12,205,3,21,0,7,114,0,25,390,
"8100802",37,226,11,20,0,0,139,8,43,486,
"8100806",4,223,4,0,0,0,91,0,8,329,
"8100805",14,230,22,20,0,3,169,3,27,489,
"8100808",8,144,40,38,0,4,94,0,40,377,
"8100804",15,126,11,16,0,0,95,0,27,286,
"8100809",24,270,0,9,0,4,162,0,28,497,
"8100902",0,122,9,8,0,0,94,0,17,250,
"8100908",15,187,9,3,0,5,101,0,30,349,
"8100904",0,165,8,0,0,0,126,5,26,327,
"8100905",0,148,0,0,3,0,148,0,19,316,
"8100909",6,132,7,0,0,0,117,4,14,277,
"8100906",6,212,0,0,0,0,171,3,20,414,
"8100901",9,224,8,0,0,0,128,0,32,394,
"8100910",0,173,0,6,0,8,137,3,30,349,
"8100907",10,133,0,3,0,0,108,4,18,275,
"8100903",0,177,3,0,0,0,188,0,36,406,
"8106301",11,302,14,9,5,4,265,0,137,748,
"8106303",3,221,3,0,4,0,142,0,22,405,
"8106304",4,136,4,0,0,0,51,0,8,210,
"8106302",13,125,0,5,0,0,91,0,17,250,
"8101005",4,268,4,5,0,0,219,0,45,545,
"8101004",5,158,0,0,0,0,155,0,23,345,
"8101001",3,171,0,8,0,0,143,3,31,354,
"8101003",4,235,0,0,0,0,168,4,31,447,
"8101002",4,173,0,5,0,0,117,0,40,339,
"8113002",0,6,0,0,0,0,6,0,0,10,
"8113003",0,15,0,0,0,0,9,0,5,29,
"8113007",0,8,0,0,0,0,3,0,0,8,
"8113005",0,0,0,0,0,0,0,0,0,0,
"8113004",0,3,0,0,0,0,0,0,0,5,
"8110206",7,128,15,0,0,0,82,0,13,249,
"8110203",3,224,7,12,0,0,167,0,41,447,
"8110202",7,371,39,4,3,0,152,0,71,651,
"8110205",4,112,8,16,0,0,85,0,16,243,
"8110204",0,180,0,0,0,0,107,0,31,323,
"8110209",0,160,3,0,0,0,100,5,21,287,
"8110211",10,178,18,15,0,0,114,0,24,355,
"8110201",0,0,0,0,0,0,0,0,0,0,
"8110210",0,52,4,6,0,0,31,0,98,191,
"8110207",17,298,73,40,4,15,236,5,61,746,
"8107708",0,0,0,0,0,0,0,0,0,0,
"8107703",6,201,5,0,0,0,117,3,15,341,
"8107706",4,168,0,3,0,0,97,0,16,284,
"8107705",12,249,5,7,0,0,129,0,41,443,
"8107704",13,175,8,0,0,5,87,5,31,323,
"8107701",4,354,5,25,0,0,171,7,48,613,
"8107707",5,205,4,6,0,4,98,0,25,344,
"8107702",12,197,0,8,0,0,152,0,35,395,
"8101101",13,289,0,0,5,9,269,7,56,634,
"8101103",13,269,0,13,0,0,274,8,38,622,
"8101107",0,0,0,0,0,0,0,0,0,0,
"8101102",3,182,0,4,0,0,129,0,37,360,
"8101108",10,87,5,9,0,0,74,0,11,201,
"8101104",5,262,0,14,5,4,174,0,42,503,
"8101110",3,125,0,4,6,3,78,0,26,236,
"8101105",13,147,0,6,0,0,97,0,25,289,
"8101106",4,94,5,6,0,7,85,3,15,217,
"8101109",4,113,6,8,9,0,91,0,18,250,
"8107805",14,185,14,9,0,12,110,8,45,378,
"8107821",11,269,11,5,0,0,109,0,43,441,
"8107819",12,146,0,0,0,0,69,6,26,245,
"8107818",7,247,19,15,0,6,121,5,19,436,
"8107809",0,167,0,12,0,0,86,0,27,291,
"8107820",4,221,0,4,0,0,160,7,17,405,
"8107810",19,338,7,4,0,3,140,0,46,565,
"8107801",22,223,4,16,0,0,138,0,28,438,
"8107813",13,188,5,3,0,0,111,0,13,337,
"8107802",4,134,5,0,0,6,83,0,9,245,
"8107807",4,159,3,0,0,0,53,0,14,236,
"8107804",3,118,5,11,0,5,101,0,23,269,
"8107803",20,137,3,8,0,9,127,4,41,345,
"8107814",13,274,10,21,0,3,130,0,28,482,
"8107815",4,183,0,8,0,0,121,7,23,341,
"8107811",14,293,11,14,0,0,179,18,37,560,
"8107808",7,225,15,13,0,0,120,0,25,417,
"8107817",0,129,0,0,0,0,86,0,23,236,
"8107812",7,151,9,5,0,5,109,7,26,308,
"8107816",0,161,0,8,0,0,82,0,15,272,
"8107806",7,192,8,10,0,3,138,7,17,377,
"8107903",3,235,6,11,4,0,174,5,19,449,
"8107904",5,225,0,3,0,0,105,0,12,363,
"8107906",3,188,3,3,3,0,116,0,32,349,
"8107905",9,212,0,4,0,0,137,3,15,381,
"8107907",5,180,3,5,0,0,84,0,15,298,
"8107901",0,152,0,0,0,0,98,0,19,264,
"8107908",3,162,0,4,0,0,87,0,13,280,
"8107909",12,139,0,11,0,0,104,0,22,296,
"8107902",14,184,0,12,0,4,130,0,26,370,
"8108009",0,0,0,0,0,0,0,0,0,0,
"8108005",0,65,23,0,0,0,38,0,0,128,
"8108002",12,188,19,12,0,8,124,0,34,390,
"8108006",13,53,60,6,0,0,67,0,34,236,
"8108008",0,0,0,0,0,0,0,0,0,0,
"8108003",21,272,9,13,0,10,169,5,37,535,
"8108011",15,186,143,28,0,6,162,5,44,588,
"8108007",0,4,0,0,0,0,4,0,7,11,
"8106405",5,261,3,5,4,0,261,3,61,600,
"8106416",0,127,3,20,9,0,137,0,27,319,
"8106417",0,16,0,0,0,0,23,0,4,52,
"8106402",7,278,0,8,4,0,197,3,36,533,
"8106403",3,157,6,0,0,5,128,0,85,380,
"8106404",11,163,12,22,0,4,195,4,72,480,
"8106407",0,129,0,0,0,0,90,0,21,253,
"8106413",3,190,3,0,0,4,131,0,31,369,
"8106409",0,0,0,0,0,0,0,0,0,0,
"8106410",16,65,0,3,4,3,95,5,39,226,
"8106401",0,120,15,11,0,0,120,4,33,306,
"8106411",18,217,34,6,0,8,283,7,57,627,
"8106414",0,51,0,3,0,4,43,0,14,122,
"8106415",6,132,7,11,3,0,126,0,23,307,
"8104018",0,0,0,0,0,0,0,0,0,0,
"8104005",17,186,12,16,0,11,134,4,36,419,
"8104007",23,216,26,24,0,3,201,0,19,504,
"8104024",8,117,9,12,0,3,98,0,26,272,
"8104025",9,120,15,17,0,6,139,0,35,346,
"8104008",19,251,21,11,0,3,204,3,22,530,
"8104002",9,170,3,0,4,0,126,0,13,328,
"8104017",23,184,15,23,0,0,108,3,29,389,
"8104006",10,140,18,11,0,5,109,3,27,318,
"8104001",32,186,43,43,0,18,272,7,51,652,
"8104019",11,101,10,9,0,5,72,3,14,222,
"8104016",0,0,0,0,0,0,0,0,0,0,
"8104020",0,0,0,0,0,0,0,0,0,0,
"8104026",23,193,69,40,0,10,217,0,53,618,
"8104013",16,140,22,3,0,0,100,5,23,306,
"8104011",0,0,0,0,0,0,0,0,0,0,
"8104015",18,173,10,6,0,13,138,0,28,392,
"8104401",41,264,18,23,0,5,190,5,57,601,
"8104402",15,247,37,24,0,12,215,3,41,596,
"8104412",6,142,18,8,0,0,81,0,12,267,
"8104423",13,162,20,9,0,0,118,0,16,330,
"8111901",0,3,0,0,0,0,4,0,0,10,
"8103927",53,158,43,47,0,10,152,0,34,508,
"8103907",19,84,18,0,0,6,80,0,34,241,
"8103922",27,158,27,25,0,8,133,3,30,409,
"8103912",19,155,31,20,0,7,122,0,17,371,
"8103924",19,179,19,22,0,0,147,0,20,405,
"8103923",27,172,44,27,0,10,179,5,26,494,
"8103908",21,66,18,15,0,14,60,3,18,225,
"8103925",15,158,30,13,0,7,133,0,36,396,
"8103919",24,41,21,42,0,0,92,3,13,236,
"8103914",34,138,47,16,0,17,193,8,32,486,
"8103708",11,244,34,9,0,4,188,0,26,507,
"8104502",0,0,0,0,0,0,0,0,0,0,
"8103703",9,145,27,49,0,0,185,0,16,431,
"8103707",14,126,0,14,0,7,114,0,24,308,
"8103702",7,128,33,17,0,3,124,7,30,350,
"8103704",3,203,30,44,4,0,158,0,28,477,
"8103706",12,122,15,40,0,0,93,0,24,304,
"8105604",6,166,0,9,3,0,212,0,29,427,
"8105602",7,199,0,4,4,0,294,0,46,560,
"8105606",4,75,0,0,0,0,112,3,12,206,
"8105605",6,203,4,7,0,0,204,6,42,470,
"8105601",16,175,0,4,12,9,265,5,35,518,
"8105603",26,138,7,23,0,0,221,0,28,445,
"8105607",3,171,0,0,4,0,180,3,17,377,
"8111303",0,10,0,0,0,0,5,0,4,14,
"8104425",0,0,0,0,0,0,0,0,0,0,
"8104411",9,136,16,15,0,0,147,0,30,351,
"8104413",11,175,18,11,0,7,124,3,9,352,
"8104405",19,227,35,6,0,5,133,4,25,453,
"8104404",23,289,15,13,0,5,212,5,38,594,
"8104409",9,136,14,15,0,11,153,4,7,346,
"8101304",0,172,6,0,0,3,105,0,8,298,
"8101302",21,164,28,88,4,24,154,11,80,567,
"8101310",9,127,12,3,0,0,82,0,13,247,
"8101303",0,174,4,0,0,0,169,0,17,376,
"8101307",5,90,4,4,0,0,86,4,15,208,
"8101305",0,220,9,0,0,0,149,5,14,401,
"8101306",0,157,3,0,0,4,154,0,21,341,
"8101308",4,179,0,0,0,0,103,0,18,300,
"8101309",0,0,0,0,0,0,0,0,0,4,
"8101301",10,78,0,16,0,0,99,0,10,218,
"8101404",0,255,12,12,0,9,172,0,50,509,
"8101406",10,115,0,6,0,10,101,5,21,259,
"8101402",3,204,3,10,0,0,202,0,46,474,
"8101403",13,280,3,0,0,6,234,10,35,576,
"8101407",21,307,0,12,0,0,210,3,52,610,
"8101405",3,206,8,3,0,0,120,5,29,379,
"8101401",6,138,0,9,0,3,103,3,13,267,
"8109404",16,315,12,10,0,6,204,4,41,614,
"8109405",5,277,3,16,0,5,171,11,41,516,
"8109406",3,188,16,30,0,8,195,0,46,483,
"8109403",0,115,0,5,0,0,95,0,12,221,
"8109401",4,208,0,4,0,0,156,0,43,413,
"8109407",7,195,4,0,0,0,121,0,25,347,
"8101511",3,91,0,0,0,0,86,3,33,219,
"8101505",0,261,7,3,0,0,195,6,43,520,
"8101506",4,138,11,11,0,8,118,3,31,309,
"8101515",11,200,13,13,0,18,118,8,67,449,
"8101501",6,343,0,3,0,0,171,3,27,562,
"8101514",0,0,0,0,0,0,0,0,0,0,
"8101513",5,104,19,24,0,8,77,0,23,254,
"8101508",8,183,0,8,0,3,114,0,12,326,
"8101510",0,202,0,10,0,0,106,0,48,369,
"8101503",9,173,4,8,0,0,101,0,26,319,
"8101502",0,141,0,4,0,4,80,0,21,243,
"8101509",10,224,13,4,0,3,119,0,29,400,
"8101504",0,179,12,4,0,4,145,0,9,350,
"8101512",3,122,8,12,0,0,101,0,36,281,
"8110301",13,142,20,21,0,4,139,9,54,397,
"8110306",4,284,0,0,6,0,221,0,62,584,
"8110303",8,157,15,4,0,0,108,0,17,315,
"8110307",4,239,7,3,0,6,174,0,51,485,
"8110308",0,98,0,0,0,7,70,0,21,199,
"8110305",16,111,0,3,0,0,102,0,27,259,
"8110302",0,175,0,0,0,3,143,4,23,350,
"8110304",0,169,0,0,3,6,197,4,34,406,
"8103103",0,4,0,0,0,0,0,0,0,5,
"8110401",19,343,45,21,0,9,154,0,49,644,
"8110406",0,0,0,0,0,0,0,0,0,0,
"8110403",13,246,15,14,0,0,123,0,15,421,
"8110402",6,159,28,13,0,0,96,0,20,328,
"8110404",19,226,8,19,0,4,115,0,22,418,
"8110405",9,293,32,15,0,0,140,0,43,527,
"8108105",19,208,4,6,0,3,106,0,28,374,
"8108112",0,147,0,6,0,7,93,4,31,292,
"8108114",8,131,4,13,0,3,62,0,21,236,
"8108103",5,292,4,6,0,0,129,6,28,478,
"8108108",26,221,12,15,0,0,148,0,41,458,
"8108109",16,179,0,5,0,7,114,4,25,351,
"8108104",6,203,0,0,0,8,84,3,20,319,
"8108101",8,196,4,0,0,18,114,0,24,377,
"8108102",7,140,0,8,0,3,126,0,15,292,
"8108106",11,183,5,22,0,6,120,0,32,384,
