Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by RELP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RELP - 1 Digit Level","Buddhism","Christianity","Hinduism","Islam","Judaism","Other Religions","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation","Inadequately described","Not stated","Total",
"SA1 (UR)",
"8104903",0,4,0,0,0,0,0,0,0,0,
"8104901",105,512,81,85,13,17,1052,18,202,2083,
"8104902",0,0,0,0,0,0,0,0,0,0,
"8106601",0,0,0,0,0,0,0,0,0,0,
"8105013",9,175,0,7,0,3,285,6,49,539,
"8105008",15,86,0,5,0,0,106,3,35,252,
"8105016",4,65,0,5,0,0,89,0,17,179,
"8105018",0,73,0,0,0,0,103,0,22,204,
"8105006",10,125,9,0,0,0,196,7,52,391,
"8105007",0,100,5,0,0,0,151,5,13,269,
"8105001",16,152,6,13,0,3,224,4,40,466,
"8105002",0,104,7,0,4,0,156,0,42,326,
"8105014",8,80,3,13,5,4,160,3,14,286,
"8105011",12,186,0,6,0,4,286,4,54,555,
"8105005",4,154,4,0,10,0,297,5,32,505,
"8105012",5,124,0,3,7,3,186,0,22,360,
"8105004",6,91,0,3,3,0,123,0,15,243,
"8105017",0,79,5,0,0,0,108,4,32,232,
"8105015",0,241,0,3,0,0,93,0,42,380,
"8105003",0,0,0,0,0,0,0,0,0,0,
"8103404",11,209,28,12,0,7,151,0,21,441,
"8103406",9,252,4,9,0,5,125,0,13,417,
"8103411",4,326,24,0,0,0,167,3,44,567,
"8103405",15,245,22,5,0,10,139,4,31,476,
"8103409",4,184,10,0,0,0,82,0,15,299,
"8103408",8,280,19,22,0,0,172,0,31,529,
"8103412",14,307,14,6,3,0,121,8,22,494,
"8103410",7,299,9,7,0,0,179,0,12,513,
"8103407",0,158,4,0,0,6,101,0,17,278,
"8103414",3,129,0,12,0,0,64,0,13,219,
"8103401",5,188,5,3,0,12,134,4,24,371,
"8103403",9,260,5,11,0,5,140,3,22,452,
"8103402",9,103,10,0,0,3,78,0,10,212,
"8103413",7,215,17,17,0,0,139,5,39,434,
"8104014",25,144,11,7,0,11,90,0,34,325,
"8100104",3,154,6,8,6,0,246,0,20,440,
"8100102",4,123,0,5,4,0,205,3,40,387,
"8100101",0,92,0,0,0,3,135,6,20,252,
"8100106",18,141,6,5,0,9,228,0,36,436,
"8100105",9,180,0,3,3,3,308,4,48,559,
"8100103",20,124,3,0,0,4,160,0,16,321,
"8107108",12,283,0,11,0,6,201,3,32,549,
"8107112",18,322,7,9,0,3,185,0,40,598,
"8107110",25,320,0,23,0,10,251,6,54,687,
"8107106",13,188,3,4,0,0,137,0,17,364,
"8107113",4,140,0,0,0,0,104,0,17,261,
"8107114",5,170,0,0,0,3,116,0,13,305,
"8107107",4,167,0,5,0,0,160,0,35,364,
"8107102",11,289,10,19,0,5,117,0,38,490,
"8107104",3,160,3,3,0,5,81,6,6,262,
"8107109",15,235,8,15,0,0,115,0,33,418,
"8107105",6,227,3,0,0,8,157,0,31,436,
"8107111",13,132,3,9,0,0,67,0,10,238,
"8112902",7,106,0,0,0,0,143,0,22,282,
"8112903",18,219,0,3,5,6,245,0,74,574,
"8112901",7,231,19,3,16,3,256,0,44,587,
"8112602",0,0,0,0,0,0,0,0,0,0,
"8100203",19,189,68,48,0,11,276,13,68,693,
"8100211",14,193,15,42,0,23,277,6,63,625,
"8100210",11,128,9,17,0,3,158,0,46,368,
"8100217",25,117,24,5,0,4,152,4,52,383,
"8100205",0,0,0,0,0,0,0,0,0,0,
"8100201",14,167,29,33,0,5,231,3,51,549,
"8100209",17,78,6,33,0,5,121,0,64,332,
"8100214",33,250,54,60,0,8,473,7,83,963,
"8100202",18,120,8,17,0,6,115,0,26,319,
"8100204",0,3,0,0,0,0,3,0,0,6,
"8100212",3,229,0,3,0,3,110,0,97,456,
"8100216",0,0,0,0,0,0,0,0,0,0,
