Australian Bureau of Statistics

"2016 Census - Internal Migration"
"SA1 (UR) by STATE (5YR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"STATE (5YR)","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Other Territories","Overseas","Not stated","Not applicable","Total",
"SA1 (UR)",
"8104903",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104901",553,237,122,41,61,27,11,110,0,768,150,6,2083,
"8104902",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8106601",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8105013",28,10,13,6,0,3,3,351,0,33,50,42,539,
"8105008",12,8,0,0,0,0,0,173,0,21,28,18,252,
"8105016",31,0,0,0,0,0,0,117,0,11,8,12,179,
"8105018",12,0,0,0,0,0,0,154,0,4,16,10,204,
"8105006",24,0,3,0,3,0,7,274,0,24,37,18,391,
"8105007",32,3,0,0,3,0,0,189,0,16,9,9,269,
"8105001",39,7,4,4,3,0,0,304,0,24,29,38,466,
"8105002",13,3,3,0,0,0,0,214,0,36,36,12,326,
"8105014",18,9,0,0,0,0,0,173,0,35,13,32,286,
"8105011",31,10,5,0,5,0,0,415,0,26,34,29,555,
"8105005",18,0,3,0,7,0,0,375,0,41,24,32,505,
"8105012",24,14,6,0,3,0,0,231,0,43,11,25,360,
"8105004",12,19,0,0,0,0,0,186,0,5,3,15,243,
"8105017",20,7,0,3,0,0,0,127,0,39,17,15,232,
"8105015",27,3,4,3,0,0,0,263,0,4,75,0,380,
"8105003",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8103404",30,20,20,0,0,4,6,278,0,23,17,34,441,
"8103406",19,12,14,0,5,0,0,306,0,15,10,35,417,
"8103411",32,11,9,10,0,0,0,398,0,20,27,53,567,
"8103405",49,9,10,3,0,0,0,320,0,14,28,48,476,
"8103409",19,12,5,10,0,3,4,192,0,18,11,29,299,
"8103408",35,9,19,0,5,0,3,356,0,49,22,45,529,
"8103412",25,8,6,3,0,0,0,386,0,20,10,28,494,
"8103410",50,12,10,6,4,0,7,349,0,24,13,39,513,
"8103407",10,11,5,0,0,0,0,219,0,11,8,22,278,
"8103414",10,0,3,7,0,0,0,167,0,14,7,15,219,
"8103401",24,11,10,0,0,0,0,293,0,0,12,22,371,
"8103403",45,0,9,0,0,0,0,327,0,23,14,35,452,
"8103402",27,4,0,0,0,0,0,146,0,12,8,12,212,
"8103413",36,16,8,0,0,0,0,293,0,33,19,30,434,
"8104014",37,5,6,0,10,0,0,193,0,22,25,23,325,
"8100104",11,5,6,0,0,0,0,376,0,15,8,19,440,
"8100102",7,6,0,0,0,0,0,281,0,45,24,24,387,
"8100101",19,0,3,0,0,0,0,196,0,5,4,17,252,
"8100106",22,5,7,5,0,3,0,328,0,27,11,24,436,
"8100105",20,13,0,0,0,0,0,450,0,12,23,37,559,
"8100103",17,6,3,3,0,0,0,202,0,61,10,17,321,
"8107108",10,3,10,0,0,0,0,433,0,14,22,50,549,
"8107112",18,0,10,0,4,0,0,488,0,8,29,37,598,
"8107110",24,6,4,3,0,0,3,539,0,8,43,63,687,
"8107106",25,0,7,0,4,0,0,270,0,0,13,39,364,
"8107113",13,4,4,0,0,0,0,208,0,3,6,27,261,
"8107114",19,0,3,0,0,0,0,244,0,0,7,25,305,
"8107107",19,0,0,4,4,0,0,274,0,0,26,41,364,
"8107102",6,0,12,0,0,0,3,426,0,9,11,22,490,
"8107104",9,0,0,5,0,0,0,231,0,0,0,14,262,
"8107109",19,0,6,0,4,0,0,295,0,4,31,52,418,
"8107105",21,0,3,5,0,0,0,344,0,6,24,32,436,
"8107111",18,10,12,0,0,0,0,179,0,0,4,17,238,
"8112902",34,6,10,5,3,0,3,177,0,22,14,8,282,
"8112903",61,45,22,7,13,0,4,269,0,64,75,16,574,
"8112901",56,39,21,21,4,5,7,292,0,73,51,28,587,
"8112602",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8100203",120,25,22,4,15,0,0,269,0,124,62,45,693,
"8100211",59,18,4,4,0,3,8,281,0,127,59,54,625,
"8100210",23,0,9,0,5,0,3,209,0,59,34,25,368,
"8100217",61,10,12,4,3,4,0,147,0,84,42,16,383,
"8100205",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8100201",44,6,11,4,0,3,0,236,0,158,53,29,549,
"8100209",24,8,0,0,0,0,0,148,0,83,57,7,332,
"8100214",138,35,18,6,6,4,4,393,4,250,69,36,963,
"8100202",26,8,0,0,6,0,0,180,0,59,22,15,319,
"8100204",3,0,0,0,0,0,0,6,0,3,0,0,6,
"8100212",27,7,3,4,0,0,0,331,0,26,37,21,456,
"8100216",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8100213",9,0,0,0,3,0,0,9,0,3,0,0,25,
"8100208",26,7,6,4,9,0,0,193,0,62,31,35,379,
"8100319",15,15,7,0,5,0,0,166,0,23,20,13,258,
"8107208",31,0,4,0,0,0,8,409,0,23,36,25,540,
"8107202",28,5,0,0,0,0,0,278,0,0,21,21,349,
"8107207",10,3,3,3,0,0,5,325,0,9,9,37,407,
"8107206",27,3,6,0,0,4,4,344,0,33,19,31,480,
"8107204",30,3,19,0,0,0,5,369,0,5,12,28,464,
"8107211",5,0,0,0,0,0,0,196,0,0,0,5,219,
"8107210",7,0,5,5,0,0,3,289,0,8,8,19,342,
"8107203",9,8,0,0,0,0,0,302,0,11,7,26,369,
"8107209",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8107205",55,17,24,3,10,0,0,382,0,54,11,65,612,
"8105104",88,32,28,9,9,0,0,227,0,100,81,17,586,
"8105105",74,39,27,20,19,0,4,230,0,143,128,0,692,
"8105112",23,7,5,3,0,0,0,115,0,36,30,3,232,
"8105115",13,11,3,0,0,0,0,170,0,21,15,18,258,
"8105117",38,22,16,6,0,0,0,126,0,32,25,6,271,
"8105101",0,0,0,0,0,0,0,18,0,0,13,4,36,
"8105109",84,37,33,5,4,0,3,301,0,111,55,24,653,
"8105110",37,12,21,3,3,0,0,109,0,105,38,6,350,
"8105116",46,26,15,10,8,0,0,140,0,64,52,7,367,
"8105111",50,21,15,9,12,0,0,264,0,97,55,11,543,
"8105102",46,14,13,3,5,0,0,322,0,42,30,8,492,
"8105114",144,54,16,3,13,14,3,16,0,138,67,0,489,
"8105118",37,16,21,10,6,3,0,101,0,44,16,7,259,
"8100314",18,11,5,6,0,0,0,32,0,18,86,0,171,
"8100310",27,0,5,4,0,0,0,152,0,40,16,25,271,
"8100316",14,0,0,0,0,0,0,184,0,7,93,5,294,
"8100315",27,13,0,0,0,0,0,282,0,39,18,18,386,
"8100306",37,14,17,0,4,0,0,188,0,93,33,15,394,
"8100312",34,10,7,5,0,3,0,291,0,64,19,29,461,
"8100317",67,12,16,8,7,3,0,160,0,142,21,12,450,
"8100313",111,21,25,9,16,4,0,264,0,129,38,18,625,
"8100307",32,0,0,4,0,0,0,115,0,53,4,3,216,
"8100304",133,41,26,10,8,0,4,386,0,154,43,65,866,
"8100308",388,27,15,10,4,6,3,85,0,308,130,0,963,
"8100309",39,6,11,3,0,8,0,118,0,54,23,21,285,
"8100301",38,17,20,4,5,0,0,172,0,89,3,15,372,
"8100311",43,6,13,3,4,0,0,153,0,36,16,15,292,
"8100318",12,0,4,0,0,0,0,244,0,9,22,14,294,
"8107308",9,0,9,0,0,6,0,257,0,11,11,14,302,
"8107304",26,0,3,0,0,0,0,241,0,0,19,40,332,
"8108107",16,0,6,0,0,3,0,226,0,10,27,38,317,
"8107316",17,3,0,0,0,0,4,210,0,13,17,34,298,
"8107307",15,4,4,0,0,0,0,349,0,5,13,36,430,
"8107312",11,6,9,4,0,5,3,267,0,10,28,12,355,
"8107309",18,0,0,5,0,0,0,437,0,15,27,48,549,
"8107315",9,3,3,0,0,0,0,77,0,0,14,0,107,
"8107311",36,5,6,0,0,0,0,476,0,10,29,52,620,
"8107313",8,0,8,4,0,0,0,259,0,16,34,39,367,
"8107302",18,0,3,0,0,0,5,349,0,15,26,34,441,
"8107310",4,0,10,0,0,0,0,312,0,4,20,15,368,
"8107303",20,0,0,0,0,0,0,424,0,6,49,26,524,
"8107301",18,6,9,0,0,0,0,346,0,19,22,36,445,
"8112406",23,6,4,0,7,0,0,258,0,47,19,12,380,
"8112401",57,21,11,4,9,0,10,321,0,61,63,14,565,
"8112408",19,6,14,0,7,0,0,147,0,10,10,9,225,
"8112405",34,0,13,6,3,0,0,306,0,25,76,10,476,
"8112407",43,14,6,0,4,8,0,201,0,30,22,17,355,
"8112403",34,9,8,3,3,0,0,306,0,32,14,19,434,
"8112404",37,15,12,4,0,0,0,234,0,51,18,19,400,
"8112402",37,13,3,0,8,0,0,260,0,33,17,12,384,
"8109103",17,3,0,8,0,0,0,262,0,15,17,16,337,
"8109107",18,0,0,0,0,0,0,281,0,7,10,14,323,
"8109108",14,0,7,0,6,0,0,390,0,7,14,25,463,
"8109102",13,3,5,0,0,0,0,251,0,3,10,21,312,
"8109104",13,0,0,0,0,0,3,199,0,6,4,10,239,
"8109105",10,0,0,15,3,0,0,287,0,18,22,18,374,
"8109101",14,0,0,0,0,0,0,177,0,11,12,8,226,
"8109106",11,4,4,5,0,0,0,351,0,20,7,17,415,
"8100408",13,0,7,0,0,0,0,114,0,8,9,20,168,
"8100405",18,3,12,0,0,0,0,337,0,15,35,28,444,
"8100409",23,0,4,0,0,0,0,213,0,12,33,32,326,
"8100406",30,0,3,0,0,0,3,434,0,13,38,48,575,
"8100404",22,0,4,0,0,0,0,276,0,12,17,33,361,
"8100403",21,0,10,0,0,0,0,338,0,19,30,47,457,
"8100401",13,4,0,0,0,0,0,171,0,3,19,15,223,
"8100402",13,9,3,0,0,0,4,340,0,8,3,38,417,
"8109901",51,23,12,4,0,0,0,500,0,50,33,43,714,
"8109905",19,13,11,6,0,0,0,338,0,23,25,28,446,
"8109903",14,10,9,0,0,0,0,265,0,3,10,21,321,
"8109904",15,9,6,3,0,0,8,265,0,22,14,18,353,
"8109902",54,0,11,4,0,4,0,348,0,52,44,38,568,
"8107410",8,0,9,0,0,0,0,250,0,0,9,13,295,
"8107407",26,0,18,0,0,0,0,413,0,8,20,44,526,
"8107402",18,0,10,0,0,0,0,423,0,19,32,38,549,
"8107405",20,3,0,0,0,0,0,331,0,27,27,29,439,
"8107404",22,0,3,0,0,0,0,223,0,15,37,35,337,
"8107406",28,0,0,4,0,0,0,363,0,5,31,25,450,
"8107403",13,0,0,0,0,0,6,254,0,5,8,16,305,
"8107408",10,0,4,0,0,0,0,206,0,7,8,16,254,
"8107401",27,0,0,0,0,0,0,388,0,0,29,23,471,
"8107411",22,0,3,0,4,0,0,374,0,18,14,31,473,
"8107409",25,0,5,0,0,4,0,357,0,6,14,30,444,
"8107413",6,0,8,5,3,0,0,275,0,0,13,24,328,
"8107412",12,0,0,0,0,0,0,200,0,6,11,13,242,
"8105302",56,25,26,12,13,0,0,184,0,82,50,9,458,
"8105309",12,10,3,7,0,0,0,52,0,104,40,3,238,
"8105310",92,34,55,7,12,7,0,279,0,180,112,22,800,
"8107509",5,5,0,0,0,0,0,195,0,0,7,12,222,
"8107504",16,11,3,5,0,0,0,321,0,6,26,27,424,
"8107516",16,6,8,0,0,0,0,450,0,8,32,41,558,
"8107502",16,3,6,0,0,0,0,270,0,3,17,16,332,
"8107512",6,6,18,0,0,0,0,246,0,0,12,14,304,
"8107503",3,9,13,0,3,0,9,304,0,3,22,10,369,
"8107505",32,0,3,8,0,0,0,364,0,19,19,34,470,
"8107506",23,0,0,4,0,0,0,319,0,19,35,51,443,
"8107507",10,0,3,0,3,0,6,318,0,11,31,35,422,
"8107513",21,0,0,0,4,0,0,247,0,10,15,24,322,
"8107510",25,0,0,0,0,0,3,449,0,4,30,45,559,
"8107508",7,0,3,0,3,0,0,256,0,4,8,12,300,
"8107517",9,5,0,0,5,3,0,265,0,4,9,21,325,
"8100504",19,3,4,0,0,0,0,234,0,15,12,12,310,
"8100508",5,4,0,0,0,0,0,175,0,12,5,11,215,
"8100507",11,3,0,0,0,0,0,243,0,18,9,10,301,
"8100505",32,9,13,0,4,0,0,245,0,54,22,35,416,
"8100509",22,10,0,0,0,0,0,295,0,33,7,16,392,
"8100506",13,4,3,0,0,0,0,118,0,7,19,4,173,
"8100501",14,0,7,4,0,0,0,192,0,28,16,26,293,
"8100502",9,10,7,4,0,0,0,327,0,19,29,23,423,
"8100503",11,0,3,0,0,0,0,224,0,19,18,9,286,
"8110007",8,0,3,0,0,0,0,187,0,22,4,11,241,
"8110006",16,11,8,0,0,0,0,308,0,39,19,21,410,
"8110009",44,16,4,3,3,0,0,255,0,72,27,26,462,
"8110002",18,0,0,0,0,0,0,321,0,21,15,18,402,
"8110012",11,3,5,0,0,0,0,355,0,11,37,43,465,
"8110005",26,12,0,5,0,0,0,418,0,32,19,25,536,
"8110010",11,6,0,0,6,0,0,388,0,21,21,30,488,
"8110008",37,3,6,3,0,0,0,421,0,64,15,38,586,
"8110004",41,9,11,12,0,0,0,414,0,42,27,44,597,
"8110003",22,7,5,0,0,0,0,266,0,4,31,11,339,
"8110001",33,0,11,3,0,0,3,360,0,11,33,21,476,
"8110011",22,0,6,0,0,0,4,178,0,8,6,14,243,
"8106207",17,3,0,0,4,0,3,234,0,14,3,23,305,
"8106205",29,8,7,0,6,3,0,287,0,50,20,24,436,
"8106203",0,0,0,0,0,0,0,4,0,0,0,0,0,
"8106204",28,7,9,0,4,0,0,227,0,18,16,27,332,
"8106201",34,10,3,0,6,4,0,346,0,39,53,19,518,
"8106208",12,7,4,5,4,3,0,195,0,11,15,22,280,
"8106206",13,0,0,6,0,0,0,207,0,7,13,9,246,
"8106209",25,10,13,0,0,0,0,198,0,14,0,15,267,
"8106202",63,11,15,7,0,0,0,330,0,41,12,10,488,
"8105404",21,23,3,0,0,0,0,284,0,38,31,21,420,
"8105406",36,19,0,3,0,0,0,358,0,58,47,34,563,
"8105401",66,12,8,5,3,0,0,249,0,90,10,33,477,
"8105403",72,54,23,8,5,3,0,220,0,100,62,14,561,
"8105405",12,0,3,0,4,0,4,90,0,9,8,3,131,
"8105503",11,10,10,0,0,3,0,247,0,38,25,21,358,
"8105508",39,14,3,7,3,0,3,364,0,95,22,52,598,
"8105507",23,5,0,0,0,0,0,324,0,34,29,24,439,
"8105502",15,8,12,0,0,0,3,222,0,20,15,23,326,
"8105505",19,5,7,0,6,0,0,175,0,47,27,13,301,
"8105509",26,0,10,0,6,0,0,220,0,54,27,24,360,
"8105504",33,4,9,0,3,0,0,234,0,69,26,27,403,
"8105506",28,0,21,0,0,0,3,252,0,44,41,18,413,
"8105501",24,4,4,0,5,0,0,324,0,34,36,28,454,
"8109205",17,0,0,0,0,0,0,262,0,7,5,21,313,
"8109201",29,7,0,3,0,0,0,399,0,14,41,44,544,
"8109204",14,0,7,0,0,0,0,251,0,0,11,19,300,
"8109208",30,11,11,0,0,0,0,322,0,29,26,23,451,
"8109207",12,5,0,0,0,0,3,241,0,15,11,21,320,
"8109202",17,4,8,3,0,0,0,308,0,5,15,22,387,
"8109209",0,0,0,0,0,0,0,105,0,8,0,5,117,
"8109206",18,0,3,0,0,0,0,269,0,10,19,18,333,
"8109203",18,6,5,0,0,4,0,296,0,11,23,34,388,
"8100605",28,0,0,0,0,0,0,327,0,5,15,41,414,
"8100604",13,0,0,0,0,0,0,225,0,0,14,33,303,
"8100615",15,0,4,0,0,0,0,173,0,0,4,10,202,
"8100617",16,5,3,0,0,0,0,318,0,7,12,31,394,
"8100612",20,4,3,0,3,0,4,410,0,26,24,47,540,
"8100608",27,6,6,0,0,0,0,319,0,10,19,37,421,
"8100609",14,3,4,0,0,0,0,325,0,6,10,32,396,
"8100606",26,6,5,0,4,0,0,258,0,6,6,45,355,
"8100614",15,0,4,0,0,0,3,293,0,6,12,21,356,
"8100618",10,0,0,0,6,0,0,246,0,9,14,33,322,
"8100602",9,0,0,0,0,0,0,169,0,12,6,11,202,
"8100611",33,5,5,0,0,0,0,311,0,11,28,33,418,
"8100623",15,6,14,0,0,0,4,267,0,10,16,30,358,
"8100607",22,5,5,0,0,0,0,340,0,18,18,38,446,
"8100610",13,3,0,0,0,0,0,277,0,9,9,29,348,
"8100616",41,0,4,0,0,3,0,420,0,10,11,63,554,
"8100613",16,0,0,0,6,0,0,197,0,5,6,15,244,
"8112501",166,95,194,36,28,9,29,66,0,63,28,78,795,
"8112502",268,133,237,71,37,29,10,61,0,42,89,0,983,
"8100710",30,0,3,0,0,0,0,277,0,11,37,22,381,
"8100705",15,0,11,5,5,0,0,341,0,20,12,33,433,
"8100706",25,3,6,0,0,3,0,284,0,12,26,32,381,
"8100707",21,0,0,0,0,0,0,377,0,13,22,27,461,
"8100701",27,5,0,0,3,0,0,359,0,24,68,31,523,
"8100702",15,0,0,0,4,0,0,180,0,7,35,12,259,
"8100704",9,0,0,0,0,0,0,151,0,8,27,16,217,
"8100703",12,0,0,0,3,0,0,387,0,12,46,32,486,
"8100714",3,0,4,0,0,0,0,208,0,5,20,18,266,
"8100711",33,4,0,0,6,0,7,457,0,14,23,56,594,
"8100713",10,0,0,0,0,0,0,253,0,12,10,27,313,
"8100712",21,0,4,3,0,0,0,320,0,13,20,21,397,
"8100709",20,8,0,0,0,0,0,244,0,16,15,24,331,
"8100708",17,6,11,0,0,6,0,195,0,7,16,17,276,
"8107605",10,9,0,6,0,0,0,290,0,10,13,20,353,
"8107608",12,14,11,0,0,0,7,346,0,0,28,13,430,
"8107609",5,0,8,0,0,0,0,214,0,6,3,6,238,
"8107607",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8107603",15,5,0,0,0,0,0,329,0,8,13,18,398,
"8107602",11,0,5,0,0,0,3,311,0,9,4,20,360,
"8107606",20,0,0,5,0,0,0,368,0,23,22,17,456,
"8107601",28,0,0,7,0,0,0,272,0,17,8,13,343,
"8107604",5,11,7,0,5,0,6,304,0,8,9,31,373,
"8110110",14,3,6,0,0,0,0,211,0,6,10,19,261,
"8110109",16,7,0,0,0,0,0,304,0,18,7,6,346,
"8110108",20,11,7,5,0,0,0,373,0,19,4,19,454,
"8110107",20,12,5,0,3,0,0,395,0,27,30,31,524,
"8110106",4,9,6,6,3,0,0,175,10,23,42,15,283,
"8110101",15,11,4,0,0,0,0,154,0,26,13,17,241,
