Australian Bureau of Statistics

"2016 Census - Internal Migration"
"SA1 (UR) by STATE (5YR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"STATE (5YR)","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Other Territories","Overseas","Not stated","Not applicable","Total",
"8110105",20,6,0,0,0,0,0,310,0,12,9,20,385,
"8110104",14,0,14,0,5,0,0,262,0,24,15,17,350,
"8110102",25,8,0,3,0,0,0,293,0,26,0,24,378,
"8109304",35,3,21,0,3,0,5,531,0,25,21,57,702,
"8109301",26,4,4,0,0,0,0,352,0,4,35,28,456,
"8109306",40,4,7,0,0,4,0,419,0,20,39,40,566,
"8109303",11,0,0,4,10,0,0,345,0,13,36,32,444,
"8109305",17,9,7,6,0,0,0,420,0,21,37,40,568,
"8109302",8,0,5,0,0,0,5,197,0,11,21,24,259,
"8100801",15,3,0,0,0,0,0,292,0,11,17,16,350,
"8100811",5,0,0,0,0,0,0,207,0,9,8,10,228,
"8100812",11,0,9,0,0,0,0,302,4,30,24,17,405,
"8100807",24,13,7,0,9,0,3,406,0,40,25,41,567,
"8100810",24,0,0,0,0,0,0,269,0,24,26,25,370,
"8100803",22,0,0,0,0,0,0,306,0,13,18,25,390,
"8100802",19,0,3,5,0,0,4,380,0,17,22,41,486,
"8100806",12,4,3,0,0,0,0,286,0,0,5,11,329,
"8100805",22,0,5,7,5,0,0,372,0,41,18,31,489,
"8100808",51,6,7,0,0,0,0,178,0,76,25,37,377,
"8100804",12,3,8,5,0,0,0,207,0,16,27,24,286,
"8100809",12,6,8,0,0,0,0,409,0,10,18,25,497,
"8100902",12,0,0,0,0,0,0,206,0,0,5,19,250,
"8100908",20,4,11,0,6,0,0,253,0,3,23,17,349,
"8100904",4,0,0,0,0,0,0,278,0,8,17,26,327,
"8100905",21,6,0,0,5,0,0,246,0,11,12,14,316,
"8100909",5,0,0,0,4,0,0,226,0,11,13,22,277,
"8100906",17,0,13,0,0,0,0,349,0,12,12,14,414,
"8100901",12,0,8,0,0,0,0,312,0,12,12,28,394,
"8100910",13,0,5,4,0,0,0,262,0,17,14,34,349,
"8100907",9,0,7,0,0,3,0,207,0,4,16,24,275,
"8100903",10,0,4,0,0,0,0,324,0,8,24,41,406,
"8106301",68,38,33,14,7,3,4,360,0,88,117,21,748,
"8106303",43,13,4,0,5,0,0,275,0,29,16,21,405,
"8106304",5,0,0,0,0,0,0,173,0,9,14,3,210,
"8106302",13,8,0,0,0,0,0,187,0,25,9,10,250,
"8101005",27,8,13,0,0,0,0,416,0,6,38,37,545,
"8101004",0,6,3,0,0,0,0,286,0,17,7,20,345,
"8101001",16,0,3,0,0,0,0,283,0,4,24,31,354,
"8101003",3,0,0,0,0,0,0,391,0,4,20,26,447,
"8101002",13,0,0,0,0,0,0,268,0,11,19,23,339,
"8113002",0,0,0,0,0,0,0,6,0,0,0,0,10,
"8113003",8,0,0,0,0,0,0,19,0,0,5,0,29,
"8113007",3,0,0,0,0,0,0,6,0,0,0,0,8,
"8113005",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8113004",0,0,0,0,0,0,0,5,0,0,0,0,5,
"8110206",9,9,8,0,0,0,0,195,0,13,6,11,249,
"8110203",25,11,8,0,4,0,3,302,0,39,32,27,447,
"8110202",46,13,5,0,4,0,0,433,0,59,57,32,651,
"8110205",15,3,3,0,0,0,0,186,0,19,13,14,243,
"8110204",0,0,0,0,0,0,0,278,0,29,19,0,323,
"8110209",14,4,0,0,0,0,0,209,0,27,11,17,287,
"8110211",22,3,9,0,3,0,0,232,0,45,21,24,355,
"8110201",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8110210",16,0,0,0,0,0,0,56,0,3,99,14,191,
"8110207",98,13,42,14,20,6,3,328,0,134,36,58,746,
"8107708",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8107703",18,4,0,0,0,0,0,274,0,5,8,21,341,
"8107706",6,0,0,0,0,0,0,242,0,0,5,25,284,
"8107705",19,0,0,8,0,0,0,339,0,7,26,32,443,
"8107704",20,0,5,0,0,0,0,242,0,4,23,27,323,
"8107701",15,8,16,0,0,3,0,487,0,7,32,41,613,
"8107707",21,0,0,0,0,0,0,278,0,6,17,19,344,
"8107702",21,0,5,0,0,0,4,300,0,12,22,30,395,
"8101101",25,9,4,0,5,0,0,513,0,23,23,43,634,
"8101103",32,12,9,0,0,0,0,456,0,42,12,58,622,
"8101107",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8101102",23,4,6,0,0,0,0,258,0,27,13,33,360,
"8101108",9,4,5,0,0,3,0,150,0,7,12,13,201,
"8101104",32,0,9,0,9,0,0,360,0,16,30,39,503,
"8101110",11,4,0,4,0,0,0,165,0,14,17,19,236,
"8101105",17,4,0,0,0,0,0,203,0,6,24,33,289,
"8101106",10,0,4,0,3,0,0,164,0,9,6,9,217,
"8101109",11,0,5,4,0,0,0,176,0,17,17,19,250,
"8107805",15,4,3,0,0,0,0,288,0,8,34,35,378,
"8107821",17,8,0,0,0,0,0,358,0,9,19,17,441,
"8107819",0,0,4,0,0,4,0,215,0,5,11,13,245,
"8107818",17,7,4,0,0,0,0,356,0,15,8,23,436,
"8107809",4,0,0,5,0,0,3,236,0,0,25,14,291,
"8107820",11,0,5,0,0,0,0,345,0,8,16,21,405,
"8107810",61,4,8,0,0,0,0,411,0,6,34,35,565,
"8107801",19,11,0,0,0,0,0,333,0,0,22,44,438,
"8107813",41,0,0,0,0,0,0,254,0,10,7,21,337,
"8107802",16,0,0,0,0,0,0,196,0,0,9,17,245,
"8107807",14,4,3,0,0,0,4,185,0,0,15,14,236,
"8107804",21,7,3,0,3,0,0,195,0,5,9,22,269,
"8107803",20,3,4,0,0,0,0,256,0,4,20,36,345,
"8107814",21,6,0,0,3,0,0,387,0,17,17,31,482,
"8107815",32,3,3,0,0,0,0,247,0,6,15,32,341,
"8107811",37,3,13,0,0,0,0,433,0,10,26,46,560,
"8107808",14,5,9,0,0,0,0,314,0,22,20,26,417,
"8107817",4,0,0,0,0,0,0,206,0,3,12,12,236,
"8107812",14,0,0,3,0,0,4,240,0,12,13,22,308,
"8107816",0,0,0,0,0,0,0,232,0,9,9,14,272,
"8107806",24,3,4,0,0,0,0,303,0,7,12,27,377,
"8107903",10,0,0,0,3,0,0,388,0,3,4,35,449,
"8107904",9,0,7,0,0,0,0,298,0,17,13,23,363,
"8107906",9,4,3,0,0,0,0,270,0,13,24,27,349,
"8107905",14,10,4,5,0,0,0,308,0,0,15,31,381,
"8107907",9,0,3,8,0,0,0,247,0,3,4,17,298,
"8107901",9,0,11,4,0,0,0,201,0,8,19,24,264,
"8107908",5,0,6,0,0,0,0,219,0,18,21,11,280,
"8107909",11,0,0,0,0,0,0,245,0,3,16,18,296,
"8107902",9,3,7,0,0,0,0,295,0,6,21,32,370,
"8108009",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8108005",21,4,3,0,4,0,0,76,0,10,3,6,128,
"8108002",25,8,8,0,0,0,0,269,0,23,33,20,390,
"8108006",28,14,6,0,0,0,0,73,0,56,35,12,236,
"8108008",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8108003",27,4,9,0,9,0,0,409,0,29,24,31,535,
"8108011",53,20,11,3,0,3,4,276,0,132,36,54,588,
"8108007",3,0,0,0,0,0,0,0,0,0,7,0,11,
"8106405",63,22,3,15,7,0,0,386,0,47,43,26,600,
"8106416",21,14,6,0,4,0,0,208,0,25,26,19,319,
"8106417",17,4,5,0,0,0,0,14,0,6,6,0,52,
"8106402",32,0,13,3,0,0,0,410,0,36,14,17,533,
"8106403",23,10,8,0,0,4,0,174,0,17,138,12,380,
"8106404",85,24,34,8,15,9,8,161,0,64,59,25,480,
"8106407",21,0,7,0,0,0,0,176,0,27,18,14,253,
"8106413",24,0,0,0,0,0,0,307,0,11,11,10,369,
"8106409",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8106410",20,21,7,0,4,4,0,96,0,31,30,12,226,
"8106401",41,22,11,8,14,0,0,142,0,29,29,17,306,
"8106411",95,28,43,29,12,9,3,253,0,80,52,23,627,
"8106414",3,4,0,3,5,0,0,80,0,8,20,3,122,
"8106415",26,5,4,8,0,0,0,213,0,22,14,17,307,
"8104018",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104005",37,5,16,3,13,0,0,218,0,48,29,44,419,
"8104007",40,13,16,4,14,0,0,314,0,57,7,43,504,
"8104024",18,0,9,0,6,3,0,182,0,12,13,26,272,
"8104025",49,5,4,3,0,0,0,152,0,81,29,20,346,
"8104008",37,9,13,0,3,3,0,337,0,64,18,38,530,
"8104002",20,15,6,0,0,3,0,232,0,20,18,16,328,
"8104017",45,14,14,0,0,0,0,196,0,44,31,36,389,
"8104006",30,18,0,0,3,0,6,162,0,49,16,26,318,
"8104001",54,19,10,4,3,0,0,302,0,161,56,38,652,
"8104019",16,0,0,0,0,0,0,141,0,30,11,16,222,
"8104016",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104020",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104026",69,15,14,0,7,0,0,226,0,194,50,36,618,
"8104013",32,8,10,8,3,3,8,169,0,22,9,38,306,
"8104011",0,0,0,0,0,0,0,0,0,0,0,0,0,
"8104015",24,8,15,9,0,0,0,256,0,48,10,29,392,
