,electorate,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers
0,ginninderra,0.14116685104131596,0.29483911307777405,0.11043239863402433,0.11706988600836901,0.17565292674715022,0.07539319898032802,0.02715117117983743,0.058294454331201
1,yerrabi,0.15609529343404996,0.29113306217315515,0.10782103428239395,0.11432887855897735,0.1801278326554329,0.077931435212086,0.020476467170249854,0.05208599651365485
2,kurrajong,0.20388225365080176,0.3978926370169561,0.058003631620674664,0.09741438837881385,0.13582772819109484,0.05485793202219892,0.010332216567351218,0.04178921255210864
3,murrumbidgee,0.1762001466689231,0.35787217239239577,0.08292435268234896,0.09581429457889096,0.1645230439442658,0.060839397529192756,0.017910531956901902,0.043916060247080724
4,brindabella,0.1432495401594114,0.23323114653586757,0.12578786020846106,0.11406499080318823,0.20809319435928877,0.07757204169221336,0.03828326180257511,0.059717964438994485
5,combined,0.16328143365160025,0.31280853468842684,0.09787082931123303,0.10825410004151308,0.17346964293752531,0.06978698289961338,0.023057263037856924,0.051471213432231155
