,electorate,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type
0,ginninderra,0.2882272012578616,0.38941299790356393,9.827044025157233e-05,0.313187893081761,0.004454926624737945,0.0032756813417190774,0.0013430293501048218
1,yerrabi,0.19637247569184743,0.4908376963350785,0.00011219147344801796,0.30901271503365746,0.002393418100224383,0.0008975317875841437,0.00037397157816005983
2,kurrajong,0.244141246332756,0.25778516135873597,0.0,0.48545473825598245,0.0077056307659679754,0.002474285108338341,0.002438938178219222
3,murrumbidgee,0.35814242391026346,0.35799627315576016,0.0005115276407614454,0.2727538455917279,0.004055683437465746,0.0031787789104461253,0.003361467353575213
4,brindabella,0.30093998024944224,0.4684173951208807,0.0,0.22358362898211478,0.001865330456091584,0.0031088840934859734,0.0020847810979847115
5,combined,0.2779445208848712,0.3914692483727695,0.00014258317946231884,0.32178171941056116,0.0041349122044072465,0.0026092721841604345,0.0019177437637681882
