electorate,"Couple family: Both employed, worked full-time","Couple family: One employed full-time, other part-time","Couple family: One employed full-time, other away from work","Couple family: One employed full-time, other unemployed","Couple family: One employed full-time, other not in the labour force","Couple family: One employed full-time, other labour force status not stated","Couple family: Both employed, worked part-time","Couple family: One employed part-time, other away from work","Couple family: One employed part-time, other unemployed","Couple family: One employed part-time, other not in the labour force","Couple family: One employed part-time, other labour force status not stated","Couple family: Both employed, away from work","Couple family: One away from work, other unemployed","Couple family: One away from work, other not in the labour force","Couple family: One away from work, other labour force status not stated",Couple family: Both unemployed,"Couple family: One unemployed, other not in the labour force","Couple family: One unemployed, other labour force status not stated",Couple family: Both not in the labour force,"Couple family: One not in the labour force, other labour force status not stated",Couple family: Both labour force status not stated,"One parent family: Employed, worked full-time","One parent family: Employed, worked part-time","One parent family: Employed, away from work",One parent family: Unemployed,One parent family: Not in the labour force,One parent family: Labour force status not stated,Other family
ginninderra,5236,3836,653,291,2098,417,657,72,75,829,111,69,5,91,8,22,46,3,3054,182,3,1311,621,23,56,1042,4,304
yerrabi,6381,4264,743,475,2326,520,513,93,33,559,126,98,3,74,22,8,48,6,1708,137,15,1301,434,34,13,515,0,215
kurrajong,4577,2553,415,259,1392,543,522,62,71,610,165,66,0,35,4,0,47,0,1845,122,14,808,301,10,26,694,0,263
murrumbidgee,4648,3488,561,258,1663,447,594,84,21,807,123,88,3,84,14,0,30,0,3168,211,8,1029,458,30,24,854,0,173
brindabella,5484,3778,669,220,2022,426,518,91,46,752,100,79,7,123,6,5,26,3,2589,124,10,1662,669,69,79,943,3,211
