electorate,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated
ginninderra,1979.0,38720.0,1789.0,2256.0,60.0,800.0,32365.0,484.0,6947.0
yerrabi,2805.0,36759.0,4159.0,3294.0,48.0,1168.0,27000.0,390.0,5982.0
kurrajong,2187.0,26755.0,1212.0,1402.0,264.0,397.0,34600.0,512.0,8464.0
murrumbidgee,1314.0,35947.0,1718.0,1475.0,89.0,671.0,26350.0,366.0,6530.0
brindabella,1613.0,42011.0,1125.0,1410.0,40.0,543.0,25793.0,427.0,5873.0
