electorate,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable
ginninderra,8799.0,11888.0,3.0,9561.0,136.0,100.0,41.0,1840.0,2456.0
yerrabi,5251.0,13125.0,3.0,8263.0,64.0,24.0,10.0,1410.0,1718.0
kurrajong,6907.0,7293.0,0.0,13734.0,218.0,70.0,69.0,2803.0,4028.0
murrumbidgee,9802.0,9798.0,14.0,7465.0,111.0,87.0,92.0,1766.0,2753.0
brindabella,8228.0,12807.0,0.0,6113.0,51.0,85.0,57.0,1530.0,1864.0
