electorate,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below
ginninderra,6678,2727,14723,6288,8265,20006,21,3281
yerrabi,7074,2388,13765,6695,7412,17152,6,2619
kurrajong,10494,3364,17714,4101,3996,16098,5,2146
murrumbidgee,7173,2936,15122,5777,5502,14562,3,2843
brindabella,3258,1923,10086,6908,9899,21326,3,3587
