electorate,One family household: Couple family with no children,One family household: Couple family with children,One family household: One parent family,One family household: Other family,Two family household: Couple family with no children,Two family household: Couple family with children,Two family household: One parent family,Two family household: Other family,Three or more family household: Couple family with no children,Three or more family household: Couple family with children,Three or more family household: One parent family,Three or more family household: Other family,Lone person household,Group household,Visitors only household
ginninderra,8247,9579,3118,357,60,121,15,0,0,0,0,0,7710,1656,218
yerrabi,6496,11761,2380,195,34,212,25,0,0,0,0,0,4745,1175,124
kurrajong,7430,6171,1913,266,27,24,0,0,0,0,0,0,9758,2659,711
murrumbidgee,7621,9053,2497,170,31,52,7,0,0,0,0,0,7452,773,299
brindabella,7025,10340,3503,204,76,114,8,0,4,0,0,0,5684,591,117
