electorate,National Government,State/Territory Government,Local Government,Private sector
ginninderra,12589,4174,24,25588
yerrabi,13012,3870,39,26656
kurrajong,16219,2960,22,20596
murrumbidgee,11023,4205,14,20902
brindabella,11439,4402,48,25507
