,electorate,Male same-sex couple,Female same-sex couple,Opposite-sex couple
0,ginninderra,0.002400567406841617,0.00294615090839653,0.9946532816847619
1,yerrabi,0.00137290104551695,0.003801879818354631,0.9948252191361284
2,kurrajong,0.009698899826288361,0.01194267515923567,0.978358425014476
3,murrumbidgee,0.0018317182699125502,0.0028952966201843534,0.9952729851099031
4,brindabella,0.0011752854264607119,0.0012872173718379224,0.9975374972017014
5,combined,0.0029810771470160117,0.00422707423580786,0.9927918486171762
