Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"8104903",0,0,0,0,0,0,0,0,0,0,0,0,
"8104901",8,761,1081,183,28,15,3,6,0,0,0,2083,
"8104902",0,0,0,0,0,0,0,0,0,0,0,0,
"8106601",0,0,0,0,0,0,0,0,0,0,0,0,
"8105013",75,89,40,76,85,80,62,18,13,0,0,539,
"8105008",38,23,34,35,41,24,26,15,10,4,0,252,
"8105016",24,17,35,23,29,15,17,14,6,0,0,179,
"8105018",25,18,30,27,30,28,21,7,12,0,0,204,
"8105006",32,38,45,40,62,74,51,26,12,3,0,391,
"8105007",17,38,48,32,37,52,24,19,6,3,0,269,
"8105001",62,53,65,84,76,59,40,16,13,3,0,466,
"8105002",41,40,40,49,52,52,22,15,5,3,0,326,
"8105014",46,36,30,43,52,48,16,6,10,0,0,286,
"8105011",71,73,46,64,84,92,72,32,15,5,0,555,
"8105005",71,69,56,55,85,78,49,23,15,5,0,505,
"8105012",51,37,50,51,66,52,32,16,6,0,0,360,
"8105004",32,26,33,24,32,27,33,18,17,5,0,243,
"8105017",28,33,46,42,23,25,19,8,8,4,0,232,
"8105015",0,5,27,13,12,8,36,67,145,75,0,380,
"8105003",0,0,0,0,0,0,0,0,0,0,0,0,
"8103404",94,68,39,92,83,34,28,7,3,0,0,441,
"8103406",57,64,36,51,74,70,33,18,8,4,0,417,
"8103411",95,106,43,105,111,67,23,11,7,0,0,567,
"8103405",99,76,41,83,92,49,13,11,3,0,0,476,
"8103409",56,51,32,54,47,27,13,9,4,0,0,299,
"8103408",83,89,68,71,105,67,33,15,3,0,0,529,
"8103412",81,130,32,47,116,57,22,12,3,0,0,494,
"8103410",83,104,37,79,106,54,36,7,5,0,0,513,
"8103407",40,54,31,32,64,42,13,0,0,0,0,278,
"8103414",32,59,15,23,51,31,9,7,0,0,0,219,
"8103401",53,49,53,49,68,39,28,25,8,0,0,371,
"8103403",70,69,48,67,90,57,39,16,0,0,0,452,
"8103402",34,31,37,34,38,13,17,10,0,0,0,212,
"8103413",68,54,51,76,70,51,38,17,6,0,0,434,
"8104014",39,51,69,39,57,38,26,3,4,0,0,325,
"8100104",49,58,51,54,57,75,44,44,10,3,0,440,
"8100102",62,57,37,35,68,51,37,30,6,0,0,387,
"8100101",33,37,23,27,42,38,23,23,13,6,0,252,
"8100106",56,41,52,41,64,69,55,43,21,3,0,436,
"8100105",85,72,33,58,75,86,67,57,26,0,0,559,
"8100103",43,40,57,44,39,33,23,28,9,3,0,321,
"8107108",91,71,78,100,78,57,36,22,4,3,0,549,
"8107112",82,105,70,60,114,110,27,16,7,4,0,598,
"8107110",121,82,123,125,91,83,33,15,4,0,0,687,
"8107106",73,54,55,68,48,36,20,14,5,0,0,364,
"8107113",50,33,38,44,42,33,17,7,0,0,0,261,
"8107114",42,52,45,49,46,46,19,12,4,0,0,305,
"8107107",56,44,70,69,43,47,20,14,6,0,0,364,
"8107102",85,88,38,65,119,72,17,10,0,0,0,490,
"8107104",28,46,27,40,45,40,22,10,5,0,0,262,
"8107109",82,67,53,63,76,39,28,9,0,0,0,418,
"8107105",60,53,52,70,68,50,42,27,3,0,0,436,
"8107111",33,34,28,36,48,31,16,6,6,0,0,238,
"8112902",17,25,49,37,35,44,46,20,13,0,0,282,
"8112903",27,10,131,149,77,76,68,27,4,0,0,574,
"8112901",38,19,100,167,84,60,80,24,6,0,0,587,
"8112602",0,0,0,0,0,0,0,0,0,0,0,0,
"8100203",52,17,273,200,62,42,16,23,7,0,0,693,
"8100211",81,37,188,165,69,36,35,6,6,0,0,625,
"8100210",29,11,119,81,40,25,28,23,9,3,0,368,
"8100217",17,15,158,108,31,31,17,13,3,0,0,383,
"8100205",0,0,0,0,0,0,0,0,0,0,0,0,
"8100201",56,38,202,104,60,46,23,25,5,0,0,549,
"8100209",36,22,98,79,40,33,23,0,0,0,0,332,
"8100214",44,27,441,257,60,61,47,22,6,0,0,963,
"8100202",35,22,70,86,32,24,23,18,8,5,0,319,
"8100204",0,0,0,6,0,0,0,0,0,0,0,6,
"8100212",23,14,19,34,25,14,42,92,129,61,4,456,
"8100216",0,0,0,0,0,0,0,0,0,0,0,0,
"8100213",0,0,11,3,0,0,0,0,0,0,0,25,
"8100208",40,16,102,86,61,30,31,9,0,0,0,379,
"8100319",23,13,42,42,12,34,46,29,19,0,0,258,
"8107208",54,101,90,57,83,79,45,22,8,3,0,540,
"8107202",27,26,46,42,40,49,38,54,22,0,0,349,
"8107207",60,47,70,45,54,67,46,10,4,3,0,407,
"8107206",55,40,82,98,64,73,43,22,4,0,0,480,
"8107204",62,46,63,59,57,73,61,27,6,0,0,464,
"8107211",20,27,23,26,30,49,22,11,4,0,0,219,
"8107210",39,54,54,37,59,58,24,13,3,0,0,342,
"8107203",54,58,45,50,59,65,33,11,0,0,0,369,
"8107209",0,0,0,0,0,0,0,0,0,0,0,0,
"8107205",103,80,97,109,116,62,35,8,0,0,0,612,
"8105104",16,17,251,202,53,28,11,10,0,0,0,586,
"8105105",14,22,306,185,72,51,16,7,3,0,0,692,
"8105112",10,3,66,72,32,21,6,10,3,0,0,232,
"8105115",26,17,24,22,39,21,49,26,26,3,0,258,
"8105117",11,7,130,66,23,22,6,5,0,0,0,271,
"8105101",4,0,4,4,6,11,3,0,0,0,0,36,
"8105109",40,31,283,150,50,45,30,8,9,6,0,653,
"8105110",13,3,148,116,39,18,14,3,0,0,0,350,
"8105116",12,14,172,92,21,25,15,5,4,0,0,367,
"8105111",23,22,224,152,50,35,17,17,3,0,0,543,
"8105102",19,34,124,82,48,78,56,42,10,4,0,492,
"8105114",0,222,256,4,3,0,0,0,0,0,0,489,
"8105118",5,8,109,91,26,13,4,0,0,0,0,259,
"8100314",0,45,61,26,8,12,4,6,3,0,0,171,
"8100310",41,20,77,56,39,27,12,4,0,0,0,271,
"8100316",13,14,5,4,15,22,25,74,80,44,0,294,
"8100315",32,40,59,47,44,44,68,40,13,0,0,386,
"8100306",30,25,140,61,38,33,37,15,8,0,0,394,
"8100312",41,56,105,69,53,72,38,21,6,0,0,461,
"8100317",17,6,269,111,22,11,5,0,0,0,0,450,
"8100313",23,17,297,202,46,24,8,0,0,0,0,625,
"8100307",3,21,94,27,16,19,13,11,0,0,0,216,
"8100304",83,69,361,200,74,48,22,10,0,0,0,866,
"8100308",0,216,703,27,7,6,4,0,0,0,0,963,
"8100309",31,7,116,73,32,23,3,0,0,0,0,285,
"8100301",17,20,175,96,22,23,19,7,0,0,0,372,
"8100311",24,37,80,49,26,43,28,13,0,0,0,292,
"8100318",27,44,31,14,39,50,66,14,9,0,0,294,
