Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"8107308",30,51,42,29,46,69,29,6,4,0,0,302,
"8107304",55,24,68,54,38,44,32,6,6,0,0,332,
"8108107",63,37,30,59,51,29,23,10,0,0,0,317,
"8107316",57,27,60,47,21,39,20,16,13,0,0,298,
"8107307",63,48,57,70,51,83,32,15,10,0,0,430,
"8107312",33,64,45,23,58,88,37,12,3,0,0,355,
"8107309",87,81,67,78,74,88,52,19,0,0,0,549,
"8107315",0,0,0,0,3,0,9,20,47,26,0,107,
"8107311",106,78,106,98,98,65,47,18,3,0,0,620,
"8107313",57,37,77,66,48,44,20,10,9,0,0,367,
"8107302",50,69,60,59,53,90,39,22,8,4,0,441,
"8107310",33,61,32,34,50,91,56,12,4,0,0,368,
"8107303",61,95,72,61,91,81,44,14,7,4,0,524,
"8107301",61,53,63,61,62,75,35,22,0,0,0,445,
"8112406",43,49,41,29,56,76,37,34,17,0,0,380,
"8112401",31,50,111,65,58,61,65,51,39,27,0,565,
"8112408",28,20,44,17,39,28,23,16,9,0,0,225,
"8112405",37,61,36,38,98,101,59,28,13,4,0,476,
"8112407",44,25,66,60,44,43,32,16,23,9,0,355,
"8112403",56,53,48,39,78,65,49,21,20,0,0,434,
"8112404",36,30,81,71,46,60,28,29,14,0,0,400,
"8112402",41,40,65,59,49,52,46,25,19,0,0,384,
"8109103",27,33,26,31,51,42,45,61,19,6,0,337,
"8109107",36,61,21,21,47,46,35,46,3,6,0,323,
"8109108",55,76,28,43,71,80,59,37,16,5,0,463,
"8109102",43,41,23,31,41,44,47,29,10,5,0,312,
"8109104",23,31,26,22,32,39,29,29,10,6,0,239,
"8109105",49,65,36,24,49,56,62,26,16,0,0,374,
"8109101",24,33,20,23,29,41,27,27,10,3,0,226,
"8109106",42,59,36,26,60,61,75,39,10,4,0,415,
"8100408",28,12,21,36,22,12,18,8,4,4,0,168,
"8100405",66,49,68,77,56,49,50,19,4,0,0,444,
"8100409",53,42,55,52,37,33,29,15,7,0,0,326,
"8100406",87,72,86,91,67,78,61,19,8,0,0,575,
"8100404",65,50,53,63,49,25,35,20,6,0,0,361,
"8100403",82,52,57,98,62,40,24,33,9,0,0,457,
"8100401",27,23,30,47,25,24,21,20,0,0,0,223,
"8100402",64,36,55,68,69,46,47,21,6,0,0,417,
"8109901",75,71,115,128,90,81,67,51,30,0,0,714,
"8109905",53,35,65,71,56,59,37,50,18,3,0,446,
"8109903",50,56,34,38,56,41,23,20,7,0,0,321,
"8109904",43,50,23,48,42,43,51,26,13,0,0,353,
"8109902",70,41,106,122,78,59,34,35,18,0,0,568,
"8107410",33,32,47,36,49,59,26,13,0,0,0,295,
"8107407",86,75,67,101,65,59,62,13,0,0,0,526,
"8107402",77,62,85,65,68,79,73,27,15,0,0,549,
"8107405",69,63,71,71,56,49,36,14,9,0,0,439,
"8107404",65,29,60,56,37,41,34,15,3,0,0,337,
"8107406",61,54,77,42,64,78,47,11,3,3,0,450,
"8107403",33,38,37,32,33,72,42,12,0,0,0,305,
"8107408",24,40,23,31,33,51,32,19,0,0,0,254,
"8107401",59,67,58,55,63,85,64,17,12,0,0,471,
"8107411",65,69,72,48,79,80,44,19,0,0,0,473,
"8107409",60,76,65,45,56,91,40,11,0,0,0,444,
"8107413",41,57,45,47,39,64,24,20,0,0,0,328,
"8107412",23,39,32,32,29,41,34,7,0,0,0,242,
"8105302",7,16,188,143,36,44,21,3,0,0,0,458,
"8105309",3,13,155,28,19,15,3,0,0,6,0,238,
"8105310",23,18,323,219,86,74,52,6,0,0,0,800,
"8107509",20,43,23,27,38,43,22,0,5,0,0,222,
"8107504",47,49,63,63,45,61,44,37,19,0,0,424,
"8107516",75,74,95,66,96,74,53,25,14,3,0,558,
"8107502",35,66,38,29,60,67,24,13,0,0,0,332,
"8107512",27,59,52,27,48,49,24,10,10,0,0,304,
"8107503",36,79,23,32,72,58,47,23,7,0,0,369,
"8107505",55,74,61,56,78,88,32,20,15,0,0,470,
"8107506",82,49,76,88,65,42,23,8,4,0,0,443,
"8107507",70,69,60,68,60,59,29,12,3,0,0,422,
"8107513",41,46,37,37,55,71,27,5,0,0,0,322,
"8107510",90,104,79,76,90,82,23,12,4,0,0,559,
"8107508",31,56,40,23,59,52,35,11,0,0,0,300,
"8107517",39,64,34,24,80,47,22,6,0,0,0,325,
"8100504",29,22,31,47,49,49,42,31,23,0,0,310,
"8100508",31,32,17,21,41,24,16,26,0,3,0,215,
"8100507",37,36,23,26,46,42,34,30,18,0,0,301,
"8100505",48,18,60,104,56,41,39,30,13,3,0,416,
"8100509",69,51,38,59,74,42,30,25,17,0,0,392,
"8100506",12,12,16,17,19,28,37,23,5,6,0,173,
"8100501",50,21,44,60,39,18,24,26,10,3,0,293,
"8100502",48,51,39,44,80,67,40,31,8,0,0,423,
"8100503",26,41,23,18,50,46,38,28,14,0,0,286,
"8110007",30,35,23,23,33,48,28,15,13,3,0,241,
"8110006",48,63,49,46,48,82,32,26,13,0,0,410,
"8110009",63,38,77,103,69,48,28,18,21,0,0,462,
"8110002",56,66,31,36,64,61,48,21,19,0,0,402,
"8110012",75,50,35,53,75,65,49,38,29,5,0,465,
"8110005",67,79,39,45,85,86,60,46,22,3,0,536,
"8110010",71,70,45,59,72,63,42,36,26,0,0,488,
"8110008",84,61,74,85,92,78,50,47,19,0,0,586,
"8110004",92,65,52,102,94,67,59,51,24,4,0,597,
"8110003",33,35,15,24,35,47,20,36,61,36,3,339,
"8110001",53,60,32,31,68,90,56,71,19,4,0,476,
"8110011",29,35,23,22,39,38,22,17,4,3,0,243,
"8106207",35,39,29,37,43,41,45,19,9,7,0,305,
"8106205",48,66,34,59,69,62,49,27,18,3,0,436,
"8106203",0,0,0,0,0,0,0,0,3,0,0,0,
"8106204",56,47,38,38,56,34,33,31,9,0,0,332,
"8106201",28,42,22,47,64,40,57,85,93,31,0,518,
"8106208",50,42,11,34,47,42,27,19,12,0,0,280,
"8106206",33,37,10,10,36,51,26,22,14,0,0,246,
"8106209",29,39,21,18,46,45,34,19,14,3,0,267,
"8106202",36,125,45,33,64,72,56,37,17,5,0,488,
"8105404",56,49,47,63,76,44,29,24,19,5,0,420,
"8105406",78,67,106,80,79,55,43,32,22,9,0,563,
"8105401",39,33,185,89,39,34,20,13,15,0,0,477,
"8105403",35,19,214,142,55,33,33,16,10,5,0,561,
"8105405",18,12,27,19,28,17,11,4,3,0,0,131,
"8105503",48,37,44,50,56,38,28,20,26,8,0,358,
"8105508",83,57,95,121,92,55,44,36,17,5,0,598,
"8105507",51,48,47,71,74,46,34,34,13,4,0,439,
"8105502",46,34,43,69,57,31,20,19,7,0,0,326,
"8105505",26,21,71,66,40,31,18,8,15,0,0,301,
"8105509",45,45,64,60,69,37,19,19,13,3,0,360,
"8105504",45,49,111,59,49,35,26,17,15,0,0,403,
"8105506",39,44,113,48,49,44,34,26,11,0,0,413,
"8105501",46,40,81,77,63,55,33,32,26,3,0,454,
"8109205",43,45,24,41,56,39,31,28,6,0,0,313,
"8109201",80,65,68,77,80,62,51,35,21,6,0,544,
"8109204",45,37,19,42,45,30,40,35,10,0,0,300,
"8109208",59,68,38,47,81,76,44,31,13,4,0,451,
"8109207",49,45,23,49,60,44,20,20,12,0,0,320,
"8109202",53,59,34,39,61,58,49,21,16,0,0,387,
"8109209",11,37,8,4,27,21,11,0,0,0,0,117,
"8109206",46,51,16,37,56,49,37,35,4,4,0,333,
"8109203",61,50,32,65,56,43,45,27,10,0,0,388,
"8100605",84,54,30,85,57,58,36,15,4,0,0,414,
"8100604",67,38,40,65,36,26,23,4,4,0,0,303,
"8100615",21,42,32,17,46,26,17,3,0,0,0,202,
"8100617",49,38,56,58,61,54,42,27,18,0,0,394,
"8100612",90,80,70,84,116,50,37,9,5,0,0,540,
"8100608",68,46,65,63,68,60,31,10,7,0,0,421,
"8100609",60,84,42,51,77,38,24,13,9,0,0,396,
"8100606",78,49,26,72,56,24,28,7,8,0,0,355,
"8100614",58,56,39,53,69,50,29,9,0,0,0,356,
"8100618",60,50,37,67,55,21,21,7,0,0,0,322,
"8100602",19,47,18,24,28,46,9,10,0,0,0,202,
"8100611",58,48,66,78,58,61,22,22,11,0,0,418,
"8100623",70,50,35,54,68,41,9,16,3,0,0,358,
"8100607",85,66,41,71,80,51,42,12,0,0,0,446,
"8100610",58,44,29,62,55,58,15,17,4,0,0,348,
"8100616",119,82,56,111,93,44,24,16,7,0,0,554,
"8100613",36,41,25,35,52,24,25,8,0,0,0,244,
"8112501",123,65,388,152,47,17,0,0,0,0,0,795,
"8112502",0,330,611,16,17,14,0,0,0,0,0,983,
"8100710",56,43,43,61,54,40,55,26,4,0,0,381,
"8100705",59,55,63,68,66,56,44,14,9,3,0,433,
"8100706",59,35,62,73,55,34,53,7,0,0,0,381,
"8100707",75,56,36,61,78,57,74,11,12,0,0,461,
"8100701",73,69,63,88,75,102,38,15,0,4,0,523,
"8100702",35,38,25,14,57,35,39,19,3,0,0,259,
"8100704",31,28,28,34,31,23,29,15,3,0,0,217,
"8100703",55,48,56,52,72,84,94,32,11,0,0,486,
"8100714",38,36,29,24,46,45,38,5,4,0,0,266,
"8100711",98,69,89,93,88,72,63,15,6,0,0,594,
"8100713",51,51,35,53,41,35,36,13,3,0,0,313,
"8100712",47,77,41,53,65,44,45,26,5,0,0,397,
"8100709",55,41,56,59,45,29,28,23,6,0,0,331,
"8100708",34,32,25,49,35,26,58,22,0,0,0,276,
"8107605",41,41,28,31,54,67,61,15,5,0,0,353,
"8107608",39,62,54,48,56,75,66,24,4,0,0,430,
"8107609",14,36,22,21,34,54,36,23,0,0,0,238,
"8107607",0,0,0,0,0,0,0,0,0,0,0,0,
"8107603",42,39,28,46,65,52,84,29,14,3,0,398,
"8107602",40,49,29,35,53,66,66,20,5,0,0,360,
"8107606",44,79,42,37,51,81,84,27,3,3,0,456,
"8107601",24,65,42,18,44,79,61,17,4,0,0,343,
"8107604",67,50,16,64,44,57,54,16,0,0,0,373,
"8110110",28,41,24,21,41,45,31,20,5,0,0,261,
"8110109",37,58,31,16,56,54,34,38,23,5,0,346,
"8110108",54,49,37,38,59,76,56,61,29,3,0,454,
"8110107",70,85,48,48,92,71,51,41,16,5,0,524,
"8110106",22,27,26,36,31,22,18,23,45,29,0,283,
"8110101",31,17,41,26,44,35,17,16,8,0,0,241,
"8110105",37,53,33,40,44,55,50,34,21,3,0,385,
"8110104",52,65,34,32,59,47,27,22,8,0,0,350,
"8110102",49,62,38,36,66,63,30,23,10,5,0,378,
"8109304",107,88,68,96,116,89,59,57,20,0,0,702,
"8109301",48,33,50,52,52,31,45,50,86,13,0,456,
"8109306",91,64,61,89,94,64,64,43,8,0,0,566,
"8109303",67,44,40,64,57,56,47,50,9,9,0,444,
"8109305",86,60,57,107,79,61,60,45,11,0,0,568,
"8109302",51,35,20,33,49,18,22,26,7,0,0,259,
"8100801",33,45,50,39,44,50,63,20,7,3,0,350,
"8100811",15,51,22,26,35,47,23,14,6,0,0,228,
"8100812",46,56,70,47,49,55,47,19,6,0,0,405,
"8100807",72,50,87,110,76,75,56,20,10,3,0,567,
"8100810",50,49,41,60,63,38,44,20,11,3,0,370,
"8100803",47,56,55,40,63,66,40,17,4,0,0,390,
"8100802",66,61,55,74,62,79,65,22,6,0,0,486,
"8100806",32,40,44,28,37,62,51,24,3,0,0,329,
"8100805",74,53,73,69,54,76,49,24,18,0,0,489,
"8100808",62,15,91,92,26,20,21,30,9,5,0,377,
"8100804",47,27,58,38,41,45,20,10,5,0,0,286,
"8100809",49,64,64,37,51,97,83,29,19,0,0,497,
"8100902",39,35,34,35,34,31,29,12,10,0,0,250,
"8100908",33,45,42,46,48,44,53,32,10,0,0,349,
"8100904",41,48,29,45,38,43,52,28,3,0,0,327,
"8100905",42,45,31,43,52,37,34,23,3,0,0,316,
"8100909",48,42,21,38,45,39,27,24,0,0,0,277,
"8100906",41,54,54,45,67,61,60,33,7,0,0,414,
"8100901",77,55,32,57,57,47,39,23,7,0,0,394,
"8100910",55,42,44,47,51,42,44,16,4,0,0,349,
"8100907",57,31,23,51,50,24,21,13,5,0,0,275,
"8100903",63,41,60,72,45,50,48,31,7,0,0,406,
"8106301",47,44,145,146,105,85,98,46,28,0,0,748,
"8106303",42,54,35,32,59,56,59,43,23,4,0,405,
"8106304",12,37,24,5,33,47,25,15,4,0,0,210,
"8106302",23,38,21,10,38,46,33,30,9,0,0,250,
"8101005",64,71,59,71,71,57,100,41,7,0,0,545,
"8101004",40,40,30,41,55,33,66,28,5,0,0,345,
"8101001",53,42,36,43,47,45,54,29,5,7,0,354,
"8101003",67,66,43,42,71,61,68,17,9,0,0,447,
"8101002",49,46,31,45,52,47,49,11,5,0,0,339,
"8113002",0,0,0,0,0,0,0,4,0,0,0,10,
"8113003",4,4,0,4,9,5,0,0,0,0,0,29,
"8113007",0,0,0,0,0,0,3,0,0,0,0,8,
"8113005",0,0,0,0,0,0,0,0,0,0,0,0,
"8113004",3,0,0,0,0,3,0,0,0,0,0,5,
"8110206",34,33,15,24,48,26,30,29,6,0,0,249,
"8110203",60,63,27,34,81,65,33,55,22,5,0,447,
"8110202",83,62,54,71,74,70,55,64,71,40,0,651,
"8110205",38,27,18,11,40,35,36,27,10,3,0,243,
"8110204",17,70,18,0,51,51,48,43,17,0,0,323,
"8110209",46,56,8,19,61,33,25,28,10,0,0,287,
"8110211",59,32,35,27,64,40,41,39,12,8,0,355,
"8110201",0,0,0,0,0,0,0,0,0,0,0,0,
"8110210",14,3,32,42,15,18,25,20,16,8,0,191,
"8110207",133,55,86,183,106,63,68,36,17,0,0,746,
"8107708",0,0,0,0,0,0,0,0,0,0,0,0,
"8107703",47,53,40,52,47,43,37,6,4,0,0,341,
"8107706",41,29,29,55,44,41,30,11,8,0,0,284,
"8107705",66,53,79,69,61,66,37,7,4,0,0,443,
"8107704",42,30,62,56,28,48,32,8,4,4,0,323,
"8107701",98,83,68,77,86,92,74,20,11,0,0,613,
"8107707",32,42,37,45,48,71,43,8,6,0,0,344,
"8107702",58,74,66,56,47,58,35,11,5,0,0,395,
"8101101",103,71,71,97,94,68,87,36,6,0,0,634,
"8101103",104,63,75,84,88,69,86,28,15,4,0,622,
"8101107",0,0,0,0,0,0,0,0,0,0,0,0,
"8101102",59,33,65,44,50,61,37,11,5,0,0,360,
"8101108",25,17,24,39,19,22,31,13,5,0,0,201,
"8101104",83,48,74,76,61,49,79,26,6,0,0,503,
"8101110",35,22,26,52,30,26,31,8,0,3,0,236,
"8101105",57,20,39,50,30,34,37,20,0,0,0,289,
"8101106",27,28,40,21,27,25,34,15,0,0,0,217,
"8101109",25,28,28,35,39,28,39,23,4,0,0,250,
"8107805",55,46,59,64,53,62,23,13,0,0,0,378,
"8107821",37,75,73,35,67,88,43,11,3,4,0,441,
"8107819",24,35,45,18,40,49,10,16,3,5,0,245,
"8107818",53,88,54,32,83,72,35,19,6,0,0,436,
"8107809",34,42,37,29,27,66,32,10,8,0,0,291,
"8107820",51,63,45,57,60,75,41,12,8,0,0,405,
"8107810",63,51,32,61,78,57,59,105,51,5,0,565,
"8107801",68,52,82,59,59,58,26,24,11,0,0,438,
"8107813",38,59,50,41,59,52,36,5,0,0,0,337,
"8107802",36,26,41,31,47,40,20,11,9,0,0,245,
"8107807",21,30,29,17,41,49,23,13,9,0,0,236,
"8107804",47,33,50,39,53,27,18,7,0,0,0,269,
"8107803",59,43,47,60,60,42,19,12,0,0,0,345,
"8107814",58,94,57,46,73,93,31,10,7,0,0,482,
"8107815",53,39,58,51,58,42,29,10,5,0,0,341,
"8107811",102,72,74,89,70,63,33,37,4,4,0,560,
"8107808",52,59,66,41,51,77,30,20,3,0,0,417,
"8107817",24,25,44,29,37,50,24,7,0,0,0,236,
"8107812",41,45,50,43,47,41,33,14,6,0,0,308,
"8107816",31,47,39,34,41,54,23,4,0,0,0,272,
"8107806",52,43,57,61,68,64,27,8,0,0,0,377,
"8107903",60,57,54,64,59,60,75,21,3,0,0,449,
"8107904",52,46,36,39,41,56,64,22,9,0,0,363,
"8107906",42,36,51,36,51,62,52,10,3,4,0,349,
"8107905",59,44,39,46,44,45,61,39,16,0,0,381,
"8107907",36,38,44,43,37,45,29,20,4,0,0,298,
"8107901",42,29,25,47,40,25,38,22,5,0,0,264,
"8107908",30,46,38,31,30,49,40,11,4,0,0,280,
"8107909",42,50,41,45,47,29,28,12,3,0,0,296,
"8107902",56,37,43,56,42,61,61,15,5,0,0,370,
"8108009",0,0,0,0,0,0,0,0,0,0,0,0,
"8108005",9,14,46,27,9,14,6,7,0,0,0,128,
"8108002",41,19,59,65,50,45,51,42,13,5,0,390,
"8108006",13,7,74,83,24,15,11,4,0,0,0,236,
"8108008",0,0,0,0,0,0,0,0,0,0,0,0,
"8108003",44,41,55,47,68,80,105,64,18,9,0,535,
"8108011",74,35,111,176,58,54,35,26,14,0,0,588,
"8108007",0,0,0,0,0,8,0,0,0,0,0,11,
"8106405",50,69,68,71,84,94,92,45,24,8,0,600,
"8106416",36,58,23,27,53,53,34,17,14,5,0,319,
"8106417",0,0,16,16,9,7,3,0,0,0,0,52,
"8106402",58,92,49,31,92,88,66,40,15,6,0,533,
"8106403",15,25,28,21,41,49,44,34,77,37,0,380,
"8106404",33,21,176,131,49,48,18,3,0,0,0,480,
"8106407",36,42,14,18,47,47,37,7,3,5,0,253,
"8106413",43,41,29,22,49,65,53,32,21,3,0,369,
"8106409",0,0,0,0,0,0,0,0,0,0,0,0,
"8106410",16,24,27,45,40,20,28,18,9,0,0,226,
"8106401",21,4,74,80,44,31,25,10,12,0,0,306,
"8106411",34,32,198,142,91,81,26,20,7,3,0,627,
"8106414",3,14,10,19,25,29,17,0,0,0,0,122,
"8106415",42,50,18,24,57,41,45,18,9,3,0,307,
"8104018",0,0,0,0,0,0,0,0,0,0,0,0,
"8104005",80,51,69,86,70,29,25,17,0,4,0,419,
"8104007",97,85,60,89,90,51,33,3,0,0,0,504,
"8104024",44,37,44,42,44,30,17,13,6,0,0,272,
"8104025",39,26,134,59,45,35,8,7,0,0,0,346,
"8104008",85,80,68,98,115,53,16,3,0,0,0,530,
"8104002",28,59,43,33,63,54,36,14,0,0,0,328,
"8104017",68,49,77,78,55,24,17,15,4,0,0,389,
"8104006",51,52,49,62,57,25,7,6,5,0,0,318,
"8104001",73,71,208,151,75,48,18,6,0,0,0,652,
"8104019",31,37,27,24,41,27,16,16,3,0,0,222,
"8104016",0,0,0,0,0,0,0,0,0,0,0,0,
"8104020",0,0,0,0,0,0,0,0,0,0,0,0,
"8104026",53,29,247,179,45,48,17,4,0,0,0,618,
"8104013",60,23,33,82,47,30,19,5,5,0,0,306,
"8104011",0,0,0,0,0,0,0,0,0,0,0,0,
"8104015",58,59,48,60,80,45,29,10,0,0,0,392,
"8104401",125,68,86,125,99,61,32,0,5,0,0,601,
"8104402",114,83,74,117,105,55,20,20,3,0,0,596,
"8104412",55,44,26,58,51,31,13,3,0,0,0,267,
"8104423",68,47,35,68,64,29,11,7,6,0,0,330,
"8111901",0,0,0,4,0,0,0,0,0,0,0,10,
"8103927",96,56,91,120,79,40,15,3,0,0,0,508,
"8103907",44,23,30,60,34,16,23,5,0,0,0,241,
"8103922",99,48,34,108,83,28,7,4,0,0,0,409,
"8103912",73,70,36,73,73,32,14,3,0,0,0,371,
"8103924",97,53,50,76,66,38,16,3,0,0,0,405,
"8103923",96,54,92,100,83,26,14,10,3,0,0,494,
"8103908",34,8,50,73,23,14,8,0,0,0,0,225,
"8103925",74,47,66,93,58,37,15,4,0,0,0,396,
"8103919",47,18,47,63,31,16,16,4,4,0,0,236,
"8103914",101,46,74,121,82,34,14,6,0,0,0,486,
"8103708",107,61,80,112,74,50,17,7,0,0,0,507,
"8104502",0,0,0,0,0,0,0,0,0,0,0,0,
"8103703",86,26,104,138,45,12,21,0,0,0,0,431,
"8103707",45,22,105,89,37,8,5,3,0,0,0,308,
"8103702",63,17,80,113,36,26,10,0,0,0,0,350,
"8103704",117,41,64,119,78,32,19,9,0,0,0,477,
"8103706",70,27,40,70,53,34,13,0,0,0,0,304,
"8105604",62,59,53,45,78,46,35,36,22,4,0,427,
"8105602",90,60,68,65,110,77,40,24,22,3,0,560,
"8105606",32,22,19,21,28,26,23,19,17,0,0,206,
"8105605",75,53,38,75,72,53,38,39,21,0,0,470,
"8105601",66,44,69,85,71,78,40,29,25,5,0,518,
"8105603",54,32,74,78,46,57,47,30,18,4,0,445,
