,electorate,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below
0,ginninderra,0.1077287905918792,0.04399167594250593,0.2375098807853006,0.10143735178822048,0.13333010695445965,0.3227346787333237,0.0003387697817354692,0.052928745422574974
1,yerrabi,0.1238640542102222,0.04181331092083837,0.24102186969235348,0.11722785452889986,0.12978235366216664,0.3003274325436431,0.00010505857015286022,0.04585806587172349
2,kurrajong,0.18118719569045894,0.058082116095169035,0.3058461963465589,0.07080700300424739,0.06899409509996893,0.2779446804102352,8.632894782278394e-05,0.03705238440553887
3,murrumbidgee,0.1330353499758893,0.054453058347861565,0.28046292518268484,0.10714418190585705,0.10204384435624467,0.2700767832634742,5.5640045995771356e-05,0.05272821692199266
4,brindabella,0.05716792419722758,0.03374276188805053,0.17697841726618704,0.12121424811370415,0.17369713984909632,0.37420600105281626,5.264081417792595e-05,0.06294086681874013
5,combined,0.12043719566833144,0.04632440279794114,0.24801511499482506,0.10339114911470308,0.12181602217236373,0.3096073296610935,0.00013197835554968986,0.05027680723519238
