,electorate,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
0,ginninderra,0.0003186291864334773,0.008532181547829781,0.0037527437513276214,0.012355731785031509,0.020817106846987184,0.03968703533243645,0.0349784040218084,0.04761736175033633,0.055335268710613894,0.07852439283438363,0.08213552361396304,0.07636479501522339,0.06744317779508603,0.14274587552219783,0.09888125752318912,0.07052325993060965,0.06556680591942222,0.027579126247964315,0.028853642993698223,0.0210295263046095,0.016604120937477873,0.00035403242937053034
1,yerrabi,0.0,0.006949524506217996,0.001991384215232057,0.0073152889539136795,0.01028204502966756,0.022189709826871493,0.02072665203608876,0.031537023490205644,0.04299764285133707,0.06465902625375924,0.07400633991709339,0.0740469804112818,0.06823538974233927,0.1581728033812891,0.11033894172153133,0.08823051288303665,0.08046817849305048,0.04023408924652524,0.04222547346175729,0.03251239535072747,0.022392912297813542,0.000487685930260912
2,kurrajong,0.00045662100456621003,0.013051750380517504,0.005593607305936073,0.02062404870624049,0.027777777777777776,0.040829528158295283,0.030441400304414,0.03493150684931507,0.04322678843226788,0.06350837138508371,0.06792237442922375,0.06875951293759514,0.05966514459665145,0.14535768645357686,0.07374429223744292,0.06183409436834094,0.08531202435312024,0.03276255707762557,0.04417808219178082,0.035578386605783864,0.0423896499238965,0.002054794520547945
3,murrumbidgee,0.0003595397890699904,0.004354426334292106,0.004274528603387664,0.008469159475870885,0.018536273569830616,0.03803131991051454,0.0311601150527325,0.04574145094279322,0.05125439437519974,0.07202780441035475,0.070629594119527,0.06403803131991051,0.059443911792905084,0.1359459891339086,0.08301374240971557,0.06755353147970598,0.07446468520294024,0.038910194950463405,0.04654042825183765,0.04138702460850112,0.04174656439757111,0.002117289868967721
4,brindabella,0.00027927388789148215,0.004189108318372232,0.0013963694394574107,0.008298424097346898,0.018471972870536604,0.03810093756233792,0.02988230600438859,0.04516257729902254,0.054139237981248756,0.07201276680630361,0.078196688609615,0.0670656293636545,0.06136046279672851,0.14741671653700378,0.10564532216237782,0.0810293237582286,0.06766407340913624,0.0357869539198085,0.035747057650109715,0.02752842609216038,0.020027927388789148,0.0005984440454817474
5,combined,0.0002863134435769061,0.007498316941243839,0.003435761322922873,0.01153765795603154,0.01933002654203004,0.035959420873023853,0.029614095907265398,0.04113627746094143,0.04950127293409374,0.07030929590107483,0.07470459417003923,0.07018548468223076,0.063283009231674,0.145803186591245,0.09418938473562435,0.07359029320044262,0.07454983014648414,0.03482964350107174,0.03927910917828042,0.03137840577579336,0.02848431853531328,0.0011143009695966076
