electorate,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Other Territories,Overseas,Not stated,Not applicable
ginninderra,5479.0,954.0,1090.0,265.0,321.0,108.0,152.0,59777.0,12.0,6161.0,5001.0,5906.0
yerrabi,6605.0,1313.0,1682.0,495.0,493.0,97.0,348.0,52316.0,9.0,6678.0,4026.0,7466.0
kurrajong,7758.0,2786.0,2380.0,794.0,757.0,276.0,290.0,40869.0,7.0,9475.0,7130.0,3398.0
murrumbidgee,4105.0,1022.0,1004.0,318.0,264.0,96.0,163.0,53596.0,16.0,4797.0,4513.0,4633.0
brindabella,3524.0,566.0,841.0,212.0,146.0,74.0,139.0,61803.0,0.0,2070.0,3991.0,5400.0
