,electorate,"Couple family: Both employed, worked full-time","Couple family: One employed full-time, other part-time","Couple family: One employed full-time, other away from work","Couple family: One employed full-time, other unemployed","Couple family: One employed full-time, other not in the labour force","Couple family: One employed full-time, other labour force status not stated","Couple family: Both employed, worked part-time","Couple family: One employed part-time, other away from work","Couple family: One employed part-time, other unemployed","Couple family: One employed part-time, other not in the labour force","Couple family: One employed part-time, other labour force status not stated","Couple family: Both employed, away from work","Couple family: One away from work, other unemployed","Couple family: One away from work, other not in the labour force","Couple family: One away from work, other labour force status not stated",Couple family: Both unemployed,"Couple family: One unemployed, other not in the labour force","Couple family: One unemployed, other labour force status not stated",Couple family: Both not in the labour force,"Couple family: One not in the labour force, other labour force status not stated",Couple family: Both labour force status not stated,"One parent family: Employed, worked full-time","One parent family: Employed, worked part-time","One parent family: Employed, away from work",One parent family: Unemployed,One parent family: Not in the labour force,One parent family: Labour force status not stated,Other family
0,ginninderra,0.2479284057010275,0.18163738813390787,0.030920024622377952,0.013779061508594157,0.09934182489701217,0.019745253089634925,0.03110942752971258,0.0034092523320232966,0.0035513045125242673,0.039253752545101564,0.005255930678535916,0.003267200151522326,0.00023675363416828448,0.004308916141862778,0.0003788058146692552,0.0010417159903404517,0.002178133434348217,0.00014205218050097068,0.14460911974998816,0.008617832283725556,0.00014205218050097068,0.06207680287892419,0.02940480136370093,0.0010890667171741086,0.002651640702684786,0.04933945736067049,0.0001894029073346276,0.014394620957431697
1,yerrabi,0.3087979094076655,0.20634920634920634,0.03595625241966705,0.022986837011227255,0.11256291134339914,0.02516453735965931,0.024825783972125436,0.0045005807200929155,0.001596980255516841,0.02705187766163376,0.006097560975609756,0.0047425474254742545,0.00014518002322880372,0.0035811072396438252,0.001064653503677894,0.00038714672861014324,0.0023228803716608595,0.00029036004645760743,0.08265582655826559,0.006629887727448703,0.0007259001161440186,0.06295973674022455,0.02100271002710027,0.0016453735965931088,0.0006291134339914828,0.02492257065427797,0.0,0.0104045683313976
2,kurrajong,0.29713061542456504,0.16573617242274735,0.026941054271617762,0.016813814593612048,0.09036613866528174,0.03525058426382758,0.03388730199948065,0.00402492858997663,0.004609192417553882,0.0396001038691249,0.010711503505582965,0.004284601402233186,0.0,0.0022721371072448714,0.00025967281225655674,0.0,0.0030511555440145416,0.0,0.11977408465333679,0.007920020773824981,0.0009088548428979486,0.05245390807582446,0.019540379122305895,0.0006491820306413919,0.0016878732796676188,0.045053232926512594,0.0,0.017073487405868604
3,murrumbidgee,0.24634301462794148,0.1848632605469578,0.029732881068475728,0.013673945304218784,0.08813864744541022,0.023690905236379053,0.03148187407250371,0.0044519821920712315,0.0011129955480178079,0.042770828916684336,0.0065189739241043035,0.004663981344074624,0.00015899936400254398,0.0044519821920712315,0.000741997032011872,0.0,0.0015899936400254398,0.0,0.16790332838668645,0.011182955268178927,0.00042399830400678397,0.05453678185287259,0.024273902904388384,0.0015899936400254398,0.0012719949120203519,0.04526181895272419,0.0,0.009168963324146703
4,brindabella,0.2647484792893695,0.18238872260307037,0.03229699719996138,0.01062083614946413,0.09761513951916578,0.020565800907598724,0.025007241479192817,0.004393164043641981,0.0022207202857970456,0.03630394901998648,0.004827652795210968,0.003813845708216665,0.0003379356956647678,0.0059380129381094915,0.0002896591677126581,0.0002413826397605484,0.0012551897267548517,0.00014482958385632905,0.12498793086801198,0.0059862894660616004,0.0004827652795210968,0.0802355894564063,0.03229699719996138,0.0033310804286955683,0.003813845708216665,0.04552476585883943,0.00014482958385632905,0.010186347397895144
5,combined,0.2720499333464229,0.18517293761431863,0.03142535316061962,0.015531833541733406,0.09818226911510917,0.024315638272587297,0.028976221723899184,0.004154222943297957,0.002542136427988302,0.036757639326643866,0.006458679949157271,0.0041335551674606535,0.00018600998253572943,0.004205892382891215,0.0005580299476071883,0.0003616860771528072,0.002035775919974372,0.0001240066550238196,0.1277681902262088,0.008019097024873668,0.0005166943959325817,0.06315038907088014,0.025659043702012007,0.0017154253944961712,0.0020461098078930237,0.04183157829470181,7.233721543056145e-05,0.012049313313147805
