,electorate,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over
0,ginninderra,0.13430547590904304,0.11101618547169591,0.16816272075087482,0.1619249359251934,0.13251489227240276,0.10749353400353436,0.0963053120647887,0.05906585368708088,0.024705372921226022,0.004458904350064952,4.681264409517011e-05
1,yerrabi,0.17040496151394813,0.1240623621120753,0.15692258665490022,0.19940432416531842,0.15051233024464383,0.09663185762612149,0.06519341079570524,0.02790851595822915,0.008408099230278963,0.0005515516987792322,0.0
2,kurrajong,0.08815633636004737,0.10723779444663771,0.2350046058691933,0.16569285432293723,0.12530596131069877,0.11255428345834978,0.08086590340834321,0.04682195025661271,0.029424924332148966,0.008882747729964469,5.263850506645611e-05
3,murrumbidgee,0.1293149728888173,0.1150212057765609,0.11204165995597788,0.139474955709454,0.14194448918236968,0.12378536532989746,0.10754549846996296,0.08102485639126,0.04046545337413432,0.009274171901003919,0.00010737102056155044
4,brindabella,0.1336229827983685,0.1321282902236972,0.13164694854710815,0.1330276391457452,0.13990575836647834,0.15045727459275962,0.10935322878929901,0.04776682795835128,0.018746991614521317,0.0032933904187672585,5.0667544904111675e-05
5,combined,0.13181530421535567,0.11793310616703533,0.160843323353822,0.1603868048496894,0.13808045318919793,0.11784482910822515,0.0916542868600859,0.05218435276521581,0.024031537609810357,0.005175557847956638,5.0444033605815186e-05
