Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA1 (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"8104903",0,0,0,0,0,0,0,0,0,0,0,0,
"8104901",10,166,9,242,89,121,5,49,3,0,1388,2083,
"8104902",0,0,0,0,0,0,0,0,0,0,0,0,
"8106601",0,0,0,0,0,0,0,0,0,0,0,0,
"8105013",54,104,13,19,35,11,0,6,6,0,280,539,
"8105008",22,35,10,17,20,0,3,3,4,0,130,252,
"8105016",23,37,0,8,3,3,0,7,0,0,96,179,
"8105018",19,37,5,14,19,5,0,6,0,0,106,204,
"8105006",33,68,5,22,31,5,3,7,6,0,213,391,
"8105007",25,62,12,22,19,11,0,3,3,0,115,269,
"8105001",38,87,8,19,35,10,4,12,0,3,242,466,
"8105002",47,74,3,13,16,11,0,0,6,0,154,326,
"8105014",38,48,8,14,27,11,0,9,7,0,131,286,
"8105011",68,115,22,28,38,16,0,8,7,0,264,555,
"8105005",63,99,21,23,26,9,3,8,5,4,253,505,
"8105012",43,75,10,13,23,14,0,5,3,0,177,360,
"8105004",21,48,11,6,18,4,0,8,0,0,128,243,
"8105017",28,50,5,10,16,7,0,4,0,0,112,232,
"8105015",10,21,8,0,9,0,0,0,3,0,329,380,
"8105003",0,0,0,0,0,0,0,0,0,0,0,0,
"8103404",35,68,24,25,34,12,8,7,7,0,217,441,
"8103406",31,60,20,21,39,11,9,7,0,0,213,417,
"8103411",60,85,24,30,57,21,4,13,7,0,264,567,
"8103405",49,69,20,37,45,20,9,11,5,3,214,476,
"8103409",21,36,18,22,24,8,3,6,3,0,151,299,
"8103408",55,61,32,27,55,22,5,18,8,0,241,529,
"8103412",50,55,23,28,56,17,10,16,6,0,234,494,
"8103410",46,58,27,38,56,27,5,13,4,0,243,513,
"8103407",25,40,13,17,33,14,3,14,4,0,131,278,
"8103414",22,22,15,13,21,15,3,7,0,0,101,219,
"8103401",29,47,17,25,32,16,10,7,8,0,187,371,
"8103403",42,58,27,25,58,14,3,13,6,0,204,452,
"8103402",11,27,15,17,25,7,3,5,0,0,94,212,
"8103413",30,73,18,23,41,21,7,11,11,0,192,434,
"8104014",29,51,17,18,29,13,3,6,7,0,153,325,
"8100104",41,91,23,22,24,8,0,6,6,0,218,440,
"8100102",42,69,9,14,26,14,0,3,0,0,213,387,
"8100101",31,39,5,8,16,9,0,6,4,0,135,252,
"8100106",52,90,17,15,35,5,0,6,4,0,210,436,
"8100105",48,107,18,22,32,15,0,5,0,0,306,559,
"8100103",19,62,8,18,20,7,0,15,3,0,163,321,
"8107108",29,56,41,27,54,24,9,27,18,0,252,549,
"8107112",60,84,37,18,76,34,16,21,7,3,248,598,
"8107110",40,64,65,45,75,35,21,16,20,3,304,687,
"8107106",28,31,24,23,35,24,11,8,4,0,177,364,
"8107113",21,24,17,20,20,10,8,13,6,0,129,261,
"8107114",14,28,36,18,45,19,12,5,4,5,131,305,
"8107107",17,39,33,16,48,20,13,12,0,4,163,364,
"8107102",60,63,37,33,56,20,3,7,3,0,207,490,
"8107104",27,27,21,16,35,14,6,7,6,0,104,262,
"8107109",25,39,30,17,41,21,10,14,8,0,203,418,
"8107105",41,41,20,30,50,15,14,12,8,0,201,436,
"8107111",14,26,11,14,35,9,9,8,6,0,102,238,
"8112902",35,81,3,11,30,3,5,0,0,0,106,282,
"8112903",84,176,14,26,55,16,0,4,15,3,170,574,
"8112901",101,183,10,30,43,5,0,3,11,0,198,587,
"8112602",0,0,0,0,0,0,0,0,0,0,0,0,
"8100203",57,181,36,64,87,25,6,8,6,0,215,693,
"8100211",31,101,27,37,52,28,7,16,6,0,314,625,
"8100210",41,50,17,35,34,13,6,10,5,0,162,368,
"8100217",20,83,22,34,39,22,0,11,0,0,141,383,
"8100205",0,0,0,0,0,0,0,0,0,0,0,0,
"8100201",8,71,16,33,34,23,5,36,3,3,306,549,
"8100209",13,20,10,19,14,7,7,27,7,0,208,332,
"8100214",75,216,40,67,101,55,13,20,9,7,348,963,
"8100202",12,46,9,26,19,20,4,22,5,0,147,319,
"8100204",0,0,0,0,0,0,0,0,0,0,5,6,
"8100212",24,37,3,8,14,5,0,3,0,0,367,456,
"8100216",0,0,0,0,0,0,0,0,0,0,0,0,
"8100213",3,8,0,3,0,0,0,0,0,0,9,25,
"8100208",20,96,11,22,40,12,3,14,5,0,149,379,
"8100319",14,54,7,13,23,7,0,3,5,0,135,258,
"8107208",27,59,42,31,58,30,18,20,3,0,253,540,
"8107202",20,35,21,15,39,4,9,7,10,0,180,349,
"8107207",27,53,28,32,55,22,8,13,0,0,166,407,
"8107206",39,63,26,34,52,18,6,17,5,4,219,480,
"8107204",26,66,30,25,57,18,4,19,12,0,200,464,
"8107211",29,23,17,6,31,5,3,0,4,3,87,219,
"8107210",32,44,28,23,57,16,5,14,10,0,131,342,
"8107203",26,43,20,30,44,16,6,17,9,5,161,369,
"8107209",0,0,0,0,0,0,0,0,0,0,0,0,
"8107205",67,126,24,24,62,26,6,16,4,0,251,612,
"8105104",84,184,23,49,55,25,0,10,12,0,155,586,
"8105105",54,210,27,34,58,15,4,15,13,4,254,692,
"8105112",31,57,7,5,18,9,4,9,4,0,84,232,
"8105115",20,27,9,10,8,5,0,9,11,0,160,258,
"8105117",40,96,12,13,22,13,4,0,7,0,72,271,
"8105101",0,0,0,0,0,0,0,0,0,0,33,36,
"8105109",65,201,33,38,60,17,6,22,5,0,214,653,
"8105110",15,86,12,16,18,15,0,33,0,0,140,350,
"8105116",36,95,11,15,39,11,0,10,6,0,133,367,
"8105111",62,166,30,38,54,14,0,8,6,0,168,543,
"8105102",53,134,11,20,43,8,0,10,4,0,209,492,
"8105114",4,26,0,64,19,38,0,17,0,0,322,489,
"8105118",38,107,10,13,23,5,0,0,5,0,55,259,
"8100314",0,3,6,11,4,0,0,6,0,0,144,171,
"8100310",20,70,6,21,19,14,5,10,0,0,107,271,
"8100316",13,22,0,0,6,0,0,0,0,0,247,294,
"8100315",27,69,15,17,28,5,0,8,12,0,215,386,
"8100306",31,64,17,35,32,20,5,14,8,0,172,394,
"8100312",51,103,17,21,44,17,0,8,6,0,203,461,
"8100317",31,109,19,40,36,24,9,25,3,6,151,450,
"8100313",50,181,42,73,77,34,7,26,0,0,145,625,
"8100307",23,33,12,18,17,12,0,5,0,3,87,216,
"8100304",95,196,56,66,80,42,8,16,8,3,298,866,
"8100308",5,23,4,128,30,124,11,39,0,0,606,963,
"8100309",19,68,12,31,28,12,0,0,5,0,96,285,
"8100301",30,91,17,44,40,11,6,14,0,0,115,372,
"8100311",26,63,9,20,27,12,4,0,0,0,127,292,
