Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA1 (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"8100318",37,53,0,11,16,9,0,5,0,0,166,294,
"8107308",34,43,29,22,36,16,4,11,6,0,108,302,
"8107304",13,38,20,20,43,12,10,16,3,0,158,332,
"8108107",22,33,20,17,36,17,6,11,6,0,155,317,
"8107316",12,33,27,20,34,13,4,15,0,0,134,298,
"8107307",28,44,28,38,67,22,8,4,12,0,179,430,
"8107312",38,54,21,28,37,15,8,8,5,3,144,355,
"8107309",47,63,33,42,50,22,16,18,9,0,250,549,
"8107315",0,0,0,0,0,0,0,0,0,0,107,107,
"8107311",38,59,56,33,71,22,16,22,5,5,276,620,
"8107313",20,29,34,28,37,16,15,13,4,0,168,367,
"8107302",29,64,41,25,48,12,14,11,6,0,195,441,
"8107310",31,46,28,17,50,20,12,9,5,0,143,368,
"8107303",46,68,41,43,43,18,12,14,10,0,240,524,
"8107301",47,57,27,30,65,18,14,8,10,0,172,445,
"8112406",55,71,5,25,31,8,0,3,3,0,179,380,
"8112401",44,106,8,21,39,20,0,11,0,0,311,565,
"8112408",29,56,7,14,12,4,0,0,4,0,108,225,
"8112405",52,59,5,9,21,11,5,0,3,0,302,476,
"8112407",55,71,8,9,25,14,0,0,5,0,162,355,
"8112403",58,84,8,18,24,10,0,0,7,0,222,434,
"8112404",42,87,15,18,32,8,0,13,3,0,172,400,
"8112402",56,81,3,13,26,12,0,5,8,0,182,384,
"8109103",29,52,11,13,35,8,3,3,0,0,180,337,
"8109107",35,50,12,17,21,8,3,11,0,0,161,323,
"8109108",44,93,21,9,37,17,0,4,0,0,235,463,
"8109102",29,58,7,16,24,7,0,4,5,0,166,312,
"8109104",19,45,6,18,25,3,4,3,0,0,113,239,
"8109105",29,64,8,12,24,9,0,3,4,0,216,374,
"8109101",23,42,4,8,25,8,0,0,4,0,104,226,
"8109106",34,89,14,24,28,9,3,6,3,0,213,415,
"8100408",3,23,10,10,18,6,0,8,0,0,78,168,
"8100405",13,43,37,26,40,18,13,17,3,3,225,444,
"8100409",11,14,16,23,10,14,8,11,5,0,209,326,
"8100406",23,35,47,31,46,36,9,37,4,0,308,575,
"8100404",8,27,17,25,33,13,0,20,3,0,208,361,
"8100403",21,46,28,34,46,9,6,17,6,0,242,457,
"8100401",9,20,25,17,24,9,5,4,0,4,106,223,
"8100402",28,58,38,15,49,16,9,26,0,0,174,417,
"8109901",56,119,36,48,56,28,9,24,11,0,336,714,
"8109905",36,80,21,19,31,11,6,10,5,0,219,446,
"8109903",36,49,10,16,21,11,7,5,0,0,161,321,
"8109904",41,46,7,15,25,7,6,13,8,0,187,353,
"8109902",34,96,32,36,61,14,12,8,5,0,259,568,
"8107410",29,22,28,25,43,17,3,8,8,0,98,295,
"8107407",39,55,42,33,60,14,19,20,9,0,234,526,
"8107402",44,66,35,32,52,24,11,11,3,0,267,549,
"8107405",23,35,32,29,31,19,13,19,7,8,220,439,
"8107404",11,40,21,20,25,12,11,14,0,0,183,337,
"8107406",28,38,45,28,42,20,10,20,10,3,210,450,
"8107403",24,26,29,27,41,11,6,7,6,0,131,305,
"8107408",11,30,20,20,26,8,7,14,4,4,119,254,
"8107401",35,49,30,27,55,23,16,10,4,0,221,471,
"8107411",30,45,46,27,57,22,14,22,3,5,196,473,
"8107409",35,52,33,37,52,28,13,10,5,0,184,444,
"8107413",34,40,31,11,36,12,5,11,4,0,149,328,
"8107412",15,20,8,17,29,4,3,14,0,0,115,242,
"8105302",67,165,12,12,40,11,0,4,7,0,135,458,
"8105309",15,38,0,20,14,6,0,8,0,0,138,238,
"8105310",103,231,35,29,58,24,4,17,9,0,275,800,
"8107509",12,30,8,13,38,15,7,7,0,0,79,222,
"8107504",29,25,31,29,47,20,7,22,5,5,210,424,
"8107516",41,63,33,46,58,23,10,17,9,9,259,558,
"8107502",22,47,17,20,45,14,6,8,6,0,139,332,
"8107512",22,32,28,22,35,12,0,7,3,8,133,304,
"8107503",40,43,20,18,34,14,0,3,4,0,190,369,
"8107505",40,53,36,28,49,25,9,17,9,0,205,470,
"8107506",21,47,49,25,46,23,12,16,0,0,199,443,
"8107507",24,34,44,30,52,20,7,15,9,0,193,422,
"8107513",20,42,29,25,29,15,0,5,3,3,139,322,
"8107510",38,60,34,32,56,26,14,20,4,0,273,559,
"8107508",34,32,26,14,25,14,11,7,5,5,130,300,
"8107517",35,29,21,21,60,13,4,8,3,0,123,325,
"8100504",32,62,14,10,17,6,0,4,7,0,148,310,
"8100508",16,54,3,7,9,7,0,0,0,3,116,215,
"8100507",27,69,9,4,14,6,0,4,3,0,156,301,
"8100505",30,102,14,26,35,7,3,13,0,0,181,416,
"8100509",36,66,16,10,25,14,3,9,6,0,206,392,
"8100506",14,40,4,3,6,4,0,0,3,0,87,173,
"8100501",17,50,15,12,15,7,0,6,5,0,169,293,
"8100502",35,91,16,17,29,12,0,8,12,0,202,423,
"8100503",20,58,15,13,17,16,3,0,0,0,148,286,
"8110007",32,47,5,9,28,9,6,12,0,0,104,241,
"8110006",38,77,14,17,24,11,4,6,5,3,216,410,
"8110009",25,95,16,33,35,16,10,21,0,0,206,462,
"8110002",43,73,10,16,28,16,3,10,0,0,198,402,
"8110012",44,76,16,13,24,6,0,5,5,0,271,465,
"8110005",51,92,19,12,35,14,3,4,9,6,289,536,
"8110010",44,110,12,13,25,14,0,0,9,0,245,488,
"8110008",47,114,18,24,44,20,7,16,0,5,282,586,
"8110004",58,114,20,27,43,16,5,11,6,0,290,597,
"8110003",28,45,9,8,21,5,0,0,0,0,220,339,
"8110001",34,94,11,18,32,17,0,6,8,0,256,476,
"8110011",25,45,10,12,18,8,0,4,0,0,120,243,
"8106207",49,54,5,19,21,8,0,3,3,0,144,305,
"8106205",52,92,12,14,31,6,3,6,4,0,217,436,
"8106203",0,0,0,0,0,0,0,0,0,0,3,0,
"8106204",32,70,10,10,24,7,0,0,0,0,174,332,
"8106201",47,57,3,18,28,9,0,3,5,0,353,518,
"8106208",30,61,0,13,19,9,4,3,6,0,139,280,
"8106206",21,56,6,9,14,3,0,3,0,0,128,246,
"8106209",27,59,9,11,15,6,3,0,9,4,127,267,
"8106202",41,105,8,22,27,11,0,4,3,0,262,488,
"8105404",41,90,14,16,19,10,0,8,4,0,222,420,
"8105406",38,111,10,20,35,21,9,25,0,8,287,563,
"8105401",45,103,20,29,37,21,3,11,0,0,204,477,
"8105403",34,138,26,37,71,13,5,14,3,0,218,561,
"8105405",12,28,5,8,7,3,0,3,0,0,58,131,
"8105503",23,59,11,16,22,9,3,16,8,0,196,358,
"8105508",52,86,35,36,34,15,5,38,9,0,286,598,
"8105507",34,73,26,21,27,3,3,13,3,0,229,439,
"8105502",29,66,16,15,34,3,5,10,5,0,159,326,
"8105505",16,45,19,15,21,4,4,25,5,5,145,301,
"8105509",35,53,19,23,26,11,7,12,8,0,177,360,
"8105504",27,62,20,29,22,4,3,16,10,0,205,403,
"8105506",29,70,18,28,25,15,5,13,0,0,208,413,
"8105501",35,71,17,35,37,14,0,18,6,0,231,454,
"8109205",24,41,15,11,32,14,0,8,0,0,166,313,
"8109201",35,71,35,28,40,9,8,16,7,3,286,544,
"8109204",23,49,18,19,29,8,0,6,0,0,160,300,
"8109208",47,64,17,30,26,12,0,8,5,0,244,451,
"8109207",34,60,10,17,24,11,0,0,5,0,152,320,
"8109202",42,59,9,23,38,7,5,10,5,6,190,387,
"8109209",9,14,0,7,12,10,0,5,0,0,60,117,
"8109206",38,46,13,13,21,4,3,3,0,0,186,333,
"8109203",33,59,20,17,39,9,0,13,3,0,191,388,
"8100605",38,49,17,24,51,4,8,10,7,3,211,414,
"8100604",18,29,27,22,32,13,0,10,5,0,153,303,
"8100615",11,12,14,11,28,6,8,6,0,0,94,202,
"8100617",29,54,24,24,50,13,9,10,7,0,175,394,
"8100612",38,71,34,30,67,24,6,22,11,0,237,540,
"8100608",24,51,29,19,46,24,11,25,7,0,185,421,
"8100609",24,46,28,23,43,21,9,7,4,0,184,396,
"8100606",28,50,13,14,35,6,6,4,7,0,176,355,
"8100614",27,63,26,20,45,8,5,9,0,0,152,356,
"8100618",18,42,28,18,29,19,6,10,0,0,156,322,
"8100602",16,27,19,5,35,4,5,5,4,0,82,202,
"8100611",21,52,25,27,51,21,17,16,3,0,192,418,
"8100623",28,36,16,21,36,17,7,12,7,0,178,358,
"8100607",31,72,26,22,39,19,10,13,3,0,203,446,
"8100610",25,36,24,27,43,16,8,8,5,0,149,348,
"8100616",45,50,39,27,64,30,11,29,8,6,257,554,
"8100613",18,40,24,19,19,10,7,5,4,0,106,244,
"8112501",264,95,10,125,45,5,0,8,25,0,215,795,
"8112502",659,93,4,64,12,0,0,0,7,0,141,983,
"8100710",24,51,23,19,32,8,9,8,8,4,204,381,
"8100705",48,59,28,31,51,13,4,7,4,0,173,433,
"8100706",32,50,21,21,37,14,8,9,9,0,185,381,
"8100707",36,58,20,32,48,10,4,10,0,0,223,461,
"8100701",42,68,33,34,41,22,13,15,3,0,242,523,
"8100702",19,47,0,14,23,6,3,6,0,0,144,259,
"8100704",14,26,16,9,19,12,0,5,4,0,114,217,
"8100703",40,68,15,22,42,25,5,12,9,0,248,486,
"8100714",19,35,10,16,29,8,9,8,8,0,123,266,
"8100711",31,54,59,28,63,20,14,21,5,4,292,594,
"8100713",19,34,16,18,28,13,8,13,3,3,165,313,
"8100712",36,45,31,15,34,14,5,10,0,0,203,397,
"8100709",21,42,26,21,30,11,0,8,3,4,165,331,
"8100708",12,42,17,13,19,9,3,11,0,0,136,276,
"8107605",41,55,20,23,52,10,0,11,3,0,146,353,
"8107608",51,77,15,29,32,17,3,9,0,0,184,430,
"8107609",39,49,7,9,27,11,0,7,0,0,98,238,
"8107607",0,0,0,0,0,0,0,0,0,0,0,0,
"8107603",35,55,21,24,47,12,0,4,7,0,189,398,
"8107602",40,62,15,26,39,13,4,3,5,0,156,360,
"8107606",49,69,22,20,50,19,7,8,0,0,214,456,
"8107601",45,61,8,28,27,4,5,5,0,0,162,343,
"8107604",41,71,16,14,36,10,3,5,3,3,166,373,
"8110110",25,55,9,13,22,9,0,4,0,0,120,261,
"8110109",49,55,7,14,25,16,0,7,8,0,169,346,
"8110108",44,85,16,18,31,14,0,8,4,0,224,454,
"8110107",38,74,21,35,44,26,5,16,0,0,266,524,
"8110106",14,22,12,16,24,14,9,3,0,0,169,283,
"8110101",20,45,14,17,22,4,0,4,0,0,111,241,
"8110105",34,70,5,15,33,12,3,4,4,0,207,385,
"8110104",30,62,13,24,22,6,3,5,0,0,181,350,
"8110102",45,76,18,19,35,10,0,10,3,0,167,378,
"8109304",59,129,38,46,48,21,8,15,3,0,335,702,
"8109301",28,45,22,16,17,18,11,5,3,0,286,456,
"8109306",37,88,28,27,57,13,6,9,8,0,293,566,
"8109303",33,82,16,23,32,13,9,7,0,0,238,444,
"8109305",54,81,35,29,47,19,8,12,5,0,276,568,
"8109302",21,28,7,16,20,9,3,5,4,0,144,259,
"8100801",25,42,12,23,24,5,0,9,6,0,195,350,
"8100811",11,23,21,21,24,9,0,7,0,0,108,228,
"8100812",20,48,15,28,32,19,8,9,4,0,221,405,
"8100807",52,81,29,40,46,18,12,14,7,0,260,567,
"8100810",16,44,31,13,36,16,5,5,0,0,201,370,
"8100803",22,46,19,20,35,16,10,16,8,0,201,390,
"8100802",31,65,24,27,38,18,8,8,3,0,256,486,
"8100806",20,55,23,12,38,12,9,3,0,0,148,329,
"8100805",35,61,19,37,46,14,0,16,5,0,246,489,
"8100808",16,55,15,33,34,24,6,11,4,0,190,377,
"8100804",18,25,26,15,17,16,5,9,0,0,150,286,
"8100809",40,64,30,29,44,21,12,12,0,3,243,497,
"8100902",19,27,26,14,26,3,5,4,3,0,126,250,
"8100908",28,34,30,17,32,11,5,7,5,0,161,349,
"8100904",34,43,7,13,30,12,0,3,4,0,169,327,
"8100905",28,56,23,15,31,8,0,4,5,0,143,316,
"8100909",16,28,20,11,32,13,0,10,5,4,145,277,
"8100906",29,58,29,17,47,13,5,12,4,0,191,414,
"8100901",22,31,29,21,47,20,11,7,5,0,201,394,
"8100910",18,45,23,20,32,13,4,10,0,3,177,349,
"8100907",16,40,12,8,27,12,0,8,0,0,147,275,
"8100903",28,46,21,23,42,14,3,10,5,0,215,406,
"8106301",110,195,5,21,70,20,0,4,11,0,301,748,
"8106303",64,68,10,11,30,16,0,0,9,0,205,405,
"8106304",32,43,0,11,19,9,0,0,3,0,91,210,
"8106302",36,55,5,10,14,10,0,0,5,0,118,250,
"8101005",44,68,26,31,58,24,9,13,6,0,274,545,
"8101004",30,50,19,13,33,6,4,6,0,0,184,345,
"8101001",20,42,19,16,23,13,9,8,0,0,194,354,
"8101003",30,63,33,22,40,11,9,12,9,0,227,447,
"8101002",28,39,20,20,37,15,15,16,5,0,154,339,
"8113002",0,0,0,0,0,0,0,0,0,0,3,10,
"8113003",0,0,0,0,0,0,0,0,0,0,29,29,
"8113007",7,3,0,0,0,0,0,0,0,0,3,8,
"8113005",0,0,0,0,0,0,0,0,0,0,0,0,
"8113004",0,0,0,0,0,0,0,0,0,0,4,5,
"8110206",24,51,7,14,5,8,0,0,0,0,137,249,
"8110203",31,77,9,18,29,7,5,8,6,3,265,447,
"8110202",41,100,14,30,26,14,3,9,3,0,415,651,
"8110205",28,44,7,14,19,7,0,0,0,0,132,243,
"8110204",30,62,3,12,18,14,0,4,3,0,173,323,
"8110209",28,44,4,6,22,12,5,3,4,0,159,287,
"8110211",27,68,9,22,24,5,0,6,5,0,197,355,
"8110201",0,0,0,0,0,0,0,0,0,0,0,0,
"8110210",0,13,8,3,5,4,0,0,0,0,159,191,
"8110207",51,230,8,24,51,19,3,5,12,4,350,746,
"8107708",0,0,0,0,0,0,0,0,0,0,0,0,
"8107703",27,35,30,24,36,17,5,23,5,0,143,341,
"8107706",28,37,28,6,34,14,8,10,0,0,117,284,
"8107705",34,54,39,25,54,8,10,16,4,0,187,443,
"8107704",18,41,22,17,43,14,7,14,0,0,143,323,
"8107701",30,52,40,24,71,19,17,19,3,3,328,613,
"8107707",28,40,27,13,42,16,7,7,3,0,154,344,
"8107702",13,41,33,19,44,10,12,16,4,0,211,395,
"8101101",59,97,52,28,49,23,3,9,0,0,313,634,
"8101103",48,82,31,36,72,23,3,10,0,6,304,622,
"8101107",0,0,0,0,0,0,0,0,0,0,0,0,
"8101102",32,50,31,17,39,11,0,13,0,0,168,360,
"8101108",19,27,11,8,20,3,0,9,0,0,103,201,
"8101104",38,52,38,30,47,11,5,18,7,0,249,503,
"8101110",10,36,18,9,19,15,3,10,4,0,115,236,
"8101105",20,38,22,18,18,14,3,7,6,0,161,289,
"8101106",13,25,17,18,20,10,3,4,0,0,99,217,
"8101109",31,40,10,13,14,9,5,7,0,0,126,250,
"8107805",24,49,28,24,41,19,13,16,0,0,167,378,
"8107821",36,45,40,31,57,31,8,14,6,3,172,441,
"8107819",22,33,15,12,35,12,6,6,0,0,101,245,
"8107818",34,51,25,21,58,31,10,13,3,7,180,436,
"8107809",26,18,14,27,37,17,11,10,4,0,133,291,
"8107820",34,45,26,29,49,24,5,19,4,0,161,405,
"8107810",40,49,18,20,45,15,8,11,7,0,347,565,
"8107801",27,44,26,30,47,19,16,17,9,3,203,438,
"8107813",35,41,28,20,39,12,5,11,3,0,129,337,
"8107802",18,16,20,18,53,7,3,3,6,0,98,245,
"8107807",22,24,16,16,20,17,4,6,6,0,105,236,
"8107804",15,29,12,13,27,7,7,22,5,0,126,269,
"8107803",16,40,27,21,48,20,12,13,3,5,160,345,
"8107814",44,59,29,29,75,25,8,15,4,3,195,482,
"8107815",33,35,37,15,41,10,7,3,3,4,154,341,
"8107811",29,65,33,33,63,27,11,15,8,4,286,560,
"8107808",33,51,28,25,45,28,10,14,11,0,173,417,
"8107817",22,26,23,22,30,9,9,10,4,0,91,236,
"8107812",19,40,23,23,50,8,4,5,0,0,137,308,
"8107816",22,24,20,28,34,18,5,14,3,0,112,272,
"8107806",20,47,30,28,55,22,8,12,3,0,152,377,
"8107903",35,55,31,24,38,18,5,7,3,0,223,449,
"8107904",46,64,8,21,32,7,4,5,5,0,177,363,
"8107906",35,44,28,12,34,13,6,15,3,0,149,349,
"8107905",22,34,25,23,35,11,4,10,0,0,218,381,
"8107907",33,36,14,10,36,3,6,8,3,0,137,298,
"8107901",28,39,10,12,25,8,5,7,0,0,126,264,
"8107908",21,32,13,25,36,9,6,9,0,0,131,280,
"8107909",6,20,30,11,34,9,5,5,5,0,171,296,
"8107902",24,49,23,19,52,15,3,7,3,3,173,370,
"8108009",0,0,0,0,0,0,0,0,0,0,0,0,
"8108005",8,29,7,21,12,5,0,6,0,0,29,128,
"8108002",25,57,18,24,41,13,4,9,3,0,203,390,
"8108006",19,78,12,9,25,11,0,0,3,0,84,236,
"8108008",0,0,0,0,0,0,0,0,0,0,0,0,
"8108003",43,63,35,16,48,16,7,15,0,3,288,535,
"8108011",40,131,26,31,66,18,9,9,4,0,246,588,
"8108007",0,0,0,0,0,0,0,0,0,0,5,11,
"8106405",78,123,15,21,35,24,7,5,9,4,297,600,
"8106416",35,54,11,12,12,4,0,6,6,0,175,319,
"8106417",4,18,0,0,9,0,0,0,0,0,9,52,
"8106402",67,113,3,20,33,23,4,7,3,0,260,533,
"8106403",29,62,7,6,19,11,0,3,0,0,242,380,
"8106404",52,122,26,31,63,18,5,5,8,0,151,480,
"8106407",39,46,0,3,14,10,4,0,5,0,135,253,
"8106413",45,62,7,13,27,11,0,0,3,0,195,369,
"8106409",0,0,0,0,0,0,0,0,0,0,0,0,
"8106410",35,48,4,14,12,4,0,7,3,0,105,226,
"8106401",33,95,12,9,23,10,0,5,4,0,106,306,
"8106411",69,198,24,26,76,14,4,15,7,0,200,627,
"8106414",3,3,0,7,8,4,3,8,0,0,80,122,
"8106415",29,61,8,8,19,5,0,0,5,0,149,307,
"8104018",0,0,0,0,0,0,0,0,0,0,0,0,
"8104005",44,60,18,23,35,16,0,8,0,3,216,419,
"8104007",50,76,25,20,60,17,0,18,4,0,228,504,
"8104024",25,38,20,14,28,10,3,12,4,0,127,272,
"8104025",19,46,21,22,23,16,0,15,3,0,169,346,
"8104008",63,88,31,35,41,14,3,14,8,0,229,530,
"8104002",41,48,19,18,24,20,5,13,4,0,143,328,
"8104017",28,54,18,25,25,12,0,22,6,0,204,389,
"8104006",28,44,11,16,24,11,3,13,4,3,164,318,
"8104001",31,93,52,60,49,41,8,29,8,0,275,652,
"8104019",16,25,10,10,12,6,3,12,0,0,120,222,
"8104016",0,0,0,0,0,0,0,0,0,0,0,0,
"8104020",0,0,0,0,0,0,0,0,0,0,0,0,
"8104026",41,89,42,63,54,54,11,38,11,5,225,618,
"8104013",30,31,16,15,42,11,3,4,7,0,144,306,
"8104011",0,0,0,0,0,0,0,0,0,0,0,0,
"8104015",34,57,24,22,33,16,0,11,4,0,184,392,
"8104401",53,93,34,28,65,18,4,17,3,3,275,601,
"8104402",66,100,21,33,43,13,0,14,16,3,286,596,
"8104412",18,56,12,22,29,8,7,9,0,0,118,267,
"8104423",37,64,17,15,25,7,0,9,3,0,149,330,
"8111901",0,0,0,0,0,0,0,0,0,0,6,10,
"8103927",35,82,25,23,42,24,8,23,5,0,232,508,
"8103907",22,34,17,8,24,6,3,7,0,0,110,241,
"8103922",38,77,12,17,41,22,0,6,0,0,195,409,
"8103912",43,67,17,18,27,14,3,10,0,0,166,371,
"8103924",36,84,13,20,29,10,3,8,7,0,198,405,
"8103923",50,81,23,22,31,20,3,11,9,0,249,494,
"8103908",19,43,10,11,21,9,7,4,0,0,92,225,
"8103925",40,68,20,29,37,17,0,8,10,3,165,396,
"8103919",22,48,14,17,19,8,0,3,0,0,102,236,
"8103914",51,79,22,27,46,6,3,11,8,0,241,486,
"8103708",59,81,23,36,51,16,3,13,3,0,213,507,
"8104502",0,0,0,0,0,0,0,0,0,0,0,0,
"8103703",32,92,32,38,34,16,3,7,9,3,166,431,
"8103707",27,64,27,34,36,12,6,12,3,0,100,308,
"8103702",28,88,16,26,33,9,4,8,9,0,130,350,
"8103704",50,104,17,24,39,17,4,0,7,0,221,477,
"8103706",37,62,3,12,34,8,4,5,7,3,137,304,
"8105604",35,84,18,18,24,12,5,4,9,0,224,427,
"8105602",53,109,17,22,36,12,7,4,4,0,288,560,
"8105606",19,46,11,8,9,5,0,0,0,0,113,206,
"8105605",36,88,4,13,34,13,0,7,5,0,264,470,
"8105601",51,93,31,19,39,10,4,12,9,0,245,518,
