Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SA1 by SSCF Same-Sex Couple Indicator"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"SSCF Same-Sex Couple Indicator","Male same-sex couple","Female same-sex couple","Opposite-sex couple","Not applicable","Total",
"SA1",
"8104903",0,0,0,0,0,
"8104901",0,0,0,10,10,
"8104902",0,0,0,0,0,
"8106601",0,0,0,0,0,
"8105013",0,0,108,112,217,
"8105008",0,0,43,79,124,
"8105016",0,0,32,49,83,
"8105018",0,0,35,42,81,
"8105006",0,0,72,123,193,
"8105007",0,0,60,49,107,
"8105001",0,3,88,111,194,
"8105002",0,0,64,51,120,
"8105014",0,0,61,44,110,
"8105011",3,0,115,111,227,
"8105005",0,6,99,95,192,
"8105012",3,0,76,76,156,
"8105004",0,0,43,65,107,
"8105017",0,4,37,51,94,
"8105015",0,0,55,137,192,
"8105003",0,0,0,0,0,
"8103404",0,0,101,57,162,
"8103406",0,0,101,65,159,
"8103411",0,5,140,53,200,
"8103405",0,0,113,38,150,
"8103409",0,0,64,38,100,
"8103408",0,0,112,83,198,
"8103412",0,3,117,25,142,
"8103410",0,0,123,40,159,
"8103407",0,0,63,31,92,
"8103414",0,0,50,14,70,
"8103401",0,0,83,74,157,
"8103403",0,0,114,46,163,
"8103402",0,0,52,31,83,
"8103413",0,0,102,62,165,
"8104014",0,0,69,52,124,
"8100104",0,0,114,55,169,
"8100102",0,0,87,54,140,
"8100101",0,0,55,45,99,
"8100106",0,0,118,69,185,
"8100105",0,0,133,80,211,
"8100103",0,0,72,63,139,
"8107108",0,0,111,118,229,
"8107112",0,0,143,52,193,
"8107110",0,0,138,139,280,
"8107106",0,0,78,42,122,
"8107113",0,0,61,39,100,
"8107114",0,0,72,56,125,
"8107107",0,0,85,59,146,
"8107102",0,0,130,20,155,
"8107104",0,0,56,44,102,
"8107109",0,0,89,54,143,
"8107105",0,4,92,80,178,
"8107111",0,0,52,41,94,
"8112902",0,0,66,66,129,
"8112903",4,0,118,225,344,
"8112901",7,3,121,188,317,
"8112602",0,0,0,0,0,
"8100203",3,4,135,236,377,
"8100211",0,0,112,191,309,
"8100210",0,0,72,114,188,
"8100217",0,0,58,157,220,
"8100205",0,0,0,0,0,
"8100201",0,0,52,157,215,
"8100209",0,0,33,138,177,
"8100214",0,4,217,339,568,
"8100202",0,0,48,119,169,
"8100204",0,0,0,0,0,
"8100212",0,0,47,31,78,
"8100216",0,0,0,0,0,
"8100213",0,0,5,9,10,
"8100208",4,0,60,139,199,
"8100319",0,0,62,58,132,
"8107208",0,0,106,90,195,
"8107202",0,0,82,99,183,
"8107207",0,0,98,50,147,
"8107206",0,0,81,165,247,
"8107204",0,0,93,120,211,
"8107211",0,0,59,16,77,
"8107210",0,0,79,55,131,
"8107203",0,0,81,57,140,
"8107209",0,0,0,0,0,
"8107205",0,4,135,92,233,
"8105104",5,0,121,242,365,
"8105105",6,0,88,330,424,
"8105112",0,0,38,94,132,
"8105115",0,0,50,65,117,
"8105117",0,0,39,105,148,
"8105101",0,0,0,27,27,
"8105109",3,3,113,214,329,
"8105110",0,0,64,156,218,
"8105116",0,3,48,151,204,
"8105111",5,0,88,228,315,
"8105102",0,0,88,174,264,
"8105114",0,0,0,3,3,
"8105118",6,0,62,103,165,
"8100314",0,0,0,5,5,
"8100310",0,0,52,39,90,
"8100316",0,0,49,58,111,
"8100315",0,0,102,63,162,
"8100306",3,3,64,110,178,
"8100312",5,0,97,85,185,
"8100317",3,0,89,162,250,
"8100313",0,0,124,272,398,
"8100307",0,0,31,63,97,
"8100304",0,0,192,230,427,
"8100308",0,0,0,4,3,
"8100309",0,0,55,69,127,
"8100301",4,0,74,98,176,
"8100311",3,0,61,58,125,
"8100318",0,0,79,25,104,
"8107308",0,0,76,30,110,
"8107304",0,0,65,93,156,
"8108107",0,0,73,35,106,
"8107316",0,0,55,65,116,
"8107307",0,0,108,61,170,
"8107312",0,0,91,34,125,
"8107309",0,0,126,55,187,
"8107315",0,0,0,0,0,
"8107311",0,0,127,128,255,
"8107313",0,0,58,97,159,
"8107302",0,0,110,62,173,
"8107310",0,0,97,42,141,
"8107303",0,0,114,63,180,
"8107301",0,0,113,51,166,
"8112406",0,0,100,50,145,
"8112401",0,0,100,175,277,
"8112408",0,0,43,59,106,
"8112405",0,0,76,37,117,
"8112407",0,0,83,80,160,
"8112403",0,0,101,61,163,
"8112404",0,0,84,104,186,
"8112402",0,0,90,80,173,
"8109103",0,0,78,80,160,
"8109107",0,0,91,30,117,
"8109108",0,0,117,41,161,
"8109102",0,0,92,24,114,
"8109104",0,0,61,32,95,
"8109105",0,0,95,22,118,
"8109101",0,0,66,15,82,
"8109106",0,3,110,42,157,
"8100408",0,0,21,71,93,
"8100405",0,0,79,103,186,
"8100409",0,0,52,96,147,
"8100406",0,3,102,145,246,
"8100404",0,0,68,81,144,
"8100403",0,0,85,108,194,
"8100401",0,0,49,46,87,
"8100402",0,0,103,66,169,
"8109901",0,4,147,191,344,
"8109905",0,0,102,100,197,
"8109903",0,0,85,38,119,
"8109904",0,0,75,69,145,
"8109902",0,0,116,164,278,
"8107410",0,0,83,35,118,
"8107407",0,0,110,96,212,
"8107402",0,0,121,102,220,
"8107405",0,0,84,90,172,
